id	direction	compartment	gpr	name	enzyme	deltag	reference	equation	definition	ms id	bigg id	kegg id	kegg pathways	metacyc pathways
rxn09702_c0	>	Cytosol	Unknown	GABA-specific permease		0		(1)  cpd00067[e0] + (1)  cpd00338[e0] => (1)  cpd00067[c0] + (1)  cpd00338[c0]	(1)  H+ [e0][e0] + (1)  5-Aminolevulinate [e0][e0] => (1)  H+ [c0][c0] + (1)  5-Aminolevulinate [c0][c0]	rxn09702	5AOPt2			
rxn00914_c0	>	Cytosol	Unknown	ATP:guanosine 5'-phosphotransferase		-14.03		(1)  cpd00002[c0] + (1)  cpd00311[c0] => (1)  cpd00008[c0] + (1)  cpd00067[c0] + (1)  cpd00126[c0]	(1)  ATP [c0][c0] + (1)  Guanosine [c0][c0] => (1)  ADP [c0][c0] + (1)  H+ [c0][c0] + (1)  GMP [c0][c0]	rxn00914	GSNK	R01228	Purine metabolism	Biosynthesis|Guanine-Guanosine-Salvage|Nucleotide-Biosynthesis|PUR-NUC-SYN|Purine-Nucleotides-Salvage
rxn09045_c0	>	Cytosol	Unknown	2-Octaprenylphenol hydroxylase (anaerobic)		-0.69		(3)  cpd00001[c0] + (2)  cpd00002[c0] + (1)  cpd00003[c0] + (1)  cpd03444[c0] => (1)  cpd00004[c0] + (2)  cpd00008[c0] + (2)  cpd00009[c0] + (3)  cpd00067[c0] + (1)  cpd03445[c0]	(3)  H2O [c0][c0] + (2)  ATP [c0][c0] + (1)  NAD [c0][c0] + (1)  2-Octaprenylphenol [c0][c0] => (1)  NADH [c0][c0] + (2)  ADP [c0][c0] + (2)  Phosphate [c0][c0] + (3)  H+ [c0][c0] + (1)  2-Octaprenyl-6-hydroxyphenol [c0][c0]	rxn09045	OPHHX3			
rxn00278_c0	<	Cytosol	BHNFPM_01373_gene	L-Alanine:NAD+ oxidoreductase (deaminating)		8.69		(1)  cpd00001[c0] + (1)  cpd00003[c0] + (1)  cpd00035[c0] <= (1)  cpd00004[c0] + (1)  cpd00013[c0] + (1)  cpd00020[c0] + (1)  cpd00067[c0]	(1)  H2O [c0][c0] + (1)  NAD [c0][c0] + (1)  L-Alanine [c0][c0] <= (1)  NADH [c0][c0] + (1)  NH3 [c0][c0] + (1)  Pyruvate [c0][c0] + (1)  H+ [c0][c0]	rxn00278		R00396	Alanine, aspartate and glutamate metabolism|Taurine and hypotaurine metabolism	ALANINE-DEG|Amino-Acid-Degradation|Degradation|PWY1-2
rxn03893_c0	>	Cytosol	Unknown	all-trans-octaprenyl-diphosphate:4-hydroxybenzoate 3-octaprenyltransferase		-26.44		(1)  cpd00136[c0] + (1)  cpd02557[c0] => (1)  cpd00012[c0] + (1)  cpd00067[c0] + (1)  cpd03443[c0]	(1)  4-Hydroxybenzoate [c0][c0] + (1)  Farnesylfarnesylgeraniol [c0][c0] => (1)  PPi [c0][c0] + (1)  H+ [c0][c0] + (1)  3-Octaprenyl-4-hydroxybenzoate [c0][c0]	rxn03893	HBZOPT	R05615	Ubiquinone and other terpenoid-quinone biosynthesis	
rxn00270_c0	<	Cytosol	Unknown	S-Adenosyl-L-methionine:glycine N-methyltransferase	2.1.1.20	-10.46		(1)  cpd00017[c0] + (1)  cpd00033[c0] <= (1)  cpd00019[c0] + (1)  cpd00067[c0] + (1)  cpd00183[c0]	(1)  S-Adenosyl-L-methionine [c0][c0] + (1)  Glycine [c0][c0] <= (1)  S-Adenosyl-homocysteine [c0][c0] + (1)  H+ [c0][c0] + (1)  Sarcosine [c0][c0]	rxn00270		R00367	Glycine, serine and threonine metabolism	Betaine-Biosynthesis|Biosynthesis|P541-PWY|Polyamine-Biosynthesis
rxn09428_c0	>	Cytosol	Unknown	fatty-acyl-ACP synthase (n-C18:0ACP), mitochondrial				(2)  cpd00005[c0] + (2)  cpd00067[c0] + (1)  cpd11492[c0] + (1)  cpd15277[c0] => (1)  cpd00001[c0] + (2)  cpd00006[c0] + (1)  cpd00011[c0] + (1)  cpd11493[c0] + (1)  cpd15268[c0]	(2)  NADPH [c0][c0] + (2)  H+ [c0][c0] + (1)  Malonyl-acyl-carrierprotein- [c0][c0] + (1)  Palmitoyl-ACP [c0][c0] => (1)  H2O [c0][c0] + (2)  NADP [c0][c0] + (1)  CO2 [c0][c0] + (1)  ACP [c0][c0] + (1)  Octadecanoyl-ACP [c0][c0]	rxn09428	FAS180ACPm			
rxn03150_c0	>	Cytosol	Unknown	R04594		7.21		(1)  cpd00001[c0] + (1)  cpd02904[c0] => (1)  cpd00009[c0] + (1)  cpd03423[c0]	(1)  H2O [c0][c0] + (1)  alpha-Ribazole 5'-phosphate [c0][c0] => (1)  Phosphate [c0][c0] + (1)  alpha-Ribazole [c0][c0]	rxn03150	RBZP	R04594	Porphyrin and chlorophyll metabolism	Adenosylcobalamin-Biosynthesis|Biosynthesis|Cobalamin-Biosynthesis|Cofactor-Biosynthesis|P381-PWY|Vitamin-Biosynthesis
rxn01646_c0	<	Cytosol	BHNFPM_02781_gene	N-Ribosylnicotinamide:orthophosphate ribosyltransferase		-10.89		(1)  cpd00009[c0] + (1)  cpd02016[c0] <= (1)  cpd00067[c0] + (1)  cpd00133[c0] + (1)  cpd00475[c0]	(1)  Phosphate [c0][c0] + (1)  N-Ribosylnicotinamide [c0][c0] <= (1)  H+ [c0][c0] + (1)  Nicotinamide [c0][c0] + (1)  Ribose 1-phosphate [c0][c0]	rxn01646	PNP	R02294	Nicotinate and nicotinamide metabolism	
rxn05519_c0	>	Cytosol	Unknown	chorismate transport in/out via proton symport		0		(1)  cpd00067[e0] + (1)  cpd00216[e0] => (1)  cpd00067[c0] + (1)  cpd00216[c0]	(1)  H+ [e0][e0] + (1)  Chorismate [e0][e0] => (1)  H+ [c0][c0] + (1)  Chorismate [c0][c0]	rxn05519				
rxn01302_c0	>	Cytosol	Unknown	L-homoserine:NADP+ oxidoreductase		5.22		(1)  cpd00006[c0] + (1)  cpd00227[c0] => (1)  cpd00005[c0] + (1)  cpd00067[c0] + (1)  cpd00346[c0]	(1)  NADP [c0][c0] + (1)  L-Homoserine [c0][c0] => (1)  NADPH [c0][c0] + (1)  H+ [c0][c0] + (1)  L-Aspartate4-semialdehyde [c0][c0]	rxn01302	HOM6_2	R01775	Glycine, serine and threonine metabolism|Cysteine and methionine metabolism|Lysine biosynthesis	Amino-Acid-Biosynthesis|Biosynthesis|HOMOSERSYN-PWY|IND-AMINO-ACID-SYN|ISOLEUCINE-SYN|MET-SAM-PWY|METHIONINE-SYN|METSYN-PWY|Other-Amino-Acid-Biosynthesis|P4-PWY|PWY0-781|THREONINE-BIOSYNTHESIS|THRESYN-PWY
rxn05029_c0	>	Cytosol	Unknown	ATP:cobinamide Cobeta-adenosyltransferase				(1)  cpd00002[c0] + (1)  cpd00067[c0] + (1)  cpd03422[c0] => (1)  cpd00421[c0] + (1)  cpd03918[c0]	(1)  ATP [c0][c0] + (1)  H+ [c0][c0] + (1)  Cobinamide [c0][c0] => (1)  Triphosphate [c0][c0] + (1)  Adenosyl cobinamide [c0][c0]	rxn05029	CBIAT	R07268	Porphyrin and chlorophyll metabolism	Adenosylcobalamin-Biosynthesis|Biosynthesis|COBALSYN-PWY|Cobalamin-Biosynthesis|Cofactor-Biosynthesis|Vitamin-Biosynthesis
rxn05663_c0	>	Cytosol	Unknown	TRANS-RXNBWI-115637.ce.maizeexp.TRP_TRP		0		(1)  cpd00065[e0] + (1)  cpd00067[e0] => (1)  cpd00065[c0] + (1)  cpd00067[c0]	(1)  L-Tryptophan [e0][e0] + (1)  H+ [e0][e0] => (1)  L-Tryptophan [c0][c0] + (1)  H+ [c0][c0]	rxn05663	BAP2_6			
rxn13360_c0	<	Cytosol	Unknown	NADP transporter		0		(1)  cpd00006[c0] <= (1)  cpd00006[e0]	(1)  NADP [c0][c0] <= (1)  NADP [e0][e0]	rxn13360	NADPt			
rxn10194_c0	>	Cytosol	Unknown	Teichoic acid (unsubstituted) export		-4.5		(1)  cpd15661[c0] + (1)  cpd15666[c0] => (1)  cpd00067[c0] + (1)  cpd00286[c0] + (1)  cpd15667[c0]	(1)  Prenol-45n teichoic acid [c0][c0] + (1)  Peptidoglycan polymer (n-1 subunits)  [c0][c0] => (1)  H+ [c0][c0] + (1)  Undecaprenylphosphate [c0][c0] + (1)  glycerol teichoic acid (n=45) , linked, unsubstituted [c0][c0]	rxn10194				
rxn03538_c0	>	Cytosol	Unknown	R05223		14.03		(1)  cpd03423[c0] + (1)  cpd03920[c0] => (1)  cpd00067[c0] + (1)  cpd00126[c0] + (1)  cpd00166[c0]	(1)  alpha-Ribazole [c0][c0] + (1)  Adenosylcobinamide-GDP [c0][c0] => (1)  H+ [c0][c0] + (1)  GMP [c0][c0] + (1)  Calomide [c0][c0]	rxn03538	ADOCBLS	R05223	Porphyrin and chlorophyll metabolism	Adenosylcobalamin-Biosynthesis|Biosynthesis|Cobalamin-Biosynthesis|Cofactor-Biosynthesis|P381-PWY|Vitamin-Biosynthesis
rxn01213_c0	>	Cytosol	Unknown	GPPSYN-RXN		195		(1)  cpd00113[c0] + (1)  cpd00202[c0] => (1)  cpd00012[c0] + (1)  cpd00067[c0] + (1)  cpd00283[c0]	(1)  Isopentenyldiphosphate [c0][c0] + (1)  DMAPP [c0][c0] => (1)  PPi [c0][c0] + (1)  H+ [c0][c0] + (1)  Geranyldiphosphate [c0][c0]	rxn01213	DMATT	R01658	Terpenoid backbone biosynthesis	All-Trans-Farnesyl-PP-Biosynthesis|Biosynthesis|Cell-Structure-Biosynthesis|Cell-Wall-Biosynthesis|Cofactor-Biosynthesis|DITERPENOID-SYN|ERGOSTEROL-SYN-PWY|Energy-Metabolism|GGPP-Biosynthesis|Lipid-Biosynthesis|POLYISOPRENSYN-PWY|PWY66-5|Polyprenyl-Biosynthesis|SECONDARY-METABOLITE-BIOSYNTHESIS|Sterol-Biosynthesis|Terpenoid-Biosynthesis
rxn05011_c0	<	Cytosol	Unknown	S-adenosyl-L-methionine:N,N-dimethylglycine N-methyltransferase	2.1.1.161	23.24		(1)  cpd00017[c0] + (1)  cpd00756[c0] <= (1)  cpd00019[c0] + (1)  cpd00067[c0] + (1)  cpd00540[c0]	(1)  S-Adenosyl-L-methionine [c0][c0] + (1)  Dimethylglycine [c0][c0] <= (1)  S-Adenosyl-homocysteine [c0][c0] + (1)  H+ [c0][c0] + (1)  BET [c0][c0]	rxn05011		R07244		Betaine-Biosynthesis|Biosynthesis|P541-PWY|Polyamine-Biosynthesis
rxn05579_c0	>	Cytosol	Unknown	Glycine betaine transport via proton symport, reversible		0		(1)  cpd00067[e0] + (1)  cpd00540[e0] => (1)  cpd00067[c0] + (1)  cpd00540[c0]	(1)  H+ [e0][e0] + (1)  BET [e0][e0] => (1)  H+ [c0][c0] + (1)  BET [c0][c0]	rxn05579	GLYBt2r			
rxn00260_c0	<	Cytosol	Unknown	L-Aspartate:2-oxoglutarate aminotransferase		0		(1)  cpd00024[c0] + (1)  cpd00041[c0] <= (1)  cpd00023[c0] + (1)  cpd00032[c0]	(1)  2-Oxoglutarate [c0][c0] + (1)  L-Aspartate [c0][c0] <= (1)  L-Glutamate [c0][c0] + (1)  Oxaloacetate [c0][c0]	rxn00260	AAT2_1	R00355	Alanine, aspartate and glutamate metabolism|Carbon fixation in photosynthetic organisms	ASPARTATE-DEG|ASPARTATE-DEG1-PWY|ASPARTATE-SYN|ASPARTATESYN-PWY|ASPASN-PWY|Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|Degradation|Energy-Metabolism|GLUTAMATE-DEG|GLUTDEG-PWY|IND-AMINO-ACID-SYN|ISOLEUCINE-SYN|MALATE-ASPARTATE-SHUTTLE-PWY|METHIONINE-SYN|Metabolic-Clusters|P4-PWY|PWY0-781|TCA-VARIANTS|THREONINE-BIOSYNTHESIS|THRESYN-PWY
rxn05204_c0	>	Cytosol	Unknown	TRANS-RXNBWI-115572.ce.maizeexp.GUANOSINE_GUANOSINE		0		(1)  cpd00067[e0] + (1)  cpd00311[e0] => (1)  cpd00067[c0] + (1)  cpd00311[c0]	(1)  H+ [e0][e0] + (1)  Guanosine [e0][e0] => (1)  H+ [c0][c0] + (1)  Guanosine [c0][c0]	rxn05204	GSNt2			
rxn00461_c0	>	Cytosol	BHNFPM_04125_gene	Phosphoenolpyruvate:UDP-N-acetyl-D-glucosamine 1-carboxyvinyl-transferase	2.5.1.7	10.33		(1)  cpd00037[c0] + (1)  cpd00061[c0] => (1)  cpd00009[c0] + (1)  cpd02820[c0]	(1)  UDP-N-acetylglucosamine [c0][c0] + (1)  Phosphoenolpyruvate [c0][c0] => (1)  Phosphate [c0][c0] + (1)  UDP-N-acetylglucosamine enolpyruvate [c0][c0]	rxn00461	UAGCVT	R00660	Amino sugar and nucleotide sugar metabolism|Peptidoglycan biosynthesis	Acetylmuramoyl-Pentapeptide-Biosynthesis|Antibiotic-Resistance|Biosynthesis|Cell-Structure-Biosynthesis|Cell-Wall-Biosynthesis|Detoxification|PEPTIDOGLYCANSYN-PWY|Peptidoglycan-Biosynthesis
rxn00502_c0	>	Cytosol	Unknown	3-Oxopropanoate:NADP+ oxidoreductase (decarboxylating, CoA-acetylating)		-8.95		(1)  cpd00006[c0] + (1)  cpd00010[c0] + (1)  cpd00191[c0] => (1)  cpd00005[c0] + (1)  cpd00011[c0] + (1)  cpd00022[c0]	(1)  NADP [c0][c0] + (1)  CoA [c0][c0] + (1)  3-Oxopropanoate [c0][c0] => (1)  NADPH [c0][c0] + (1)  CO2 [c0][c0] + (1)  Acetyl-CoA [c0][c0]	rxn00502		R00706	beta-Alanine metabolism|Inositol phosphate metabolism|Propanoate metabolism	CARBOXYLATES-DEG|Degradation
rxn05287_c0	>	Cytosol	Unknown	geranylgeranyl-diphosphate:isopentenyl-diphosphate transtransferase		-22.53		(1)  cpd00113[c0] + (1)  cpd00289[c0] => (1)  cpd00012[c0] + (1)  cpd00067[c0] + (1)  cpd02591[c0]	(1)  Isopentenyldiphosphate [c0][c0] + (1)  Geranylgeranyl diphosphate [c0][c0] => (1)  PPi [c0][c0] + (1)  H+ [c0][c0] + (1)  pendp [c0][c0]	rxn05287	GGTT	R07475		
rxn08088_c0	>	Cytosol	Unknown	1-octadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:0)		357.66		(2)  cpd00067[c0] + (1)  cpd15268[c0] + (1)  cpd15329[c0] => (1)  cpd11493[c0] + (1)  cpd15526[c0]	(2)  H+ [c0][c0] + (1)  Octadecanoyl-ACP [c0][c0] + (1)  1-octadecanoyl-sn-glycerol 3-phosphate [c0][c0] => (1)  ACP [c0][c0] + (1)  1,2-dioctadecanoyl-sn-glycerol 3-phosphate [c0][c0]	rxn08088	AGPAT180			
rxn00350_c0	>	Cytosol	Unknown	glutathione gamma-glutamylaminopeptidase		-0.46		(1)  cpd00001[c0] + (1)  cpd00042[c0] => (1)  cpd00023[c0] + (1)  cpd01017[c0]	(1)  H2O [c0][c0] + (1)  GSH [c0][c0] => (1)  L-Glutamate [c0][c0] + (1)  Cys-Gly [c0][c0]	rxn00350	GGTAe2	R00494	Glutathione metabolism	
rxn01115_c0	>	Cytosol	BHNFPM_01774_gene	6-phospho-D-gluconate:NADP+ 2-oxidoreductase (decarboxylating)		0.67		(1)  cpd00006[c0] + (1)  cpd00284[c0] => (1)  cpd00005[c0] + (1)  cpd00011[c0] + (1)  cpd00171[c0]	(1)  NADP [c0][c0] + (1)  6-Phospho-D-gluconate [c0][c0] => (1)  NADPH [c0][c0] + (1)  CO2 [c0][c0] + (1)  D-Ribulose5-phosphate [c0][c0]	rxn01115	GND	R01528	Pentose phosphate pathway|Glutathione metabolism	Carbohydrates-Degradation|Degradation|Energy-Metabolism|Fermentation|OXIDATIVEPENT-PWY|P122-PWY|PENTOSE-P-PWY|Pentose-Phosphate-Cycle|Sugars-And-Polysaccharides|Xylose-Degradation
rxn05684_c0	>	Cytosol	Unknown	TRANS-RXNBWI-115359.ce		0		(1)  cpd00067[e0] + (1)  cpd00227[e0] => (1)  cpd00067[c0] + (1)  cpd00227[c0]	(1)  H+ [e0][e0] + (1)  L-Homoserine [e0][e0] => (1)  H+ [c0][c0] + (1)  L-Homoserine [c0][c0]	rxn05684				
rxn01128_c0	<	Cytosol	BHNFPM_03035_gene	dATP:cytidine 5'-phosphotransferase		-14.03		(1)  cpd00115[c0] + (1)  cpd00367[c0] <= (1)  cpd00046[c0] + (1)  cpd00067[c0] + (1)  cpd00177[c0]	(1)  dATP [c0][c0] + (1)  Cytidine [c0][c0] <= (1)  CMP [c0][c0] + (1)  H+ [c0][c0] + (1)  dADP [c0][c0]	rxn01128		R01548	Pyrimidine metabolism	
rxn00121_c0	<	Cytosol	Unknown	FAD nucleotidohydrolase		-28.37		(1)  cpd00001[c0] + (1)  cpd00015[c0] <= (1)  cpd00018[c0] + (1)  cpd00050[c0] + (2)  cpd00067[c0]	(1)  H2O [c0][c0] + (1)  FAD [c0][c0] <= (1)  AMP [c0][c0] + (1)  FMN [c0][c0] + (2)  H+ [c0][c0]	rxn00121		R00160	Riboflavin metabolism	
rxn08040_c0	>	Cytosol	Unknown	UDP-N-acetyl-D-glucosamine:undecaprenyl-phosphate N-acetyl-D-glucosamine phosphotransferase		0		(1)  cpd00037[c0] + (1)  cpd00286[c0] => (1)  cpd00091[c0] + (1)  cpd00946[c0]	(1)  UDP-N-acetylglucosamine [c0][c0] + (1)  Undecaprenylphosphate [c0][c0] => (1)  UMP [c0][c0] + (1)  Undecaprenyl diphospho N-acetyl-glucosamine [c0][c0]	rxn08040	ACGAMT	R08856		Biosynthesis|Cell-Structure-Biosynthesis|ECASYN-PWY|TEICHOICACID-PWY
rxn05006_c0	>	Cytosol	Unknown	S-adenosyl-L-methionine:precorrin-1 C-methyltransferase				(1)  cpd00017[c0] + (1)  cpd11206[c0] => (1)  cpd00019[c0] + (1)  cpd01620[c0]	(1)  S-Adenosyl-L-methionine [c0][c0] + (1)  Precorrin 1 [c0][c0] => (1)  S-Adenosyl-homocysteine [c0][c0] + (1)  Precorrin 2 [c0][c0]	rxn05006		R07238		Adenosylcobalamin-Biosynthesis|Biosynthesis|Cobalamin-Biosynthesis|Cofactor-Biosynthesis|P381-PWY|Porphyrin-Compounds-Biosynthesis|Vitamin-Biosynthesis
rxn00533_c0	>	Cytosol	BHNFPM_02854_gene	Acetyl-CoA:carbon-dioxide ligase (ADP-forming)		-1.07		(1)  cpd00002[c0] + (1)  cpd00022[c0] + (1)  cpd00242[c0] => (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00067[c0] + (1)  cpd00070[c0]	(1)  ATP [c0][c0] + (1)  Acetyl-CoA [c0][c0] + (1)  H2CO3 [c0][c0] => (1)  ADP [c0][c0] + (1)  Phosphate [c0][c0] + (1)  H+ [c0][c0] + (1)  Malonyl-CoA [c0][c0]	rxn00533	ACC1	R00742	Tetracycline biosynthesis|Pyruvate metabolism|Propanoate metabolism|Carbon fixation pathways in prokaryotes	Antibiotic-Biosynthesis|Autotrophic-CO2-Fixation|Biosynthesis|C1-COMPOUNDS|CO2-Fixation|Degradation|FASYN-INITIAL-PWY|Fatty-acid-biosynthesis|Lipid-Biosynthesis|Other-Degradation|PWY0-881|SECONDARY-METABOLITE-BIOSYNTHESIS
rxn09067_c0	>	Cytosol	Unknown	Phosphatidate phosphatase (periplasmic, n-C18:0)		-214.82		(1)  cpd00001[c0] + (1)  cpd15526[c0] => (1)  cpd00009[c0] + (1)  cpd00067[c0] + (1)  cpd15311[c0]	(1)  H2O [c0][c0] + (1)  1,2-dioctadecanoyl-sn-glycerol 3-phosphate [c0][c0] => (1)  Phosphate [c0][c0] + (1)  H+ [c0][c0] + (1)  1,2-Diacyl-sn-glycerol dioctadecanoyl [c0][c0]	rxn09067	PAPA180pp			
rxn03892_c0	>	Cytosol	Unknown	R05613		-22.53		(1)  cpd00113[c0] + (1)  cpd02591[c0] => (1)  cpd00012[c0] + (1)  cpd00067[c0] + (1)  cpd00906[c0]	(1)  Isopentenyldiphosphate [c0][c0] + (1)  pendp [c0][c0] => (1)  PPi [c0][c0] + (1)  H+ [c0][c0] + (1)  all-trans-Hexaprenyl diphosphate [c0][c0]	rxn03892	PPTT	R05613		
rxn00615_c0	>	Cytosol	BHNFPM_02324_gene	ATP:glycerol 3-phosphotransferase	2.7.1.30	-14.03		(1)  cpd00002[c0] + (1)  cpd00100[c0] => (1)  cpd00008[c0] + (1)  cpd00067[c0] + (1)  cpd00080[c0]	(1)  ATP [c0][c0] + (1)  Glycerol [c0][c0] => (1)  ADP [c0][c0] + (1)  H+ [c0][c0] + (1)  Glycerol-3-phosphate [c0][c0]	rxn00615	GLYK	R00847	Glycerolipid metabolism	Alcohol-Degradation|Degradation|Fatty-Acid-and-Lipid-Degradation|GLYCEROL-DEG|PWY0-381
rxn03393_c0	>	Cytosol	Unknown	3-octaprenyl-4-hydroxybenzoate carboxy-lyase		-0.1		(1)  cpd00067[c0] + (1)  cpd03443[c0] => (1)  cpd00011[c0] + (1)  cpd03444[c0]	(1)  H+ [c0][c0] + (1)  3-Octaprenyl-4-hydroxybenzoate [c0][c0] => (1)  CO2 [c0][c0] + (1)  2-Octaprenylphenol [c0][c0]	rxn03393	OPHBDC	R04986	Ubiquinone and other terpenoid-quinone biosynthesis	ALL-CHORISMATE-PWY|Biosynthesis|Cofactor-Biosynthesis|Quinone-Biosynthesis|UBISYN-PWY|Ubiquinone-Biosynthesis
rxn12647_c0	>	Cytosol	Unknown	TRANS-RXNAVI-26378.ce.brachyexp.DATP_DATP		0		(1)  cpd00115[e0] => (1)  cpd00115[c0]	(1)  dATP [e0][e0] => (1)  dATP [c0][c0]	rxn12647				
rxn10191_c0	>	Cytosol	Unknown	D-alanine-poly(phosphoribitol) ligase		-330.3		(45)  cpd00002[c0] + (45)  cpd00117[c0] + (1)  cpd15661[c0] => (45)  cpd00012[c0] + (45)  cpd00018[c0] + (90)  cpd00067[c0] + (1)  cpd15663[c0]	(45)  ATP [c0][c0] + (45)  D-Alanine [c0][c0] + (1)  Prenol-45n teichoic acid [c0][c0] => (45)  PPi [c0][c0] + (45)  AMP [c0][c0] + (90)  H+ [c0][c0] + (1)  Prenol-45n teichoic acid-alanine substituted [c0][c0]	rxn10191				
rxn01265_c0	<	Cytosol	BHNFPM_00405_gene	Nicotinate D-ribonucleotide:diphosphate phosphoribosyltransferase		9.6		(1)  cpd00012[c0] + (1)  cpd00873[c0] <= (1)  cpd00103[c0] + (1)  cpd00218[c0]	(1)  PPi [c0][c0] + (1)  Nicotinate ribonucleotide [c0][c0] <= (1)  PRPP [c0][c0] + (1)  Niacin [c0][c0]	rxn01265	NAPRT	R01724	Nicotinate and nicotinamide metabolism	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|NAD-SYN|PYRIDNUCSAL-PWY
rxn00362_c0	<	Cytosol	Unknown	Cytidine-5'-monophosphate phosphoribohydrolase		-0.73		(1)  cpd00001[c0] + (1)  cpd00046[c0] <= (1)  cpd00101[c0] + (1)  cpd00307[c0]	(1)  H2O [c0][c0] + (1)  CMP [c0][c0] <= (1)  ribose-5-phosphate [c0][c0] + (1)  Cytosine [c0][c0]	rxn00362		R00510	Pyrimidine metabolism	
rxn00599_c0	>	Cytosol	Unknown	succinyl-CoA:glycine C-succinyltransferase (decarboxylating)		2.16		(1)  cpd00033[c0] + (1)  cpd00067[c0] + (1)  cpd00078[c0] => (1)  cpd00010[c0] + (1)  cpd00011[c0] + (1)  cpd00338[c0]	(1)  Glycine [c0][c0] + (1)  H+ [c0][c0] + (1)  Succinyl-CoA [c0][c0] => (1)  CoA [c0][c0] + (1)  CO2 [c0][c0] + (1)  5-Aminolevulinate [c0][c0]	rxn00599		R00830	Glycine, serine and threonine metabolism|Porphyrin and chlorophyll metabolism	Biosynthesis|Chlorophyll-Biosynthesis|Chlorophyll-a-Biosynthesis|Cofactor-Biosynthesis|HEME-SYN|Porphyrin-Compounds-Biosynthesis|Tetrapyrrole-Biosynthesis
rxn01459_c0	>	Cytosol	Unknown	4-Aminobutyraldehyde:NAD+ oxidoreductase		-9.8		(1)  cpd00001[c0] + (1)  cpd00006[c0] + (1)  cpd00434[c0] => (1)  cpd00005[c0] + (2)  cpd00067[c0] + (1)  cpd00281[c0]	(1)  H2O [c0][c0] + (1)  NADP [c0][c0] + (1)  4-Aminobutanal [c0][c0] => (1)  NADPH [c0][c0] + (2)  H+ [c0][c0] + (1)  GABA [c0][c0]	rxn01459		R01986	Arginine and proline metabolism	
rxn01671_c0	>	Cytosol	BHNFPM_03992_gene	ATP:N-ribosylnicotinamide 5'-phosphotransferase		-14.03		(1)  cpd00002[c0] + (1)  cpd02016[c0] => (1)  cpd00008[c0] + (1)  cpd00067[c0] + (1)  cpd00355[c0]	(1)  ATP [c0][c0] + (1)  N-Ribosylnicotinamide [c0][c0] => (1)  ADP [c0][c0] + (1)  H+ [c0][c0] + (1)  Nicotinamide ribonucleotide [c0][c0]	rxn01671	RNMK	R02324	Nicotinate and nicotinamide metabolism	Biosynthesis|Cofactor-Biosynthesis|NAD-BIOSYNTHESIS-II|NAD-Metabolism|NAD-SYN|PWY3O-4106
rxn02322_c0	>	Cytosol	Unknown	ATP:(R)-5-phosphomevalonate phosphotransferase		9.53		(1)  cpd00002[c0] + (1)  cpd00067[c0] + (1)  cpd00812[c0] => (1)  cpd00008[c0] + (1)  cpd00841[c0]	(1)  ATP [c0][c0] + (1)  H+ [c0][c0] + (1)  5-phosphomevalonate [c0][c0] => (1)  ADP [c0][c0] + (1)  5-diphosphomevalonate [c0][c0]	rxn02322	ERG8	R03245	Terpenoid backbone biosynthesis	Biosynthesis|Cofactor-Biosynthesis|DITERPENOID-SYN|ERGOSTEROL-SYN-PWY|GGPP-Biosynthesis|ISOPRENOIDS|Lipid-Biosynthesis|PWY66-5|Polyprenyl-Biosynthesis|SECONDARY-METABOLITE-BIOSYNTHESIS|Sterol-Biosynthesis|Terpenoid-Biosynthesis
rxn10273_c0	>	Cytosol	Unknown	stearoyl-UDP-glucosyltransferase (diglucosyl)		-1.7		(1)  cpd00026[c0] + (1)  cpd15739[c0] => (1)  cpd00014[c0] + (1)  cpd15730[c0]	(1)  UDP-glucose [c0][c0] + (1)  Monoglucosyl-1,2 distearoylglycerol [c0][c0] => (1)  UDP [c0][c0] + (1)  Diglucosyl-1,2 distearoylglycerol [c0][c0]	rxn10273				
rxn00693_c0	<	Cytosol	BHNFPM_02191_gene	5-Methyltetrahydrofolate:L-homocysteine S-methyltransferase		-6.41		(1)  cpd00135[c0] + (1)  cpd00345[c0] <= (1)  cpd00060[c0] + (1)  cpd00087[c0]	(1)  Homocysteine [c0][c0] + (1)  5-Methyltetrahydrofolate [c0][c0] <= (1)  L-Methionine [c0][c0] + (1)  Tetrahydrofolate [c0][c0]	rxn00693	METS	R00946	Cysteine and methionine metabolism|One carbon pool by folate	1CMET2-PWY|ADENOSYLHOMOCYSCAT-PWY|Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|Cofactor-Biosynthesis|Degradation|Folate-Biosynthesis|HOMOSER-METSYN-PWY|HSERMETANA-PWY|IND-AMINO-ACID-SYN|MET-SAM-PWY|METHIONINE-DEG|METHIONINE-SYN|METSYN-PWY|P4-PWY|PWY0-781|Vitamin-Biosynthesis
