id	direction	compartment	gpr	name	enzyme	deltag	reference	equation	definition	ms id	bigg id	kegg id	kegg pathways	metacyc pathways
rxn05485_c0	>	Cytosol	Unknown	N-Acetyl-D-glucosamine transport via PEP:Pyr PTS		-9.11		(1)  cpd00061[c0] + (1)  cpd00122[e0] => (1)  cpd00020[c0] + (1)  cpd00293[c0]	(1)  Phosphoenolpyruvate [c0][c0] + (1)  N-Acetyl-D-glucosamine [e0][e0] => (1)  Pyruvate [c0][c0] + (1)  N-Acetyl-D-glucosamine 6-phosphate [c0][c0]	rxn05485	ACGApts			
rxn12224_c0	>	Cytosol	Unknown	2-octaprenyl-6-methoxyphenol hydroxylase		-80.8267		(1)  cpd00007[c0] + (1)  cpd03446[c0] => (1)  cpd00001[c0] + (1)  cpd03447[c0]	(1)  O2 [c0][c0] + (1)  2-Octaprenyl-6-methoxyphenol [c0][c0] => (1)  H2O [c0][c0] + (1)  2-Octaprenyl-6-methoxy-1,4-benzoquinone [c0][c0]	rxn12224				
rxn00252_c0	>	Cytosol	Unknown	diphosphate:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming)		1.14		(1)  cpd00012[c0] + (1)  cpd00032[c0] => (1)  cpd00009[c0] + (1)  cpd00011[c0] + (1)  cpd00061[c0]	(1)  PPi [c0][c0] + (1)  Oxaloacetate [c0][c0] => (1)  Phosphate [c0][c0] + (1)  CO2 [c0][c0] + (1)  Phosphoenolpyruvate [c0][c0]	rxn00252		R00346	Pyruvate metabolism	
rxn05151_c0	>	Cytosol	Unknown	ATP phosphohydrolase (polar-amino-acid-importing)		-6.82		(1)  cpd00001[c0] + (1)  cpd00002[c0] + (1)  cpd00039[e0] => (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00039[c0] + (1)  cpd00067[c0]	(1)  H2O [c0][c0] + (1)  ATP [c0][c0] + (1)  L-Lysine [e0][e0] => (1)  ADP [c0][c0] + (1)  Phosphate [c0][c0] + (1)  L-Lysine [c0][c0] + (1)  H+ [c0][c0]	rxn05151	LYSabc			
rxn03537_c0	>	Cytosol	Unknown	R05222	2.7.7.62			(1)  cpd00038[c0] + (1)  cpd03919[c0] => (1)  cpd00012[c0] + (1)  cpd00067[c0] + (1)  cpd03920[c0]	(1)  GTP [c0][c0] + (1)  Adenosyl cobinamide phosphate [c0][c0] => (1)  PPi [c0][c0] + (1)  H+ [c0][c0] + (1)  Adenosylcobinamide-GDP [c0][c0]	rxn03537	ACBIPGT	R05222	Porphyrin and chlorophyll metabolism	Adenosylcobalamin-Biosynthesis|Biosynthesis|COBALSYN-PWY|Cobalamin-Biosynthesis|Cofactor-Biosynthesis|P381-PWY|Vitamin-Biosynthesis
rxn10282_c0	>	Cytosol	Unknown	stearoyl-UDP-glucosyltransferase (monoglucosyl)		-1.7		(1)  cpd00026[c0] + (1)  cpd15311[c0] => (1)  cpd00014[c0] + (1)  cpd15739[c0]	(1)  UDP-glucose [c0][c0] + (1)  1,2-Diacyl-sn-glycerol dioctadecanoyl [c0][c0] => (1)  UDP [c0][c0] + (1)  Monoglucosyl-1,2 distearoylglycerol [c0][c0]	rxn10282				
rxn01548_c0	>	Cytosol	BHNFPM_02781_gene	guanosine:phosphate alpha-D-ribosyltransferase		-7.95		(1)  cpd00009[c0] + (1)  cpd00311[c0] => (1)  cpd00207[c0] + (1)  cpd00475[c0]	(1)  Phosphate [c0][c0] + (1)  Guanosine [c0][c0] => (1)  Guanine [c0][c0] + (1)  Ribose 1-phosphate [c0][c0]	rxn01548	PNP1_8	R02147	Purine metabolism	Biosynthesis|Degradation|Guanine-Guanosine-Salvage|Guanosine-Nucleotides-Degradation|Metabolic-Clusters|NUCLEO-DEG|Nucleotide-Biosynthesis|P1-PWY|PUR-NUC-SYN|PWY0-1296|PYR-NUC-SYN|Purine-Degradation|Purine-Nucleotides-Salvage
rxn05547_c0	>	Cytosol	Unknown	oligopeptide-transporting ATPase		-6.82		(1)  cpd00001[c0] + (1)  cpd00002[c0] + (1)  cpd11580[e0] => (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00067[c0] + (1)  cpd11580[c0]	(1)  H2O [c0][c0] + (1)  ATP [c0][c0] + (1)  Gly-Gln [e0][e0] => (1)  ADP [c0][c0] + (1)  Phosphate [c0][c0] + (1)  H+ [c0][c0] + (1)  Gly-Gln [c0][c0]	rxn05547	DIPEPabc9			
rxn09106_c0	>	Cytosol	Unknown	phosphatidylglycerol phosphate phosphatase (periplasm, n-C18:0)		-214.82		(1)  cpd00001[c0] + (1)  cpd15547[c0] => (1)  cpd00009[c0] + (1)  cpd00067[c0] + (1)  cpd15540[c0]	(1)  H2O [c0][c0] + (1)  Phosphatidylglycerophosphate dioctadecanoyl [c0][c0] => (1)  Phosphate [c0][c0] + (1)  H+ [c0][c0] + (1)  Phosphatidylglycerol dioctadecanoyl [c0][c0]	rxn09106	PGPP180pp			
rxn05508_c0	>	Cytosol	Unknown	TRANS-RXNBWI-115637.ce.maizeexp.ASN_ASN		0		(1)  cpd00067[e0] + (1)  cpd00132[e0] => (1)  cpd00067[c0] + (1)  cpd00132[c0]	(1)  H+ [e0][e0] + (1)  L-Asparagine [e0][e0] => (1)  H+ [c0][c0] + (1)  L-Asparagine [c0][c0]	rxn05508	AGP1_3			
