EX_glc__D_e,EX_o2_e,flux_maximum
0.0,0.0,0.2353509338123529
0.0,1.0526315789473684,0.31095730596086013
0.0,2.1052631578947367,0.35558049114983104
0.0,3.1578947368421053,0.37862400611975244
0.0,4.2105263157894735,0.3884216428600139
0.0,5.263157894736842,0.393765430187018
0.0,6.315789473684211,0.3991092175140258
0.0,7.368421052631579,0.40445300484103064
0.0,8.421052631578947,0.4097967921680367
0.0,9.473684210526315,0.4151405794950423
0.0,10.526315789473683,0.42048436682204915
0.0,11.578947368421051,0.42177088287020836
0.0,12.631578947368421,0.4229605093973214
0.0,13.68421052631579,0.4241501359244273
0.0,14.736842105263158,0.4253397624515368
0.0,15.789473684210526,0.42652938897864584
0.0,16.842105263157894,0.4274211144077126
0.0,17.894736842105264,0.42820401833482336
0.0,18.94736842105263,0.4289869222619403
0.0,20.0,0.42940554294403543
1.0526315789473684,0.0,0.22971828844054343
1.0526315789473684,1.0526315789473684,0.3053501734765394
1.0526315789473684,2.1052631578947367,0.34913792533735577
1.0526315789473684,3.1578947368421053,0.37125365302787705
1.0526315789473684,4.2105263157894735,0.3804059618695064
1.0526315789473684,5.263157894736842,0.38574974919651167
1.0526315789473684,6.315789473684211,0.3910935365235174
1.0526315789473684,7.368421052631579,0.396437323850523
1.0526315789473684,8.421052631578947,0.4017811111775286
1.0526315789473684,9.473684210526315,0.40712489850453415
1.0526315789473684,10.526315789473683,0.41165905738977726
1.0526315789473684,11.578947368421051,0.41284868391688645
1.0526315789473684,12.631578947368421,0.414038310443996
1.0526315789473684,13.68421052631579,0.41522793697110516
1.0526315789473684,14.736842105263158,0.4164175634982146
1.0526315789473684,15.789473684210526,0.4176071900253242
1.0526315789473684,16.842105263157894,0.4184177192458696
1.0526315789473684,17.894736842105264,0.41920062317298623
1.0526315789473684,18.94736842105263,0.41998352710010256
1.0526315789473684,20.0,0.42022694712796266
2.1052631578947367,0.0,0.2214292973761616
2.1052631578947367,1.0526315789473684,0.29974304099221866
2.1052631578947367,2.1052631578947367,0.3426953595248807
2.1052631578947367,3.1578947368421053,0.36382999170888725
2.1052631578947367,4.2105263157894735,0.37206631687452524
2.1052631578947367,5.263157894736842,0.37741184767767666
2.1052631578947367,6.315789473684211,0.38275737848082925
2.1052631578947367,7.368421052631579,0.38810290928398183
2.1052631578947367,8.421052631578947,0.39344844008713437
2.1052631578947367,9.473684210526315,0.3987939708902874
2.1052631578947367,10.526315789473683,0.40074420823096596
2.1052631578947367,11.578947368421051,0.4019370510948449
2.1052631578947367,12.631578947368421,0.4031298939587242
2.1052631578947367,13.68421052631579,0.4043227368226033
2.1052631578947367,14.736842105263158,0.4055155796864825
2.1052631578947367,15.789473684210526,0.406457920465969
