time_h,biomass_gL,maltose_mM,ammonium_mM,PHB_mM
0.0,0.05,20.0,20.0,0.0
0.1,0.05214702771472021,19.995488483467202,20.05,0.0
0.2,0.05438624998959594,19.990783239913778,20.10214702771472,0.0
0.30000000000000004,0.0567216257101432,19.985875950594078,20.156533277704316,0.0
0.4,0.05915728375861645,19.98075793955091,20.21325490341446,0.0
0.5,0.06169753031376277,19.97542015827666,20.272412187173074,0.0
0.6000000000000001,0.06434685646403153,19.969853169715794,20.334109717486836,0.0
0.7000000000000001,0.06710994614769948,19.964047131580372,20.398456573950867,0.0
0.8,0.06999168443394929,19.95799177894916,20.465566520098566,0.0
0.9,0.07299716615954206,19.951676406119518,20.535558204532514,0.0
1.0,0.07613170493635349,19.945089847679995,20.608555370692056,0.0
1.1,0.0794008425456985,19.938220458770186,20.68468707562841,0.0
1.2000000000000002,0.08281035873605347,19.931056094492927,20.76408791817411,0.0
1.3,0.08636628144149802,19.923584088442436,20.846898276910164,0.0
1.4000000000000001,0.09007489743894243,19.915791230310443,20.933264558351663,0.0
1.5,0.09394276346298218,19.907663742530726,21.023339455790605,0.0
1.6,0.0979767177980307,19.899187255920726,21.11728221925359,0.0
1.7000000000000002,0.10218389236822452,19.890346784277224,21.21525893705162,0.0
1.8,0.10657172534647577,19.881126697881125,21.317442829419843,0.0
1.9000000000000001,0.1111479743049644,19.871510695864536,21.42401455476632,0.0
2.0,0.11592072993031972,19.86148177739126,21.535162529071282,0.0
2.1,0.12089843032773953,19.851022211599766,21.651083259001602,0.0
2.2,0.12608987593933602,19.84011350625551,21.77198168932934,0.0
2.3000000000000003,0.1315042451030837,19.828736375057133,21.898071565268676,0.0
2.4000000000000004,0.13715111027987725,19.81687070353882,22.02957581037176,0.0
2.5,0.1430404549773881,19.804495513508435,22.166726920651637,0.0
2.6,0.14918269140064086,19.791588925958646,22.309767375629026,0.0
2.7,0.15558867886051536,19.77812812238542,22.458950067029665,0.0
2.8000000000000003,0.16226974297271987,19.764089304445513,22.61453874589018,0.0
2.9000000000000004,0.16923769568117888,19.749447651881628,22.776808488862898,0.0
3.0,0.17650485614123634,19.734177278640864,22.946046184544077,0.0
3.1,0.18408407249959502,19.71825118710886,23.122551040685313,0.0
3.2,0.19198874460949883,19.701641220378725,23.306635113184907,0.0
3.3000000000000003,0.20023284772131744,19.68431801247039,23.498623857794406,0.0
3.4000000000000004,0.20883095719041775,19.66625093641231,23.698856705515723,0.0
3.5,0.2177982742460052,19.64740805009382,23.90768766270614,0.0
3.6,0.22715065286649325,19.627756039792306,24.125485936952145,0.0
3.7,0.23690462780891616,19.607260161275445,24.352636589818637,0.0
3.8000000000000003,0.24707744384194044,19.58588417837432,24.589541217627552,0.0
3.9000000000000004,0.2576870862341578,19.563590298918836,24.836618661469494,0.0
4.0,0.2687523125515624,19.540339107922158,25.09430574770365,0.0
4.1000000000000005,0.2802926858204293,19.51608949789608,25.363058060255213,0.0
4.2,0.29232860911422576,19.490798596174056,25.643350746075644,0.0
4.3,0.30488136162570273,19.464421689113482,25.93567935518987,0.0
4.4,0.317973136287943,19.436912143043156,26.240560716815573,0.0
4.5,0.3316270790108773,19.408221321816182,26.558533853103516,0.0
4.6000000000000005,0.3458673296026384,19.378298500822563,26.890160932114394,0.0
4.7,0.3607190644481009,19.347090777309425,27.23602826171703,0.0
4.800000000000001,0.3762085410200611,19.314542976850365,27.596747326165133,0.0
4.9,0.3923631443017515,19.28059755579853,27.972955867185195,0.0
5.0,0.4092114352027639,19.245194499550973,28.365319011486946,0.0
5.1000000000000005,0.42678320105397904,19.20827121644443,28.77453044668971,0.0
5.2,0.4451095082707769,19.169762427094923,29.20131364774369,0.0
5.300000000000001,0.46422275727763357,19.12960004898554,29.646423156014464,0.0
5.4,0.48415673979121165,19.08771307609836,30.110645913292096,0.0
5.5,0.5049466985632177,19.04402745337769,30.594802653083306,0.0
5.6000000000000005,0.5266293896886515,18.9984659458027,31.099749351646523,0.0
5.7,0.5492431475896058,18.950948001837947,31.626378741335174,0.0
5.800000000000001,0.5728279527895065,18.90138961102042,32.17562188892478,0.0
5.9,0.5974255025976165,18.84970315543125,32.74844984171429,0.0
6.0,0.623079284828771,18.795797254789566,33.34587534431191,0.0
6.1000000000000005,0.6498346546886791,18.73957660489459,33.968954629140676,0.0
6.2,0.6777389149607235,18.68094180913033,34.61878928382936,0.0
6.300000000000001,0.7068413996360248,18.619789202735017,35.29652819879008,0.0
6.4,0.7371935611346279,18.55601066952454,36.003369598426104,0.0
6.5,0.7688490612720142,18.489493450745922,36.74056315956073,0.0
6.6000000000000005,0.8018638661317665,18.420119945722828,37.50941222083274,0.0
6.7,0.8362963450121181,18.347767503940695,38.31127608696451,0.0
6.800000000000001,0.8722073736213224,18.272308208203885,39.14757243197663,0.0
6.9,0.9096604417042882,18.19360864848147,40.01977980559795,0.0
7.0,0.9487217652907625,18.111529686041848,40.92944024730224,0.0
7.1000000000000005,0.9894604037635131,18.02592620745916,41.878162012593,0.0
7.2,1.031948381953483,17.936646868056602,42.86762241635652,0.0
7.300000000000001,1.0762608174777786,17.84353382433306,43.89957079831,0.0
7.4,1.1224760535456226,17.746422454899992,44.97583161578778,0.0
7.5,1.1706757974670665,17.645141069435176,46.09830766933341,0.0
7.6000000000000005,1.2209452651093455,17.539510605138798,47.26898346680048,0.0
7.7,1.2733733315562685,17.42934431015516,48.48992873190982,0.0
7.800000000000001,1.3280526882370063,17.31444741340036,49.76330206346609,0.0
7.9,1.3850800068020763,17.194616780212204,51.0913547517031,0.0
8.0,1.444556110036254,17.0696405532135,52.47643475850518,0.0
8.1,1.5065861501105786,16.939297777753847,53.92099086854143,0.0
8.200000000000001,1.5712797944885988,16.803358011267687,55.42757701865201,0.0
8.3,1.6387514198155362,16.661580915857957,56.998856813140605,0.0
8.4,1.7091203141331566,16.513715833385085,58.63760823295614,0.0
8.5,1.78251088777786,16.35950134231004,60.3467285470893,0.0
8.6,1.8590528933348511,16.198664795508,62.12923943486716,0.0
8.700000000000001,1.9388816550372647,16.030921838235486,63.98829232820201,0.0
8.8,2.022138308015816,15.855975905398706,65.92717398323927,0.0
8.9,2.108970047821963,15.673517697234363,67.94931229125508,0.0
9.0,2.1995303906657333,15.48322463247588,70.05828233907705,0.0
9.1,2.2939794448283064,15.284760278038286,72.25781272974278,0.0
9.200000000000001,2.3924841937292025,15.077773754213462,74.55179217457109,0.0
9.3,2.495218791148534,14.861899114324128,76.9442763683003,0.0
9.4,2.6023648691262644,14.63675469773984,79.43949515944882,0.0
9.5,2.7141118590828297,14.401942455111135,82.04186002857509,0.0
9.600000000000001,2.8306573267288613,14.15704724462884,84.75597188765792,0.0
9.700000000000001,2.9522073213561137,13.90163609806439,87.58662921438679,0.0
9.8,3.078976740127142,13.635257455293495,90.5388365357429,0.0
9.9,3.2111897080077783,13.357440365949826,93.61781327587005,0.0
10.0,3.349079974014117,13.067693656797282,96.82900298387783,0.0
10.100000000000001,3.4928913244745705,12.765505063348748,100.17808295789195,0.0
10.200000000000001,3.6428780140376227,12.450340324196087,103.67097428236652,0.0
10.3,3.799305215187295,12.12164223645016,107.31385229640414,0.0
10.4,3.9624494870610567,11.778829670620913,111.11315751159142,0.0
10.5,4.132599264399034,11.42129654319587,115.07560699865247,0.0
10.600000000000001,4.310055367488974,11.048410745100584,119.20820626305151,0.0
10.700000000000001,4.495131534008521,10.659513024146577,123.51826163054048,0.0
10.8,4.6881549737051005,10.253915819490974,128.013393164549,0.0
10.9,4.889466946894063,9.830902046047198,132.7015481382541,0.0
11.0,5.09942336779786,9.38972382669758,137.59101508514817,0.0
11.100000000000001,5.318395433792936,8.929601170066471,142.69043845294604,0.0
11.200000000000001,5.546770281676831,8.449720591516208,148.00883388673898,0.0
11.3,5.78495167211576,7.949233674927878,153.5556041684158,0.0
11.4,6.0333607034827486,7.427255572724147,159.34055584053158,0.0
11.5,6.292436556348372,6.882863441482248,165.37391654401432,0.0
11.600000000000001,6.562637269940341,6.315094810371309,171.6663531003627,0.0
11.700000000000001,6.844440551944692,5.722945879529492,178.22899037030305,0.0
11.8,7.138344623080292,5.105369745372489,185.07343092224775,0.0
11.9,7.444869097939837,4.461274549695789,192.21177554532804,0.0
12.0,7.764555903654652,3.7895215492983687,199.65664464326787,0.0
12.100000000000001,8.097970238007472,3.0889231027149524,207.4212005469225,0.0
12.200000000000001,8.445701568687099,2.3582405704974456,215.51917078492997,0.0
12.3,8.808364675451639,1.5961821253332824,223.96487235361707,0.0
12.4,9.18660073704278,0.8014004681290385,232.7732370290687,0.0
12.5,9.580603058254779,0.0,241.95983776611146,0.0
12.600000000000001,9.976968971384915,0.0,251.54044082436624,0.0
12.700000000000001,10.389733219373118,0.0,261.5174097957512,0.0
