,minimum,maximum
PHBS_syn_1,30.334581673306758,30.3345816733068
AACOAR_syn,30.33458167330676,30.3345816733068
ACACT1r,15.211257193441286,15.211257193449555
HACD1i,0.0,0.0
HACD1,0.0,0.0
HACD1_1,0.0,1.5060086643544656e-14
BUTCT2,0.0,25.12332447985862
ACACCT,0.0,24.346657813192603
OCOAT1,-10.0,15.123324479858642
ACt2rpp,0.0,3.097808603555791e-14
ACt4pp,0.0,2.6544527691414097e-14
ADPDA,0.0,10.000000000000036
AGDC,0.0,-4.868135560289223e-15
AHSERL2,0.0,10.000000000000043
AHSERL4,0.0,2.93267357465004e-14
AKGDH,0.0,5.958669842900753e-14
BUTCT,0.0,24.34665781319249
BUTKr,-10.0,9.999999999999998
BUTt2rpp,0.0,1.4932608243846224e-14
BUTt4pp,0.0,-8.119757483534247e-15
CS,0.0,-1.2938032974456998e-14
CYSGL,0.0,-1.4828020040348277e-14
CYSS,0.0,8.081606546237122e-15
CYSS_2,0.0,3.0812354143286495e-14
ALDD2x,0.0,5.79508571135841e-14
ALDD2y,0.0,1.5955287303487815e-14
ALDD4,0.0,2.203959560090307e-14
AMID4,0.0,1.5540803310436964e-14
AMID_1,0.0,3.841971113230988e-14
APATi,0.0,10.00000000000005
BDH,5.123324479857218,5.123324479858733
BSCT,-1.0271818348017991e-14,4.489120594845807e-14
G1PACT,0.0,3.901548896575267e-14
GLUTARH,0.0,1.332680117376566e-14
GLYAT,-9.878110171556134e-14,6.317798735401754e-14
HMGL,0.0,3.640032310915813e-14
HMGL_2,0.0,2.486035802647837e-14
HMR_9610,0.0,2.5086493912282565e-14
HSERTA,0.0,1.1060290838495062e-14
HXCT,0.0,2.7892929933934222e-14
IBTMr,4.917215582115797,4.917215582116139
ICL,0.0,4.1847607986620826e-14
IPPS,0.0,6.305503232006501e-15
KAS13,0.0,1.003384503086794e-15
KAS17,0.0,2.124238034061886e-15
KAS2,0.0,2.7007134144819016e-15
KAS7,0.0,2.1355322651019125e-16
KAS8,0.0,1.5190583352454911e-15
MACCOAT,0.0,-3.1233872948777066e-15
MALS,0.0,1.7744838660563258e-14
MCITL2,4.917215582115884,4.917215582115993
METB1,-10.0,1.1670398068774344e-14
MMM,0.0,3.0272032781240013e-13
MMM2,0.0,2.113195654313145e-13
MMSAD3,0.0,1.0014469678240987e-13
OCOAT2r,0.0,5.185093361482489e-13
DAPDA,-10.0,4.088333242953796e-14
DHPACCOAHIT,0.0,0.7361266046922024
ECOAH1,0.0,0.0
ECOAH1_1,0.0,5.261584448873783e-15
FRD2,0.0,1.8243957204693925e-13
FRD3,0.0,3.5395896301238113e-13
FRDx,0.0,3.227299871525902e-13
FUMAC,0.0,2.2140425256098136e-14
PTAr,-10.0,10.0
PROAKGOX1,0.0,3.186529766446351e-14
POR_syn,4.364183266927654,4.364183266933712
PHHL,0.0,2.718757185398672e-14
PDHbr,0.0,8.606233587450499e-13
PDH,0.0,8.925380671306506e-13
PBUTT,-10.0,10.000000000000004
OXDHCOAT,0.0,0.7361266046927424
SLCYSS,0.0,4.733956485878085e-14
SDPDS,0.0,10.000000000000028
SERAT,-1.552459496632305e-30,3.077458025137907e-14
SHSL1,0.0,10.000000000000332
SHSL2,-10.0,10.0
SHSL2r,-10.0,10.0
SHSL3,0.0,5.172106103327501e-14
PTRCAT1,0.0,5.3189824098567525e-14
SUCD2,4.91721558211584,4.917215582116397
SUCD1,-3.971827676951445e-13,0.0
