knockouts,n_knockouts,max_growth,min_PHB_at_max_growth
13PPDH + VECOAH,2,0.4294055429440428,0.0
13PPDH + VNDH_2,2,0.4294055429440428,0.0
13PPDH + VPAMTr,2,0.42940554294403777,0.0
13PPDH + XANt2,2,0.42940554294403777,0.0
13PPDH + XPPT,2,0.42940554294403777,0.0
13PPDH2 + XYLabc,2,0.42940554294404354,0.0
13PPDH2 + XYLabcpp,2,0.42940554294404354,0.0
13PPDH2 + XYLt2,2,0.42940554294404354,0.0
13PPDH2 + 23PDE4pp,2,0.42940554294404354,0.0
13PPDH2 + 23PDE2pp,2,0.42940554294404354,0.0
13PPDH2 + 23CUMPtex,2,0.42940554294404015,0.0
13PPDH2 + 23CGMPtex,2,0.35938428278618756,0.0
13PPDH2 + 23CCMPtex,2,0.42940554294404115,0.0
13PPDH2 + 23CAMPtex,2,0.4294055429440407,0.0
13PPDH2 + 13PPDH2_1,2,0.4294055429440407,0.0
13PPDH + 2MAHMP,2,0.4294055429440407,0.0
13PPDH + 2PGLYCt6,2,0.4294055429440395,0.0
13PPDH + 2S6HCCi,2,0.42940554294403954,0.0
13PPDH + 34HPPOR,2,0.42940554294403954,0.0
13PPDH + 3AMPt6,2,0.42940554294403954,0.0
13PPDH + 3CMPt6,2,0.42940554294403954,0.0
13PPDH2 + 3NTD2pp,2,0.4294055429440377,0.0
13PPDH2 + 3NTD4pp,2,0.4294055429440377,0.0
13PPDH2 + 3NTD7pp,2,0.4294055429440389,0.0
13PPDH2 + VALt2r,2,0.4294055429440389,0.0
13PPDH2 + VALt2rpp,2,0.42940554294403915,0.0
13PPDH2 + VALt3pp,2,0.4288684662592432,0.0
13PPDH2 + VALtex,2,0.42886846625924185,0.0
13PPDH2 + VECOAH,2,0.4294055429440389,0.0
13PPDH2 + VNDH_2,2,0.4294055429440389,0.0
13PPDH2 + VPAMTr,2,0.42940554294404354,0.0
13PPDH2 + XANt2,2,0.42940554294404354,0.0
13PPDH2 + XPPT,2,0.42940554294404354,0.0
13PPDH2 + XTSNH,2,0.42940554294404354,0.0
13PPDH2 + XYLI1,2,0.42940554294404354,0.0
13PPDH2 + XYLI2,2,0.42940554294404354,0.0
13PPDH2 + XYLK,2,0.42940554294404354,0.0
13PPDH2_1 + 23PDE4pp,2,0.4294055429440404,0.0
13PPDH2_1 + 23PDE2pp,2,0.4294055429440404,0.0
13PPDH2_1 + 23CUMPtex,2,0.4294055429440409,0.0
13PPDH2_1 + 23CGMPtex,2,0.3593842827861876,0.0
13PPDH2_1 + 23CCMPtex,2,0.4294055429440395,0.0
13PPDH2_1 + 23CAMPtex,2,0.4294055429440381,0.0
13PPDH2 + 2MAHMP,2,0.4294055429440381,0.0
13PPDH2 + 2PGLYCt6,2,0.4294055429440381,0.0
13PPDH2 + 2S6HCCi,2,0.4294055429440381,0.0
13PPDH2 + 34HPPOR,2,0.4294055429440381,0.0
13PPDH2 + 3AMPt6,2,0.4294055429440381,0.0
13PPDH2 + 3CMPt6,2,0.42940554294403904,0.0
13PPDH2 + 3GMPtex_1,2,0.20519899853344428,0.0
13PPDH2 + 3MBt2pp,2,0.4294055429440377,0.0
13PPDH2 + 3MBt4pp,2,0.4294055429440377,0.0
13PPDH2 + 3MBtex,2,0.4294055429440377,0.0
13PPDH2_1 + VALt2r,2,0.4294055429440395,0.0
13PPDH2_1 + VALt2rpp,2,0.42940554294403926,0.0
13PPDH2_1 + VALt3pp,2,0.42886846625924246,0.0
13PPDH2_1 + VALtex,2,0.428868466259243,0.0
13PPDH2_1 + VECOAH,2,0.4294055429440404,0.0
13PPDH2_1 + VNDH_2,2,0.4294055429440404,0.0
13PPDH2_1 + VPAMTr,2,0.4294055429440404,0.0
13PPDH2_1 + XANt2,2,0.4294055429440404,0.0
13PPDH2_1 + XPPT,2,0.4294055429440404,0.0
13PPDH2_1 + XTSNH,2,0.4294055429440404,0.0
13PPDH2_1 + XYLI1,2,0.4294055429440404,0.0
13PPDH2_1 + XYLI2,2,0.4294055429440404,0.0
13PPDH2_1 + XYLK,2,0.4294055429440404,0.0
13PPDH2_1 + XYLabc,2,0.4294055429440404,0.0
13PPDH2_1 + XYLabcpp,2,0.4294055429440404,0.0
13PPDH2_1 + XYLt2,2,0.4294055429440404,0.0
23CAMPtex + 23CUMPtex,2,0.4294055429440441,0.0
23CAMPtex + 23CGMPtex,2,0.3587404879532326,0.0
23CAMPtex + 23CCMPtex,2,0.42940554294403915,0.0
13PPDH2_1 + 2MAHMP,2,0.4294055429440389,0.0
13PPDH2_1 + 2PGLYCt6,2,0.4294055429440389,0.0
13PPDH2_1 + 2S6HCCi,2,0.4294055429440389,0.0
13PPDH2_1 + 34HPPOR,2,0.4294055429440389,0.0
13PPDH2_1 + 3AMPt6,2,0.4294055429440389,0.0
13PPDH2_1 + 3CMPt6,2,0.4294055429440408,0.0
13PPDH2_1 + 3GMPtex_1,2,0.20519899853345136,0.0
13PPDH2_1 + 3MBt2pp,2,0.4294055429440398,0.0
13PPDH2_1 + 3MBt4pp,2,0.4294055429440398,0.0
13PPDH2_1 + 3MBtex,2,0.4294055429440398,0.0
13PPDH2_1 + 3NTD2pp,2,0.4294055429440398,0.0
13PPDH2_1 + 3NTD4pp,2,0.4294055429440398,0.0
13PPDH2_1 + 3NTD7pp,2,0.4294055429440395,0.0
