reaction_id,reaction_name,growth,growth_fraction_of_wt,classification,growth_coupled_PHB_after_knockout
LDH_L,L-lactate dehydrogenase,0.4294055429440395,0.9999999999999952,non-essential,4.678907691914946
EX_alagly_e,R_EX_alagly_e,0.4294055429440395,0.9999999999999952,non-essential,4.6789076919151364
DADK,Deoxyadenylate kinase,0.4294055429440395,0.9999999999999952,non-essential,4.678907691915302
EX_met_L_ala__L_e,R_EX_met_L_ala__L_e,0.4294055429440395,0.9999999999999952,non-essential,4.678907691915035
FE3t,"Ferric iron uptake, plasma membrane",0.4293470803386964,0.9998638522340808,non-essential,4.678870548651895
BG_CELLB,Beta glucosidase  cellobiose,0.42940554294404,0.9999999999999963,non-essential,4.678907691915846
NTPP8,Nucleoside triphosphate pyrophosphorylase (utp),0.4294055429440395,0.9999999999999952,non-essential,4.678907691915549
PUNP1,Purine-nucleoside phosphorylase (Adenosine),0.429405542944041,0.9999999999999987,non-essential,4.67890769191547
PSD180,Phosphatidylserine decarboxylase (n-C18:0),0.4294055429440422,1.0000000000000016,non-essential,4.678907691915251
ATAH_1,,0.4294055429440422,1.0000000000000016,non-essential,4.678907691915035
G3PD4,Glycerol 3 phosphate dehydrogenase  menaquinone 7,0.429405542944042,1.000000000000001,non-essential,4.67890769191516
MALDDH,Malate decarboxylating oxidoreductase (decarboxylating),0.4294055429440352,0.9999999999999852,non-essential,4.678907691915272
BUTSO3tex,Butanesulfonate transport via diffusion (extracellular to periplasm),0.4294055429440352,0.9999999999999852,non-essential,4.678907691914931
GLYTYRabc,Gly-Try ABC transporters,0.4294055429440352,0.9999999999999852,non-essential,4.678907691915153
EX_etoh_e,R_EX_etoh_e,0.4294055429440352,0.9999999999999852,non-essential,4.678907691915231
NMNHYD_1,Nicotinamide ribonucleotide phosphohydrolase,0.4294055429440352,0.9999999999999852,non-essential,4.678907691915274
BZDH,Benzaldehyde dehydrogenase,0.4294055429440352,0.9999999999999852,non-essential,4.678907691914956
AM3PA,Anhydrous-N-Acetylmuramyl-tripeptide amidase,0.4294055429440352,0.9999999999999852,non-essential,4.678907691915011
EX_ttdcea_e,R_EX_ttdcea_e,0.4294055429440352,0.9999999999999852,non-essential,4.678907691914379
3CMPt6,3  CMP transport in via proton symport,0.4294055429440352,0.9999999999999852,non-essential,4.678907691914981
MME,Methylmalonyl-CoA epimerase,0.4294055429440352,0.9999999999999852,non-essential,4.678907691914884
LTHRK,L threonine kinase,0.4294055429440352,0.9999999999999852,non-essential,4.678907691915295
ECOAH9ir,2 Methylprop 2 enoyl CoA  2 Methylbut 2 enoyl CoA,0.4294055429440352,0.9999999999999852,non-essential,4.678907691914921
TNTHAC1,2 4 6 dinitrotoluene meisenheimer dihydrideTNT derived hydroxylamines condensation,0.4294055429440352,0.9999999999999852,non-essential,4.678907691915277
BUTCT2,,0.4294055429440352,0.9999999999999852,non-essential,4.678907691915071
FRDx,Fumarate reductase NADH,0.4294055429440352,0.9999999999999852,non-essential,4.678907691915321
CHOLD,Choline dehydrogenase,0.42940554294403643,0.9999999999999881,non-essential,4.678907691915191
EX_lipoate_e,R_EX_lipoate_e,0.42940554294403643,0.9999999999999881,non-essential,4.6789076919152395
CYTBD2pp,Cytochrome oxidase bd (menaquinol-8: 2 protons) (periplasm),0.42940554294403643,0.9999999999999881,non-essential,4.678907691915368
NTD10,5'-nucleotidase (XMP),0.42940554294403643,0.9999999999999881,non-essential,4.678907691915168
DAGK_BS,Diacylglycerol kinase,0.42940554294403643,0.9999999999999881,non-essential,4.6789076919150805
EX_ad_e,R_EX_ad_e,0.42940554294403643,0.9999999999999881,non-essential,4.678907691915373
EX_ile__L_e,R_EX_ile__L_e,0.42869030363250193,0.9983343500723445,non-essential,4.696909125921063
2AGPG161tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1) transporter via facilitated diffusion (periplasm),0.42940554294404876,1.0000000000000169,non-essential,4.6789076919149535
ALALEUabcpp,L Alaninylleucine  Ala Leu  transport via ABC system  periplasm,0.42940554294403444,0.9999999999999835,non-essential,4.678907691915192
CLtex,Chloride (Cl-1) transport via diffusion (extracellular to periplasm),0.42940554294403444,0.9999999999999835,non-essential,4.678907691914964
ACHBS,2-aceto-2-hydroxybutanoate synthase,0.42940554294403444,0.9999999999999835,non-essential,4.678907691915141
23PDE4pp,"2',3'-cyclic-nucleotide phosphodiesterase (CMP) (periplasm)",0.42940554294403444,0.9999999999999835,non-essential,4.678907691914964
CITt3pp,Citrate transport out via proton antiport (periplasm),0.42940554294403444,0.9999999999999835,non-essential,4.678907691915141
R5PP,Ribose 5-phosphate phosphatase,0.42940554294403444,0.9999999999999835,non-essential,4.678907691914964
ASPO1,L-aspartate oxidase,0.42940554294403444,0.9999999999999835,non-essential,4.678907691915141
ORNTA_1,Ornithine transaminase,0.42940554294403444,0.9999999999999835,non-essential,4.678907691914964
PYNP2r_1,Pyrimidine-nucleoside phosphorylase (uracil),0.42940554294403444,0.9999999999999835,non-essential,4.678907691915141
AGM4PCP,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide L,D-carboxypeptidase",0.42940554294403444,0.9999999999999835,non-essential,4.678907691914964
ADPRDP,ADPribose diphosphatase,0.42940554294403444,0.9999999999999835,non-essential,4.678907691915141
GLYK,Glycerol kinase,0.42940554294403444,0.9999999999999835,non-essential,4.678907691914964
ALATRPtex,L Alaninyltryptophan transport via diffusion  extracellular to periplasm,0.42940554294403444,0.9999999999999835,non-essential,4.678907691915141
PPRDNDH,Piperideine dehydrogenase,0.42940554294403444,0.9999999999999835,non-essential,4.678907691914964
NO2tex,Nitrite transport via diffusion (extracellular to periplasm),0.42940554294403444,0.9999999999999835,non-essential,4.678907691915141
NTD3,5'-nucleotidase (dCMP),0.42940554294403444,0.9999999999999835,non-essential,4.678907691914964
LIPO2S24_BS,Lipoteichoic acid synthesis  n24   linked  N acetylglucosamine substituted,1.1019020070842719e-16,2.5661103476437134e-16,essential,
GHMT2r,"Glycine hydroxymethyltransferase, reversible",0.4294050291152023,0.9999988033949545,non-essential,4.669031769871988
ASPabc,L-aspartate transport via ABC system,0.4294055429440394,0.999999999999995,non-essential,4.678907691915094
PLIPA2A160pp,"Phospholipase A2 (phosphatidate, n-C16:0) (periplasm)",0.42940554294404015,0.9999999999999968,non-essential,4.678907691915122
GALM,Aldose 1 epimerase,0.42940554294404015,0.9999999999999968,non-essential,4.678907691915071
PE160abcpp,"Phosphatidylethanolamine transport via ABC system (n-C16:0, periplasm)",0.42940554294404015,0.9999999999999968,non-essential,4.678907691915229
UAGPT2,UDP-N-acetylglucosamine-N-acetylmuramyl-(pentapeptide)pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,0.42940554294404015,0.9999999999999968,non-essential,4.678907691915071
EX_salchs2fe_e,R_EX_salchs2fe_e,0.42940554294404015,0.9999999999999968,non-essential,4.678907691915229
POR_syn,Pyruvate-ferredoxin oxidoreductase,0.42940554294404015,0.9999999999999968,non-essential,4.678907691915067
FBA,Fructose-bisphosphate aldolase,0.416032048032159,0.9688557934762725,non-essential,4.474007805504253
AIRC1,Phosphoribosylaminoimidazole carboxylase  ATP dependent,0.42940554294404143,0.9999999999999998,non-essential,4.6789076919154295
THZPSN_1,Thiazole phosphate synthesis,0.4294055429440355,0.9999999999999859,non-essential,4.6789076919151835
FOLR2,Folate reductase,0.4293885872416169,0.9999605135455206,non-essential,4.678838914768304
GLYPHEHYc,Hydrolysis of glycylphenylalanine,0.4294055429440359,0.9999999999999868,non-essential,4.678907691915064
EX_acgam_e,R_EX_acgam_e,0.42940554294403804,0.9999999999999919,non-essential,4.678907691915311
P5CD,1-pyrroline-5-carboxylate dehydrogenase,0.42940554294403804,0.9999999999999919,non-essential,4.678907691915087
EX_gly_pro__L_e,R_EX_gly_pro__L_e,0.42940554294403804,0.9999999999999919,non-essential,4.678907691915235
LEUtex,L-leucine transport via diffusion (extracellular to periplasm),0.42940554294403804,0.9999999999999919,non-essential,4.67890769191648
MLDCP2Bpp,"Murein L,D-carboxypeptidase (murein4p3p) (periplasm)",0.42940554294403804,0.9999999999999919,non-essential,4.678907691914788
MCTP2App,Murein crosslinking transpeptidase 1A:(A2pm->D-ala) (periplasm),0.42940554294403804,0.9999999999999919,non-essential,4.67890769191523
IPPMIb,2-isopropylmalate hydratase,0.42940554294403804,0.9999999999999919,non-essential,4.678907691914886
MDH,Malate dehydrogenase,0.41879289730372843,0.9752852616490418,non-essential,5.452388783449384
EX_cit_e,R_EX_cit_e,-2.42091713197496e-16,-5.637833911916793e-16,essential,
MDDCP2pp,"Murein D,D-carboxypeptidase (murein5px4px4p) (periplasm)",0.42940554294403915,0.9999999999999944,non-essential,4.678907691915212
ZN2abcpp,"Zinc (Zn+2) ABC transporter, efflux (periplasm)",0.4294055429440403,0.9999999999999971,non-essential,4.67890769191528
EX_octa_e,R_EX_octa_e,0.4294055429440403,0.9999999999999971,non-essential,4.678907691916219
ALCD2x,Alcohol dehydrogenase (ethanol),0.4294055429440403,0.9999999999999971,non-essential,4.678907691915532
PPAKr,Propionate kinase,0.42940554294403677,0.9999999999999889,non-essential,4.678907691915385
SUCRt2,Sucrose transport in via proton symport,0.42940554294404,0.9999999999999963,non-essential,4.6789076919152
DALADALAD,Beta alanine beta alanine dipeptidase,0.4294055429440416,1.0000000000000002,non-essential,4.678907691915344
EX_3gmp_e,R_EX_3gmp_e,0.2051989985334458,0.4778676053564277,critical,4.233176051324675
HISGLYtex,L Histidinylglycine transport via diffusion  extracellular to periplasm,0.42940554294403893,0.9999999999999939,non-essential,4.678907691915222
ECOAH6,3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA),0.42940139548178297,0.9999903413863032,non-essential,4.678857492417047
TMDPP,Thymidine phosphorylase,0.42940554294404104,0.9999999999999989,non-essential,4.678907691915191
RNDR4,Ribonucleoside-diphosphate reductase (UDP),0.42940554294403904,0.9999999999999942,non-essential,4.67890769191512
DNTPPA,Dihydroneopterin triphosphate pyrophosphatase,0.42940554294403904,0.9999999999999942,non-essential,4.67890769191528
NDP7,Nucleoside diphosphatase  UDP,0.42940554294403904,0.9999999999999942,non-essential,4.678907691915166
EX_galur_e,R_EX_galur_e,0.42940554294403904,0.9999999999999942,non-essential,4.678907691915622
CU2tex,Copper (Cu+2) transport via diffusion (extracellular to periplasm),-1.9295323263710012e-16,-4.493496551399781e-16,essential,
GTHPe,Glutathione peroxidase,0.4256371690833192,0.9912242076921364,non-essential,4.1511009650489274
FRUK,Fructose-1-phosphate kinase,0.4294055429440392,0.9999999999999946,non-essential,4.678907691914806
PG161abcpp,"Phosphatidylglycerol transport via ABC system (n-C16:1, periplasm)",0.42940554294403976,0.9999999999999959,non-essential,4.678907691915174
RECOAH3,3 hydroxyacyl Coa dehydratase   3R  3 hydroxyoctanoyl CoA,0.42940554294403976,0.9999999999999959,non-essential,4.678907691915166
OCBT,Ornithine carbamoyltransferase,0.42940554294403976,0.9999999999999959,non-essential,4.6789076919152714
KAS7,B-ketoacyl synthetase (n-C16:1),0.42940554294403976,0.9999999999999959,non-essential,4.678907691915166
5DGLCNR,5-dehydro-D-gluconate reductase,0.42940554294403976,0.9999999999999959,non-essential,4.6789076919152714
NOR_syn_1,Ferredoxin-Nitrite Reductase,0.42940554294403976,0.9999999999999959,non-essential,4.678907691915166
EX_cytd_e,R_EX_cytd_e,0.42940554294403976,0.9999999999999959,non-essential,4.669438236914448
MDRPD,5-Methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase,0.4294055429440381,0.999999999999992,non-essential,4.678907691915264
ETHSO3tex,Ethanesulfonate transport via diffusion (extracellular to periplasm),0.4294055429440381,0.999999999999992,non-essential,4.678907691915145
MLDCP2App,"Murein L,D-carboxypeptidase (murein5p5p) (periplasm)",0.4294055429440381,0.999999999999992,non-essential,4.678907691915659
Kt3r,Potassium transport out via proton antiport,0.4294055429440381,0.999999999999992,non-essential,4.678907691915099
ACLDC,Acetolactate decarboxylase,0.4294055429440381,0.999999999999992,non-essential,4.678907691915659
S6PG,Salicin 6 phosphate glucohydrolase,0.4294055429440381,0.999999999999992,non-essential,4.678907691915099
GLYOX,Hydroxyacylglutathione hydrolase,0.4294055429440381,0.999999999999992,non-essential,4.678907691915659
ALATRPabcpp,L Alaninyltryptophan  Ala Trp  transport via ABC system  periplasm,0.4294055429440381,0.999999999999992,non-essential,4.678907691915099
PItex,Phosphate transport via diffusion (extracellular to periplasm),0.3587404879532154,0.8354351587863994,non-essential,4.432166666666653
G6PDH2r,Glucose 6-phosphate dehydrogenase,0.42940554294403405,0.9999999999999826,non-essential,4.678907691915256
PMDPHT,Pyrimidine phosphatase,0.42940554294403827,0.9999999999999923,non-essential,4.678907691915452
HMBS,Hydroxymethylbilane synthase,0.42940554294403827,0.9999999999999923,non-essential,4.6789076919153185
DHPS,Dihydropteroate synthase,0.42940554294403827,0.9999999999999923,non-essential,4.678907691914831
THZPSN,Thiazole phosphate synthesis,0.42940554294403827,0.9999999999999923,non-essential,4.678907691915251
ACACtex,Acetoacetate transport via diffusion (extracellular to periplasm),0.42940554294403827,0.9999999999999923,non-essential,4.678907691915444
NTD1,5'-nucleotidase (dUMP),0.42940554294403827,0.9999999999999923,non-essential,4.678907691915285
PPOR,"Phenylpyruvate:oxygen oxidoreductase (hydroxylating,decarboxylating)",0.42940554294403827,0.9999999999999923,non-essential,4.6789076919150085
EX_agm_e,R_EX_agm_e,0.42940554294403827,0.9999999999999923,non-essential,4.67890769191517
AGM3PH,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide beta -1,4-N-acetylglucosaminidase",0.42940554294403827,0.9999999999999923,non-essential,4.67890769191512
CDGUNPD,"3,5-cyclic-nucleotide phosphodiesterase",0.42940554294403827,0.9999999999999923,non-essential,4.67890769191517
PHBS_syn_1,PHB synthetase,0.42940554294403827,0.9999999999999923,non-essential,0.0
AMPEP18,Aminopeptidase,0.42940554294403827,0.9999999999999923,non-essential,4.678907691915203
Kabc,Potassium ABC transporter,0.42940554294403827,0.9999999999999923,non-essential,4.678907691915017
BALAt2pp,Beta-alanine transport in via proton symport (periplasm),0.42940554294403827,0.9999999999999923,non-essential,4.678907691915132
SULR,Sulfite reductase (NADPH2),0.42940554294403827,0.9999999999999923,non-essential,4.678907691915296
EX_gthrd_e,R_EX_gthrd_e,0.4256371690833118,0.991224207692119,non-essential,4.151100965048802
ACOADH2,Acyl CoA dehydrogenase  isobutyryl CoA,0.4294055429440415,0.9999999999999999,non-essential,4.678907691915398
DHDPS,Dihydrodipicolinate synthase,2.6222855273500697e-13,6.106780805323222e-13,essential,
ECOAH1,3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA),0.4294055429440395,0.9999999999999952,non-essential,4.678907691915236
GLCabc,D-glucose transport via ABC system,0.4294055429440417,1.0000000000000004,non-essential,4.678907691915203
EX_acald_e,R_EX_acald_e,0.42940554294403943,0.9999999999999951,non-essential,4.678907691915233
ALDD2y,"Aldehyde dehydrogenase (acetaldehyde, NADP)",0.42940554294403943,0.9999999999999951,non-essential,4.678907691915095
ADPDA,N6 acetyl LL 2 6 diaminoheptanedioate amidohydrolase,0.42940554294403943,0.9999999999999951,non-essential,4.678907691915333
HISHIStex,L Histidinylhistidine transport via diffusion  extracellular to periplasm,0.42940554294403943,0.9999999999999951,non-essential,4.678907691915119
ACt4pp,Na+/Acetate symport (periplasm),0.42940554294403943,0.9999999999999951,non-essential,4.678907691915134
MCA,Methyl cis aconitase,0.42940554294403943,0.9999999999999951,non-essential,4.67890769191513
DDGLK,2-dehydro-3-deoxygluconokinase,0.42940554294403943,0.9999999999999951,non-essential,4.6789076919150085
FE3abcpp,Iron (III) transport via ABC system (periplasm to cytoplasm),0.42940554294403943,0.9999999999999951,non-essential,4.67890769191513
TARTRt7,Tartrate/succinate antiporter,0.41552333278213077,0.9676710969617832,non-essential,4.137762196392515
ACOAD1fr,Acyl-CoA dehydrogenase (butanoyl-CoA),0.4294055429440374,0.9999999999999903,non-essential,4.678907691914976
MYCTR,MYCTR,0.429405542944047,1.0000000000000127,non-essential,4.6789076919146915
ILEtex,L-isoleucine transport via diffusion (extracellular to periplasm),0.429405542944047,1.0000000000000127,non-essential,4.678907691915496
PG160abcpp,"Phosphatidylglycerol transport via ABC system (n-C16:0, periplasm)",0.429405542944047,1.0000000000000127,non-essential,4.678907691915691
GTHRDHpp,Glutathione hydralase (periplasmic),0.429405542944047,1.0000000000000127,non-essential,4.678907691915728
HSTPTr,Histidinol phosphate transaminase,0.429405542944047,1.0000000000000127,non-essential,4.678907691914115
GLYSERtex,L Glycinylserine transport via diffusion  extracellular to periplasm,0.429405542944047,1.0000000000000127,non-essential,4.678907691915499
SUCpts,Sucrose transport via PEP:Pyr PTS,0.429405542944047,1.0000000000000127,non-essential,4.678907691914115
EX_gln__L_e,R_EX_gln__L_e,0.429405542944047,1.0000000000000127,non-essential,4.678907691915499
ADPT,Adenine phosphoribosyltransferase,0.429405542944047,1.0000000000000127,non-essential,4.678907691916753
OXDHCOAT,"3-oxo-5,6-dehydrosuberyl-CoA thiolase",0.429405542944047,1.0000000000000127,non-essential,4.678907691915312
FTHFCL,5 formethyltetrahydrofolate cyclo ligase,0.429405542944047,1.0000000000000127,non-essential,4.67890769191491
EX_ala_B_e,R_EX_ala_B_e,0.429405542944047,1.0000000000000127,non-essential,4.678907691915312
2AACLPPEAT160,2 acyl acyl carrier protein glycerophospho glycerol acyltransferase  n C160,0.429405542944047,1.0000000000000127,non-essential,4.67890769191491
LSERDHr,L-serine dehydrogenase,0.429405542944047,1.0000000000000127,non-essential,4.678907691915312
EX_glymet_e,R_EX_glymet_e,0.429405542944047,1.0000000000000127,non-essential,4.678907691914976
ZN2t3pp,Zinc (Zn+2) transport out via proton antiport (periplasm),0.429405542944047,1.0000000000000127,non-essential,4.678907691915786
AHCYSNS,S-adenosylhomocysteine nucleosidase,0.429405542944047,1.0000000000000127,non-essential,4.67890769191491
THMDt2,Thymidine transport in via proton symport,0.4293603295612041,0.9998947070349222,non-essential,4.680045640730663
CELLBpts_2,,0.42940554294403244,0.9999999999999788,non-essential,4.678907691915323
EX_alatrp_e,R_EX_alatrp_e,0.4294055429440418,1.0000000000000007,non-essential,4.678907691915279
GLYCYSabc,Gly-Cys ABC transporters,0.4294055429440418,1.0000000000000007,non-essential,4.678907691915335
METSR_S2,L methionine S oxide reductase  H2O2,0.4294055429440418,1.0000000000000007,non-essential,4.678907691915279
PTRCabcpp,Putrescine transport via ABC system (periplasm),0.4294055429440418,1.0000000000000007,non-essential,4.678907691915335
GF6PTA,Glutamine-fructose-6-phosphate transaminase,0.4294055429440418,1.0000000000000007,non-essential,4.678907691915279
HMGL,Hydroxymethylglutaryl-CoA lyase,0.4294055429440418,1.0000000000000007,non-essential,4.678907691915335
TRPS3,Tryptophan synthase (indoleglycerol phosphate),0.4294055429440418,1.0000000000000007,non-essential,4.678907691915279
ACGS,N-acetylglutamate synthase,0.4294055429440418,1.0000000000000007,non-essential,4.678907691915335
URIt2,Uridine transport in via proton symport,0.4294055429440418,1.0000000000000007,non-essential,4.669625833461167
FACOAE140,Fatty-acid-CoA thioesterase (tetradecanoate),0.4294055429440384,0.9999999999999927,non-essential,4.678907691915314
ARGSS,Argininosuccinate synthase,0.4294055429440384,0.9999999999999927,non-essential,4.6789076919152945
UAGPT2_1,UDP-N-acetylglucosamine-N-acetylmuramyl-(pentapeptide)pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,0.4294055429440384,0.9999999999999927,non-essential,4.678907691914976
DATPHs,DATP amine hydrolysis (spontaneous),0.4294055429440384,0.9999999999999927,non-essential,4.678907691915279
EX_acon_C_e,R_EX_acon_C_e,0.4294055429440384,0.9999999999999927,non-essential,4.678907691915039
MCITS,2-methylcitrate synthase,0.4294055429440384,0.9999999999999927,non-essential,4.678907691915245
METSR_R1,L methionine R oxide reductase  trdrd,0.4294055429440384,0.9999999999999927,non-essential,4.678907691915033
SHCHF_2,Sirohydrochlorin ferrochetalase,0.4294055429440391,0.9999999999999943,non-essential,4.678907691915151
NTP1,Nucleoside-triphosphatase (ATP),0.4294055429440391,0.9999999999999943,non-essential,4.678907691915581
KARA1,"Ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)",0.42847216552725853,0.9978263498640849,non-essential,4.58961108189844
PGPP181pp,"Phosphatidylglycerol phosphate phosphatase (periplasm, n-C18:1)",0.4294055429440405,0.9999999999999976,non-essential,4.678907691915246
AMPEP4,Aminopeptidase,0.42940554294403976,0.9999999999999959,non-essential,4.678907691915277
MECDPDH2,"2C-methyl-D-erythritol 2,4 cyclodiphosphate dehydratase",1.847932829570961e-15,4.303467572638615e-15,essential,
AMPTASEHG,Aminopeptidase  His Gly,0.42940554294403904,0.9999999999999942,non-essential,4.678907691915074
DGNSK,Deoxyguanosine kinase,0.42940554294404254,1.0000000000000022,non-essential,4.678907691915245
FRUpts,D-fructose transport via PEP:Pyr PTS,0.42940554294404254,1.0000000000000022,non-essential,4.678907691914983
TECA2S45,Glycerol teichoic acid  n45   unlinked  D ala substituted,-9.239664147854805e-16,-2.1517337863193076e-15,essential,
RNDR2,Ribonucleoside-diphosphate reductase (GDP),0.4294055429440402,0.9999999999999969,non-essential,4.678907691915179
DH23t,,0.4294055429440407,0.9999999999999981,non-essential,4.678907691915103
