reaction_id,reaction_name,subsystem,distance_from_PHB
METt3pp,L-methionine tranport out via proton antiport (periplasm),,4
MFUMt8,Na+/fumarate symporter,,4
MGCH,Methylglutaconyl-CoA hydratase,,4
MHPGLUT,5 methyltetrahydropteroyltriglutamate homocysteine S methyltransferase,,4
MMCD,Methylmalonyl-CoA decarboxylase,,4
MME,Methylmalonyl-CoA epimerase,,4
MMETt2pp,S-methylmethionine permease (periplasm),,4
MMSAD1,Methylmalonate semialdehyde dehydrogenase,,4
MMSAD2,Methylmalonate-semialdehyde dehydrogenase (propanol),,4
MMSDHir,Methylmalonate semialdehyde dehydrogenase  acylating,,4
MN2t3pp,Manganese (Mn+2) transport out via proton antiport (periplasm),,4
MNLpts,Mannitol transport via PEP:Pyr PTS,,4
MNLptspp,Mannitol transport via PEP:Pyr PTS (periplasm),,4
MOHMT,3-methyl-2-oxobutanoate hydroxymethyltransferase,,4
MSULR,Metanesulfonate reductase  NADPH2,,4
NABTNO,N4 AcetylaminobutanalNAD oxidoreductase,,4
NADH10,NADH dehydrogenase (menaquinone-8 & 0 protons),,4
NADH4,NADH dehydrogenase  Menaquinone 7  no proton,,4
NADH9,NADH dehydrogenase (demethylmenaquinone-8 & 0 protons),,4
NADPHQR3,NADPH Quinone Reductase (Menaquinone-8),,4
NADS2,Nicotinate-mononucleotide adenylyltransferase,,4
NAt3pp,Sodium transport out via proton antiport (cytoplasm to periplasm),,4
NAtex,Sodium transport via diffusion (extracellular to periplasm),,4
NH4tpp_1,Ammonia ireversible transport (periplasm),,4
NI2t3pp,Nickle (Ni+2) transport out via proton antiport (periplasm),,4
NI2t4pp,Nickel transport out via antiport (periplasm),,4
NMO,Nitronate Monooxygenase,,4
NOR_syn_1,Ferredoxin-Nitrite Reductase,,4
NPHS,Naphthoate synthase,,4
OAADCS,Oxaloacetate decarboxylase sodium pump,,4
OBDHc,"2-Oxobutanoate dehydrogenase, cytosolic",,4
OCBT,Ornithine carbamoyltransferase,,4
OHPBAT,O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase,,4
OIVD1r,2-oxoisovalerate dehydrogenase (acylating; 4-methyl-2-oxopentaoate),,4
OIVD2,2-oxoisovalerate dehydrogenase (acylating; 3-methyl-2-oxobutanoate),,4
ORNTA,Ornithine transaminase,,4
ORNTAC_1,Ornithine transacetylase,,4
ORNTA_1,Ornithine transaminase,,4
OXADC,Oxalate decarboxylase,,4
OXAtpp,OxalateH antiporter  periplasm,,4
OXCOAHDH,"Oxepin-CoA hydrolase/ 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase (NADP+)",,4
OXGDC,2 oxoglutarate decarboxylase,,4
OXPTNDH,Glutarate-semialdehyde:NAD+ oxidoreductase,,4
P52O,,,4
P5CD,1-pyrroline-5-carboxylate dehydrogenase,,4
P5CR,Pyrroline-5-carboxylate reductase,,4
P5CRx,Pyrroline-5-carboxylate reductase(nadh),,4
PANO,,,4
PAPSR,Phosphoadenylyl-sulfate reductase (thioredoxin),,4
PC,Pyruvate carboxylase,,4
PDHcr,Pyruvate dehydrogenase (dihydrolipoamide dehydrogenase) reversible,,4
PGAMT,Phosphoglucosamine mutase,,4
PHACOAOR,Phenylacetyl-CoA oxygenase/reductase,,4
PHETA1,Phenylalanine transaminase,,4
PHHL2,,,4
PIt2rpp,Phosphate reversible transport via symport (periplasm),,4
PLIPA1E160pp,"Phospholipase A1 (phosphatidylethanolamine, n-C16:0) (periplasm)",,4
PLIPA1E161pp,"Phospholipase A1 (phosphatidylethanolamine, n-C16:1) (periplasm)",,4
PLIPA1E180pp,"Phospholipase A1 (phosphatidylethanolamine, n-C18:0) (periplasm)",,4
PLIPA1E181pp,"Phospholipase A1 (phosphatidylethanolamine, n-C18:1) (periplasm)",,4
PLIPA1G160pp,"Phospholipase A1 (phosphatidylglycerol, n-C16:0) (periplasm)",,4
PLIPA1G161pp,"Phospholipase A1 (phosphatidylglycerol, n-C16:1) (periplasm)",,4
PLIPA1G180pp,"Phospholipase A1 (phosphatidylglycerol, n-C18:0) (periplasm)",,4
PLIPA1G181pp,"Phospholipase A1 (phosphatidylglycerol, n-C18:1) (periplasm)",,4
PLIPA2A160pp,"Phospholipase A2 (phosphatidate, n-C16:0) (periplasm)",,4
PLIPA2A161pp,"Phospholipase A2 (phosphatidate, n-C16:1) (periplasm)",,4
PLIPA2E180pp,"Phospholipase A2 (phosphatidylethanolamine, n-C18:0) (periplasm)",,4
PLPS_1,Pyridoxal-5-phosphate synthase,,4
PNTOt4pp,Pantothenate sodium symporter (periplasm),,4
PPAt2pp,H+/Propionate symporter (periplasm),,4
PPAt4pp,Na+/Propionate symporter (periplasm),,4
PPC,Phosphoenolpyruvate carboxylase,,4
PPCK,Phosphoenolpyruvate carboxykinase,,4
PPCOAC,Propionyl-CoA carboxylase,,4
PPNCL,Phosphopantothenate-cysteine ligase,,4
PRAGSr,Phosphoribosylglycinamide synthase,,4
PRFGS,Phosphoribosylformylglycinamidine synthase,,4
PRFGS_1,Phosphoribosylformylglycinamidine synthase,,4
PRO1x,Proline oxidase  L proline  NAD,,4
PROabc,L-proline transport via ABC system,,4
PROt2r,L proline reversible transport via proton symport,,4
PROt2rpp,L-proline reversible transport via proton symport (periplasm),,4
PROt4,Na+/Proline-L symporter,,4
PROt4pp,Na+/Proline-L symporter (periplasm),,4
PSERT,Phosphoserine transaminase,,4
PSP_L,Phosphoserine phosphatase (L-serine),,4
PSSA161,Phosphatidylserine syntase (n-C16:1),,4
PSSA180,Phosphatidylserine syntase (n-C18:0),,4
PTA2,Phosphate acetyltransferase,,4
PTRCTA,Putrescine Transaminase,,4
PTRCTA2,Putrescine Transaminase  pyruvate,,4
PTRCabc,Putrescine transport via ABC system,,4
PTRCabcpp,Putrescine transport via ABC system (periplasm),,4
PYK,Pyruvate kinase,,4
PYRt2rpp,Pyruvate reversible transport via proton symport (periplasm),,4
PYRt4pp,Pyruvate transport via sodium symport,,4
RHACOAR80,3R  3 Hydroxyacyl CoANADP oxidoreductase,,4
RHCCE,S-ribosylhomocysteine cleavage enzyme,,4
RNDR1,Ribonucleoside-diphosphate reductase (ADP),,4
RNDR2,Ribonucleoside-diphosphate reductase (GDP),,4
RNDR3,Ribonucleoside-diphosphate reductase (CDP),,4
RNDR4,Ribonucleoside-diphosphate reductase (UDP),,4
RNTR1,Ribonucleoside triphosphate reductase  ATP,,4
RNTR2,Ribonucleoside triphosphate reductase  GTP,,4
RNTR3,Ribonucleoside triphosphate reductase  CTP,,4
RNTR4,Ribonucleoside triphosphate reductase  UTP,,4
SALCpts,Salicin transport via PEP:Pyr PTS,,4
SCYSSL,S-sulfo-L-cysteine sulfite lyase,,4
SDPTA,Succinyldiaminopimelate transaminase,,4
SERD_L,L-serine deaminase,,4
SERabc,L-serine transport via ABC system,,4
SERt2r,L serine reversible transport via proton symport,,4
SHGO,S-2-hydroxyglutarate oxidase,,4
SO3abcpp,Sulfite transport via ABC system (periplasm),,4
SPMS,Spermidine synthase,,4
SUCBZL,O-succinylbenzoate-CoA ligase,,4
SUCD4,Succinate dehyrdogenase,,4
SUCD5_BS,Succinate dehydrogenase,,4
SUCpts,Sucrose transport via PEP:Pyr PTS,,4
SULR,Sulfite reductase (NADPH2),,4
TARTDC,Tartrate decarboxylase,,4
TARTRtpp,Tartrate facilitated transport periplasm,,4
THIORDXi,Hydrogen peroxide reductase (thioredoxin),,4
THRA,Threonine aldolase,,4
THRA2,L-allo-Threonine Aldolase,,4
THRD,L-threonine dehydrogenase,,4
THRD_L,L-threonine deaminase,,4
THRt2pp,L-threonine efflux transport via proton antiport (periplasm),,4
THZPSN,Thiazole phosphate synthesis,,4
THZPSN_1,Thiazole phosphate synthesis,,4
TNTep,2 4 6 trinitrotoluene extrusion pump,,4
TRDR,Thioredoxin reductase (NADPH),,4
TREpts,Trehalose transport via PEP:Pyr PTS,,4
TRPAS1,Tryptophanase  L cysteine,,4
TRPS1,Tryptophan synthase (indoleglycerol phosphate),,4
TRPS2,Tryptophan synthase (indole),,4
TSULP,Thiosulfate permease,,4
TSULabc,Thiosulfate transport via ABC system,,4
TSULabcpp,Thiosulfate transport via ABC system (periplasm),,4
TYRTA,Tyrosine transaminase,,4
UAGDP,UDP-N-acetylglucosamine diphosphorylase,,4
UGLYCH,Ureidoglycolate hydrolase,,4
UNK5,2 keto 4 methylthiobutyrate transamination,,4
UREASE,Urea carboxylase,,4
URIt2pp,Uridine transport in via proton symport (periplasm),,4
VALDHr,Valine dehydrogenase,,4
VALTA,Valine transaminase,,4
VALt2rpp,L-valine reversible transport via proton symport (periplasm),,4
VALt3pp,L-valine transport out via proton antiport (periplasm),,4
VPAMTr,Valine-pyruvate aminotransferase,,4
ZN2t3pp,Zinc (Zn+2) transport out via proton antiport (periplasm),,4
ZN2t4pp,Zinc transport out via antiport (periplasm),,4
ZN2t5,Zinc  Zn2  transport out via proton antiport  cytosolexternal,,4
ZN2t6,Zinc  Zn2  transport out via proton antiport  periplasmexternal,,4
12PPDRDH,R Propane 1 2 diol dehydratase,,5
23CAMPtex,23cAMP transport via diffusion (extracellular to periplasm),,5
23CCMPtex,23cCMP transport via diffusion (extracellular to periplasm),,5
23CGMPtex,23cGMP transport via diffusion (extracellular to periplasm),,5
23CUMPtex,23cUMP transport via diffusion (extracellular to periplasm),,5
2AACLPGT160,2 acyl acyl carrier protein glycerophospho glycerol acyltransferase  n C160,,5
2AACLPGT161,2 acyl acyl carrier protein glycerophospho glycerol acyltransferase  n C160,,5
2AACLPGT180,2 acyl acyl carrier protein glycerophospho glycerol acyltransferase  n C160,,5
2AACLPGT181,2 acyl acyl carrier protein glycerophospho glycerol acyltransferase  n C160,,5
2AACLPPEAT160,2 acyl acyl carrier protein glycerophospho glycerol acyltransferase  n C160,,5
2AACLPPEAT161,2 acyl acyl carrier protein glycerophospho glycerol acyltransferase  n C160,,5
2AACLPPEAT180,2 acyl acyl carrier protein glycerophospho glycerol acyltransferase  n C160,,5
2AACLPPEAT181,2 acyl acyl carrier protein glycerophospho glycerol acyltransferase  n C160,,5
2AGPE160tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0) transporter via facilitated diffusion (periplasm),,5
2AGPE161tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1) transporter via facilitated diffusion (periplasm),,5
2AGPE180tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0) transporter via facilitated diffusion (periplasm),,5
2AGPE181tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1) transporter via facilitated diffusion (periplasm),,5
2AGPG160tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0) transporter via facilitated diffusion (periplasm),,5
2AGPG161tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1) transporter via facilitated diffusion (periplasm),,5
2AGPG180tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0) transporter via facilitated diffusion (periplasm),,5
2AGPG181tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1) transporter via facilitated diffusion (periplasm),,5
2INSD,2-Inosose dehydratase,,5
34HPPOR,4 Hydroxyphenylpyruvateoxygen oxidoreductase,,5
3MBtex,3-methylbutanoic acid transport via diffusion (extracellular to periplasm),,5
3NTD2pp,3'-nucleotidase (UMP) (periplasm),,5
3NTD4pp,3'-nucleotidase (CMP) (periplasm),,5
3NTD7pp,3'-nucleotidase (AMP) (periplasm),,5
3NTD9pp,3'-nucleotidase (GMP) (periplasm),,5
3NUCLE1,3  nucleotidase  3  AMP,,5
3NUCLE2,3  nucleotidase  3  UMP,,5
3NUCLE4,3  nucleotidase  guanosine 3  phosphate,,5
4HBAt,MNXR68734,,5
4HPRODCabcpp,Cis 4 Hydroxy D proline transport via ABC system,,5
4HPROLTtex,Trans 4 hydroxy L proline transport  extracellular,,5
4HTHRS_1,4-Hydroxy-L-threonine synthase,,5
4PCP,"Tetrapeptide L,D-carboxypeptidase",,5
5DGLCNR,5-dehydro-D-gluconate reductase,,5
5DKGR,5-keto-D-gluconate 5-reductase,,5
6PHBG_2,,,5
A6PAG,,,5
A6PAG2,,,5
AACPS9,Acyl-[acyl-carrier-protein] synthetase  (n-C8:0),,5
AB6PGH,Arbutin 6-phosphate glucohydrolase,,5
ACGAtex,N-Acetyl-D-glucosamine transport via diffusion (extracellular to periplasm),,5
ACOAD20,Acyl CoA dehydrogenase  2 methylbutnoyl CoA,,5
ACOAD5,Acyl-CoA dehydrogenase (dodecanoyl-CoA),,5
ACONCtex,Cisaconitat transport via diffusion extracellular to periplasm,,5
ACONCtupp,Cisaconitate transport periplasm,,5
ACP1_FMN,Acid phosphatase (FMN),,5
ACPPAT160,Acyl-(acyl carrier protein):phosphate acyltransferase (C16:0),,5
ACPPAT161,Acyl-(acyl carrier protein):phosphate acyltransferase (C16:1),,5
ACPPAT180,Acyl-(acyl carrier protein):phosphate acyltransferase (C18:0),,5
ACPPAT181,Acyl-(acyl carrier protein):phosphate acyltransferase (C18:1),,5
ACPS,Acyl Carrier Protein Synthase,,5
ACPS1,Acyl-carrier protein synthase,,5
ACPS1_1,"CoA:apo-[acyl-carrier-protein] pantetheinephosphotransferase, cytosol",,5
ACPpds,[acyl-carrier-protein] phosphodiesterase,,5
ADD,Adenine deaminase,,5
ADMDC,Adenosylmethionine decarboxylase,,5
ADNK1,Adenosine kinase,,5
ADNUC,Adenosine hydrolase,,5
ADPT,Adenine phosphoribosyltransferase,,5
ADSK,Adenylyl-sulfate kinase,,5
ADSS,Adenylosuccinate synthase,,5
AEPabcpp,AEP transport via ABC system periplasm,,5
AGM3PApp,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide amidase (periplasm),,5
AGM3PH,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide beta -1,4-N-acetylglucosaminidase",,5
AGM4PApp,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide amidase (periplasm),,5
AGM4PCP,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide L,D-carboxypeptidase",,5
AGM4PH,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide beta -1,4-N-acetylglucosaminidase",,5
AGMH,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl beta -1,4-N-acetylglucosaminidase",,5
AGMtex,Agmatine transport via diffusion (extracellular to periplasm),,5
AGPAT160,1-hexadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:0),,5
AGPAT161,1-hexadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:1),,5
AGPAT180,1-octadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:0),,5
AGPAT181,1-octadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:1),,5
AGPR,N-acetyl-g-glutamyl-phosphate reductase,,5
AH6PI,Arabino-3-hexulose-6-P Isomerase,,5
AHCYSNS,S-adenosylhomocysteine nucleosidase,,5
AHMMPS_1,4 amino 5 hydroxymethyl 2 methylpyrimidine synthetase,,5
AICART,Phosphoribosylaminoimidazolecarboxamide formyltransferase,,5
ALAALAr,D-alanine-D-alanine ligase (reversible),,5
ALAGLUabcpp,L Alaninylglutamate  LalaLglu  transport via ABC system  periplasm,,5
ALAGLYtr,Dipeptide transport via ABC system ala-gly,,5
ALAR,Alanine racemase,,5
ALAabc,L-alanine transport via ABC system,,5
ALAabcpp,L-alanine transport via ABC system (periplasm),,5
ALAt2r,L alanine reversible transport via proton symport,,5
ALAt4,Alanine-Sodium symporter,,5
ALAtex,L-alanine transport via diffusion (extracellular to periplasm),,5
ALAtpp,L-alanine export via facilited diffusion,,5
ALDD1,Aldehyde dehydrogenase  formaldehyde  NAD,,5
ALDD20x,"Aldehyde dehydrogenase (indole-3-acetaldehyde, NAD)",,5
ALDD20y,Aldehyde dehydrogenase  indole 3 acetaldehyde  NADP,,5
ALDD3,Aldehyde dehydrogenase  propanal  NAD,,5
ALDD3y,"Aldehyde dehydrogenase (propanal, NADP)",,5
ALKP,Alkaline phosphatase,,5
ALLTAMH,Allantoate amidohydrolase,,5
ALPHNH,Allophanate hydrolase,,5
ALR2,Aldose reductase (methylglyoxal),,5
AMANK,N-acetyl-D-mannosamine kinase,,5
AMANK_1,N-acetyl-D-mannosamine kinase,,5
AMPD2,AMP deaminase,,5
AMPEP12,Aminopeptidase,,5
AMPEP13,Aminopeptidase,,5
AMPEP2,Aminopeptidase,,5
AMPEP6,Aminopeptidase,,5
AMPEP7,Aminopeptidase,,5
AMPTASEAH,Aminopeptidase  Ala His,,5
AMPTASEAL,Aminopeptidase  Ala Leu,,5
AMPTASEAT,Aminopeptidase  Ala Thr,,5
AMPTASEATRP,Aminopeptidase  Ala Trp,,5
AMPTASEHH,Aminopeptidase  His His,,5
ANHMK,"1,6-anhydrous-N-Acetylmuramate kinase",,5
ANPRT,Anthranilate phosphoribosyltransferase,,5
APG3PAT160,Acyl-phosphate:glycerol-3-phosphate acyltransferase (C16:0),,5
APG3PAT161,Acyl-phosphate:glycerol-3-phosphate acyltransferase (C16:1),,5
APG3PAT180,Acyl-phosphate:glycerol-3-phosphate acyltransferase (C18:0),,5
APG3PAT181,Acyl-phosphate:glycerol-3-phosphate acyltransferase (C18:1),,5
ARGDC,Arginine decarboxylase,,5
ARGDI_1,Arginine deiminase,,5
ARGDr,Arginine deiminase,,5
ARGN_1,Arginase,,5
ARGSS,Argininosuccinate synthase,,5
ARGabc,L-arginine transport via ABC system,,5
ARGt2r,L arganine reversible transport via proton symport,,5
ASAD,Aspartate-semialdehyde dehydrogenase,,5
ASNN,L-asparaginase,,5
ASNabc,L-asparagine transport via ABC system,,5
ASNt4,L-asparagine transport in via sodium symport,,5
ASP1DC,Aspartate 1-decarboxylase,,5
ASPCT,Aspartate carbamoyltransferase,,5
ASPCT_2,Aspartate carbamoyltransferase,,5
ASPK,Aspartate kinase,,5
ASPO6,L-aspartate oxidase,,5
ASPabc,L-aspartate transport via ABC system,,5
ASPt2r,L aspartate reversible transport via proton symport,,5
ASPtpp,L-aspartate uptake via facillitated diffusion,,5
ATAH_1,,,5
ATPPRT,ATP phosphoribosyltransferase,,5
ATPX5P,ATP pyridoxal 5'-phosphotransferase,,5
BALAGLYabcpp,Beta alanyl L glycine transport via ABC system  periplasm,,5
BALAMDAH,Beta Alaninamide amidohydrolase,,5
BALAt2r,Beta Alanine transport in via proton symport,,5
BALAtex,Beta-alanine transport via diffusion (extracellular to periplasm),,5
BETALDHx,Betaine-aldehyde dehydrogenase,,5
BETALDHy,Betaine-aldehyde dehydrogenase,,5
BGLA,Beta-glucosidase,,5
BGLA1,6-phospho-beta-glucosidase,,5
BGLK,Beta-glucoside kinase,,5
BG_CELLB,Beta glucosidase  cellobiose,,5
BG_MADG,Beta glucosidase  methyl alpha D glucoside,,5
BG_MBDG,Beta glucosidase,,5
BPNT_1,"3',5'-bisphosphate nucleotidase",,5
BTNTe,Release of biotin across the basolatral membrane,,5
BTNt,Biotin ABC transporter,,5
BTNt2i,Biotin uptake,,5
BUTSO3abcpp,Butanesulfonate transport via ABC system (periplasm),,5
C4HP,,,5
CA2abc1,Calcium efflux  via ABC system,,5
CA2tex,Calcium (Ca+2) transport via diffusion (extracellular to periplasm),,5
CAT,Catalase,,5
CAt4,Calcium transport inout via proton antiporter,,5
CD2abc1,Cadmium transport out via ABC system,,5
CD2abcpp,Cadmium (Cd+2) ABC transporter (periplasm),,5
CD2t4,Cadminum transport out via antiport,,5
CD2tex,Cadmium (Cd+2) transport via diffusion (extracellular to periplasm),,5
CD2tpp,Cadmium (+2) transport in via permease (no H+),,5
CDPPH,CDP phosphohydrolase,,5
CDPPT160,CDPPT160,,5
CELBt2,,,5
CELLBabc,Cellobiose transport via ATP transporter,,5
CGLYabcpp,L-Cysteinylglycine (Cys-Gly) transport via ABC system (periplasm),,5
CHORM,Chorismate mutase,,5
CHORS,Chorismate synthase,,5
CMCBTFexs,Carboxymycobactin Fe loading reaction  spontaneous,,5
CMPDAi,CMP deaminase,,5
COBALT2abcpp,Cobalt (Co+2) ABC transporter (periplasm),,5
COBALT2tex,Cobalt (Co+2) transport via diffusion (extracellular to periplasm),,5
COBALTt5,Cobalt (Co+2) transport via diffusion (extracellular to cytoplasm),,5
COabc,Cobalt transport via ABC system,,5
CPGNexs,Coprogen Fe-loading reaction (spontaneaous),,5
CRO4abcpp,Chromate transport via ABC system (periplasm),,5
CRO4t3,Chromate transport out via proton antiport,,5
CRO4tex,Cromate transport via diffusion (extracellular to periplasm),,5
CTECOAI6,3-cis-2-trans-enoyl-CoA isomerase,,5
CTECOAI7,3-cis-2-trans-enoyl-CoA isomerase,,5
CTECOAI8,3-cis-2-trans-enoyl-CoA isomerase,,5
CTPS1,CTP synthase  NH3,,5
CU2abcpp,Copper (Cu+2) ABC transporter (periplasm),,5
CU2tpp,Copper transport in via permease (no H+),,5
CYTD,Cytidine deaminase,,5
CYTDK1,ATP:cytidine 5'-phosphotransferase,,5
CYTDK2,Cytidine kinase (GTP),,5
CYTK1,Cytidylate kinase (CMP),,5
CYTK2,Cytidylate kinase (dCMP),,5
CYTOM,Cytosine 5 methyltransferase,,5
Cobalt2abcppI,Cobalt II transport via ABC system periplasm I,,5
Cut1,Copper export via ATPase,,5
D5KGK,2-Deoxy-5-Keto-D-gluconate kinase,,5
DACL,,,5
DADK,Deoxyadenylate kinase,,5
DAGK_BS,Diacylglycerol kinase,,5
DALAALAD,Beta alanine L alanine dipeptidase,,5
DALADALAD,Beta alanine beta alanine dipeptidase,,5
DALALEUD,Beta alanine L leucine dipeptidase,,5
DALAt2r,D-alanine transport via proton symport,,5
DAPDC,Diaminopimelate decarboxylase,,5
DASYN160,CDP-diacylglycerol synthetase (n-C16:0),,5
DASYN161,CDP-diacylglycerol synthetase (n-C16:1),,5
DASYN180,CDP-diacylglycerol synthetase (n-C18:0),,5
DASYN181,CDP-diacylglycerol synthetase (n-C18:1),,5
DATPHs,DATP amine hydrolysis (spontaneous),,5
DB4PS,"3,4-Dihydroxy-2-butanone-4-phosphate synthase",,5
DCAtex,Decanoate transport via diffusion (extracellular to periplasm),,5
DDCAtexi,Fatty acid (dodecanoate) transport via facilitated irreversible diffusion (extracellular to periplasm),,5
DDGLK,2-dehydro-3-deoxygluconokinase,,5
DDPA,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,,5
DGK1,Deoxyguanylate kinase (dGMP:ATP),,5
DGUNC,Diguanylate cyclase,,5
DHAD2,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)",,5
DHAK,Dihydroxyacetone kinase,,5
DHBD,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",,5
DHBSZ3FEexs,23dhbsz3 Fe III sequestration,,5
DHFR,Dihydrofolate reductase,,5
DHNCOAT,"1,4-dihydroxy-2-napthoyl-CoA thioesterase",,5
DHNPA_1,Dihydroneopterin aldolase,,5
DHORDi,Dihydoorotic acid dehydrogenase  irreversible,,5
DHPS,Dihydropteroate synthase,,5
DHPTDCs2,"4,5-dihydroxy-2,3-pentanedione cyclization (spontaneous)",,5
DIPEPabc10,Dipeptide transport via ABC system  gly glu,,5
DIPEPabc12,Dipeptide transport via ABC system  met ala,,5
DIPEPabc13,Dipeptide transport via ABC system  gly asp,,5
DIPEPabc14,Dipeptide transport via ABC system  gly pro L,,5
DIPEPabc15,Dipeptide transport via ABC system  cgly,,5
DIPEPabc3,Dipeptide transport via ABC system  ala glu,,5
DIPEPabc8,Dipeptide transport via ABC system  gly asn,,5
DKMD2K,1 2 dihydroxy 3 keto 5 methylthiopentene dioxygenase  2 keto 4 methylthiobutyrate,,5
DNADDP,Deamino-NAD+ nucleotidohydrolase,,5
DPR,2-dehydropantoate 2-reductase,,5
DRBK,Deoxyribokinase,,5
DSERDHr,D-serine dehydrogenase,,5
DSERt2,D-serine transport via proton symport,,5
DSERtex,D-serine transport via diffusion (extracellular to periplasm),,5
DUTPDP,DUTP diphosphatase,,5
DXPRIi,1-deoxy-D-xylulose reductoisomerase,,5
ECOAH2,3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA),,5
ECOAH2c,Enoyl CoA hydratase  bacterial,,5
ECOAH3,3-hydroxyacyl-CoA dehydratase (3-hydroxyoctanoyl-CoA),,5
ECOAH4,3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA),,5
ECOAH5,3-hydroxyacyl-CoA dehydratase (3-hydroxydodecanoyl-CoA),,5
ECOAH5_1,3 hydroxyacyl CoA dehydratase  3 hydroxydodecanoyl CoA,,5
ECOAH6,3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA),,5
ECOAH7,3-hydroxyacyl-CoA dehydratase (3-hydroxyhexadecanoyl-CoA),,5
ECOAH8,3-hydroxyacyl-CoA dehydratase (3-hydroxyoctadecanoyl-CoA),,5
ECOAH9ir,2 Methylprop 2 enoyl CoA  2 Methylbut 2 enoyl CoA,,5
ENO,Enolase,,5
ETHSO3abcpp,Ethanesulfonate transport via ABC system (periplasm),,5
ETOHtrpp,Ethanol reversible transport via diffusion (periplasm),,5
F1PP,D-fructose 1-phosphate phosphatase,,5
F6PP,D-fructose 6-phosphate phosphatase,,5
FA80ACPHi,Fatty-acyl-ACP hydrolase,,5
FACOAE120,Fatty-acid-CoA thioesterase (dodecanoate),,5
FACOAL140_ISO,Fatty acid  CoA ligase  Iso C140,,5
FACOAL150_ISO,Fatty acid  CoA ligase  Iso C150,,5
FACOAL150_anteiso,Fatty acid  CoA ligase  anteiso C150,,5
FACOAL160_ISO,Fatty acid  CoA ligase  Iso C160,,5
FACOAL170_ISO,Fatty acid  CoA ligase  Iso C170,,5
FACOAL170_anteiso,Fatty acid  CoA ligase  anteiso C170,,5
FBA,Fructose-bisphosphate aldolase,,5
FBA2,D Fructose 1 phosphate D glyceraldehyde 3 phosphate lyase,,5
FBA3,"Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase",,5
FBP,Fructose-bisphosphatase,,5
FCLT_2,Heme B synthesis reaction,,5
FDH,Formate dehydrogenase,,5
FE2Gabcpp,Iron (II) transport via ABC system (GTP) (periplasm),,5
FE2abc,Iron (II) transport via ABC system,,5
FE2abcpp,Iron (II) transport via ABC system (periplasm),,5
FE2t,Iron  II  transport,,5
FE2tex,Iron (II) transport via diffusion (extracellular to periplasm),,5
FE3DCITexs,Dicitrate Fe(III) binding (spontaneous),,5
FE3Gabcpp,Iron (III) transport via ABC system (GTP) (periplasm),,5
FE3PYOVDL2,Ferripyoverdine complex formation  P putida KT2440 specific,,5
FE3abc,Iron (III) transport via ABC system,,5
FE3abcpp,Iron (III) transport via ABC system (periplasm to cytoplasm),,5
FE3t,"Ferric iron uptake, plasma membrane",,5
FE3tex,Iron (III) transport via diffusion (extracellular to periplasm),,5
FEENTERexs,Enterobactin Fe(III) binding (spontaneous),,5
FEOXAMexs,Ferroxamine Fe3-loading reaction (spontaneous),,5
FFSD,Beta-fructofuranosidase,,5
FFSD1r,Beta-fructofuranosidase,,5
FMNRx,FMN reductase,,5
FMNRx2,FMN reductase,,5
FMNRy,FMN reductase  NADPH dependent,,5
FOLD3,Dihydropteroate synthase,,5
FOLR2,Folate reductase,,5
FORAMD,FORAMD,,5
FRUK,Fructose-1-phosphate kinase,,5
FTHFLi,Formate-tetrahydrofolate ligase,,5
G1PP,Glucose-1-phosphatase,,5
G3PAT160,Glycerol-3-phosphate acyltransferase (C16:0),,5
G3PAT161,Glycerol-3-phosphate acyltransferase (C16:1),,5
G3PAT180,Glycerol-3-phosphate acyltransferase (C18:0),,5
