maltose,nitrogen,growth_rate_1_h,PHB_flux
0.0,0.0,0.41371708098126136,4.611271801911753
1.4285714285714286,0.0,0.4294055429440399,4.678907691915574
2.857142857142857,0.0,0.42940554294403943,4.678907691915123
4.285714285714286,0.0,0.4294055429440405,4.678907691914992
5.714285714285714,0.0,0.42940554294403954,4.67890769191515
7.142857142857143,0.0,0.4294055429440395,4.678907691914834
8.571428571428571,0.0,0.4294055429440397,4.67890769191626
10.0,0.0,0.42940554294403926,4.678907691915185
11.428571428571429,0.0,0.42940554294403976,4.678907691914959
12.857142857142858,0.0,0.4294055429440396,4.6789076919157
14.285714285714286,0.0,0.4294055429440395,4.678907691914949
15.714285714285715,0.0,0.4294055429440394,4.678907691914979
17.142857142857142,0.0,0.42940554294403976,4.678907691915697
18.571428571428573,0.0,0.42940554294403954,4.678907691915046
20.0,0.0,0.42940554294403954,4.678907691915234
0.0,0.7142857142857143,0.4137170809812612,4.611271801910759
1.4285714285714286,0.7142857142857143,0.42940554294404004,4.678907691915074
2.857142857142857,0.7142857142857143,0.4294055429440394,4.678907691913664
4.285714285714286,0.7142857142857143,0.42940554294403954,4.678907691916263
5.714285714285714,0.7142857142857143,0.4294055429440394,4.6789076919150245
7.142857142857143,0.7142857142857143,0.4294055429440393,4.678907691911074
8.571428571428571,0.7142857142857143,0.4294055429440392,4.678907691915496
10.0,0.7142857142857143,0.4294055429440399,4.678907691915053
11.428571428571429,0.7142857142857143,0.429405542944041,4.6789076919152786
12.857142857142858,0.7142857142857143,0.42940554294403915,4.678907691914744
14.285714285714286,0.7142857142857143,0.4294055429440399,4.678907691915054
15.714285714285715,0.7142857142857143,0.429405542944041,4.67890769191528
17.142857142857142,0.7142857142857143,0.4294055429440391,4.678907691915497
18.571428571428573,0.7142857142857143,0.4294055429440399,4.678907691915053
20.0,0.7142857142857143,0.429405542944041,4.678907691915277
0.0,1.4285714285714286,0.4137170809812613,4.611271801910772
1.4285714285714286,1.4285714285714286,0.42940554294404,4.678907691915186
2.857142857142857,1.4285714285714286,0.42940554294403976,4.678907691915075
4.285714285714286,1.4285714285714286,0.4294055429440397,4.678907691915188
5.714285714285714,1.4285714285714286,0.42940554294404015,4.678907691916268
7.142857142857143,1.4285714285714286,0.4294055429440397,4.678907691915188
8.571428571428571,1.4285714285714286,0.42940554294404015,4.678907691916268
10.0,1.4285714285714286,0.4294055429440397,4.678907691915188
11.428571428571429,1.4285714285714286,0.42940554294404015,4.678907691916268
12.857142857142858,1.4285714285714286,0.4294055429440397,4.678907691915188
14.285714285714286,1.4285714285714286,0.42940554294404015,4.678907691916268
15.714285714285715,1.4285714285714286,0.4294055429440397,4.678907691915188
17.142857142857142,1.4285714285714286,0.42940554294404015,4.678907691916268
18.571428571428573,1.4285714285714286,0.4294055429440397,4.678907691915188
20.0,1.4285714285714286,0.42940554294404015,4.678907691916268
0.0,2.142857142857143,0.41371708098126164,4.611271801910961
1.4285714285714286,2.142857142857143,0.4294055429440399,4.678907691915257
2.857142857142857,2.142857142857143,0.4294055429440397,4.678907691916274
4.285714285714286,2.142857142857143,0.4294055429440397,4.678907691915188
5.714285714285714,2.142857142857143,0.42940554294404015,4.678907691916271
7.142857142857143,2.142857142857143,0.4294055429440397,4.678907691915188
8.571428571428571,2.142857142857143,0.42940554294404015,4.678907691916271
10.0,2.142857142857143,0.4294055429440397,4.678907691915188
11.428571428571429,2.142857142857143,0.42940554294404015,4.678907691916271
12.857142857142858,2.142857142857143,0.4294055429440397,4.678907691915188
14.285714285714286,2.142857142857143,0.42940554294404015,4.678907691916271
15.714285714285715,2.142857142857143,0.4294055429440397,4.678907691915188
17.142857142857142,2.142857142857143,0.42940554294404015,4.678907691916271
18.571428571428573,2.142857142857143,0.4294055429440397,4.678907691915188
20.0,2.142857142857143,0.42940554294404015,4.678907691916271
0.0,2.857142857142857,0.41371708098126164,4.611271801910986
1.4285714285714286,2.857142857142857,0.4294055429440391,4.678907691916277
2.857142857142857,2.857142857142857,0.42940554294404054,4.678907691915224
4.285714285714286,2.857142857142857,0.4294055429440403,4.6789076919156125
5.714285714285714,2.857142857142857,0.42940554294404015,4.678907691916268
7.142857142857143,2.857142857142857,0.4294055429440397,4.678907691915188
8.571428571428571,2.857142857142857,0.42940554294404015,4.678907691916268
10.0,2.857142857142857,0.4294055429440397,4.678907691915188
11.428571428571429,2.857142857142857,0.42940554294404015,4.678907691916268
12.857142857142858,2.857142857142857,0.4294055429440397,4.678907691915188
14.285714285714286,2.857142857142857,0.42940554294404015,4.678907691916268
15.714285714285715,2.857142857142857,0.4294055429440397,4.678907691915188
17.142857142857142,2.857142857142857,0.42940554294404015,4.678907691916268
18.571428571428573,2.857142857142857,0.4294055429440397,4.678907691915188
20.0,2.857142857142857,0.42940554294404015,4.678907691916268
0.0,3.5714285714285716,0.41371708098126164,4.611271801910961
1.4285714285714286,3.5714285714285716,0.4294055429440399,4.678907691915257
2.857142857142857,3.5714285714285716,0.4294055429440397,4.678907691916274
4.285714285714286,3.5714285714285716,0.4294055429440397,4.678907691915188
5.714285714285714,3.5714285714285716,0.42940554294404015,4.678907691916271
7.142857142857143,3.5714285714285716,0.4294055429440397,4.678907691915188
8.571428571428571,3.5714285714285716,0.42940554294404015,4.678907691916271
10.0,3.5714285714285716,0.4294055429440397,4.678907691915188
11.428571428571429,3.5714285714285716,0.42940554294404015,4.678907691916271
12.857142857142858,3.5714285714285716,0.4294055429440397,4.678907691915188
14.285714285714286,3.5714285714285716,0.42940554294404015,4.678907691916271
15.714285714285715,3.5714285714285716,0.4294055429440397,4.678907691915188
17.142857142857142,3.5714285714285716,0.42940554294404015,4.678907691916271
