medium,glc_uptake_bound,nh4_uptake_bound,o2_uptake_bound,max_growth_rate_1_h,growth_coupled_growth_1_h,growth_coupled_PHB_flux
"Aerobic, N-replete",20.0,20.0,20.0,0.42940554294404154,0.3864649886496374,4.678907691915053
"Aerobic, N-limited",20.0,1.0,20.0,0.42940554294403993,0.38646498864963597,4.678907691915359
"Microaerobic, N-replete",20.0,20.0,2.0,0.3519342730517064,0.31674084574653577,5.2138994923719
"Anaerobic, N-replete",20.0,20.0,0.0,0.2353509338123544,0.21181584043111895,2.8722165264238853
"Carbon-excess feed, N-limited",40.0,1.0,20.0,0.4294055429440396,0.38646498864963563,4.678907691915212
"Carbon-limited, N-replete",5.0,20.0,20.0,0.42940554294403993,0.38646498864963597,4.678907691915177
