time_h,biomass_gL,glucose_mM,ammonium_mM,PHB_mM
0.0,0.05,20.0,1.0,0.0
0.1,0.05214702771472019,20.0,1.05,0.0
0.2,0.05438624998959591,20.0,1.1021470277147203,0.0
0.30000000000000004,0.05672162571014317,20.0,1.1565332777043162,0.0
0.4,0.059157283758616425,20.0,1.2132549034144595,0.0
0.5,0.061697530313762745,20.0,1.272412187173076,0.0
0.6000000000000001,0.0643468564640315,20.0,1.3341097174868388,0.0
0.7000000000000001,0.06710994614769945,20.0,1.3984565739508703,0.0
0.8,0.06999168443394926,20.0,1.4655665200985697,0.0
0.9,0.07299716615954203,20.0,1.535558204532519,0.0
1.0,0.07613170493635346,20.0,1.608555370692061,0.0
1.1,0.07940084254569847,20.0,1.6846870756284145,0.0
1.2000000000000002,0.08281035873605344,20.0,1.764087918174113,0.0
1.3,0.086366281441498,20.0,1.8468982769101663,0.0
1.4000000000000001,0.0900748974389424,20.0,1.9332645583516643,0.0
1.5,0.09394276346298215,20.0,2.0233394557906066,0.0
1.6,0.09797671779803067,20.0,2.117282219253589,0.0
1.7000000000000002,0.10218389236822449,20.0,2.21525893705162,0.0
1.8,0.10657172534647574,20.0,2.317442829419844,0.0
1.9000000000000001,0.11114797430496437,20.0,2.4240145547663197,0.0
2.0,0.1159207299303197,20.0,2.5351625290712843,0.0
2.1,0.1208984303277395,20.0,2.651083259001604,0.0
2.2,0.126089875939336,20.0,2.7719816893293436,0.0
2.3000000000000003,0.13150424510308367,20.0,2.8980715652686797,0.0
2.4000000000000004,0.13715111027987723,20.0,3.0295758103717634,0.0
2.5,0.14304045497738804,20.0,3.1667269206516404,0.0
2.6,0.1491826914006408,20.0,3.3097673756290282,0.0
2.7,0.1555886788605153,20.0,3.458950067029669,0.0
2.8000000000000003,0.16226974297271982,20.0,3.6145387458901843,0.0
2.9000000000000004,0.16923769568117883,20.0,3.7768084888629043,0.0
3.0,0.1765048561412363,20.0,3.946046184544083,0.0
3.1,0.18408407249959496,20.0,4.12255104068532,0.0
3.2,0.19198874460949877,20.0,4.306635113184915,0.0
3.3000000000000003,0.2002328477213174,20.0,4.4986238577944135,0.0
3.4000000000000004,0.2088309571904177,20.0,4.698856705515731,0.0
3.5,0.21779827424600515,20.0,4.907687662706149,0.0
3.6,0.2271506528664932,20.0,5.1254859369521535,0.0
3.7,0.2369046278089161,20.0,5.352636589818647,0.0
3.8000000000000003,0.2470774438419404,20.0,5.589541217627563,0.0
3.9000000000000004,0.25768708623415776,20.0,5.836618661469503,0.0
4.0,0.26875231255156234,20.0,6.09430574770366,0.0
4.1000000000000005,0.28029268582042927,20.0,6.363058060255223,0.0
4.2,0.29232860911422565,20.0,6.643350746075652,0.0
4.3,0.3048813616257026,20.0,6.935679355189878,0.0
4.4,0.3179731362879429,20.0,7.2405607168155806,0.0
4.5,0.3316270790108771,20.0,7.5585338531035235,0.0
4.6000000000000005,0.3458673296026382,20.0,7.890160932114401,0.0
4.7,0.36071906444810076,20.0,8.236028261717038,0.0
4.800000000000001,0.37620854102006096,20.0,8.59674732616514,0.0
4.9,0.39236314430175134,20.0,8.9729558671852,0.0
5.0,0.4092114352027637,20.0,9.365319011486951,0.0
5.1000000000000005,0.4267832010539789,20.0,9.774530446689715,0.0
5.2,0.4451095082707767,20.0,10.201313647743694,0.0
