uptake_bound,growth_rate_1_h,PHB_flux
0.0,0.41371708098125165,4.611271801912314
0.6896551724137931,0.4137170809812616,4.611271801911722
1.3793103448275863,0.41371708098126125,4.6112718019112835
2.0689655172413794,0.41371708098126175,4.611271801910784
2.7586206896551726,0.4137170809812617,4.611271801911259
3.4482758620689657,0.413717080981262,4.61127180191103
4.137931034482759,0.4137170809812619,4.61127180191186
4.827586206896552,0.413717080981262,4.611271801910964
5.517241379310345,0.41371708098126164,4.61127180191108
6.206896551724139,0.4137170809812616,4.611271801910863
6.8965517241379315,0.4137170809812621,4.611271801910975
7.586206896551724,0.4137170809812613,4.611271801911003
8.275862068965518,0.4137170809812622,4.611271801911091
8.965517241379311,0.4137170809812618,4.611271801911112
9.655172413793103,0.41371708098126136,4.611271801911031
10.344827586206897,0.41371708098126225,4.61127180191095
11.03448275862069,0.41371708098126153,4.6112718019109
11.724137931034484,0.4137170809812622,4.611271801911198
12.413793103448278,0.4137170809812618,4.611271801910966
13.10344827586207,0.41371708098126253,4.611271801910977
13.793103448275863,0.4137170809812615,4.611271801910916
14.482758620689657,0.41371708098126186,4.611271801910941
15.172413793103448,0.413717080981262,4.611271801911081
15.862068965517242,0.413717080981262,4.611271801911069
16.551724137931036,0.4137170809812619,4.611271801910946
17.24137931034483,0.4137170809812621,4.611271801911169
17.931034482758623,0.4137170809812625,4.611271801911253
18.620689655172416,0.4137170809812617,4.611271801911457
19.310344827586206,0.4137170809812615,4.611271801910973
20.0,0.4137170809812621,4.611271801910883
