growth_optimal_flux,PHB_optimal_flux,reaction_id,reaction_name,is_exchange,flux_shift
0.0,0.0,VECOAH,3-hydroxyacyl-CoA dehydratase (3-hydroxypentanoyl-CoA),False,0.0
0.0,0.0,VNDH_2,4-hydroxybenzaldehyde dehydrogenase,False,0.0
-0.19822793545917883,-0.20238746344094075,VPAMTr,Valine-pyruvate aminotransferase,False,-0.004159527981761918
0.0,0.0,XANt2,Xanthine transport in via proton symport,False,0.0
0.0,0.0,XPPT,Xanthine phosphoribosyltransferase,False,0.0
0.0,0.0,XTSNH,Xanthosine hydrolase,False,0.0
0.0,0.0,XYLI1,Xylose isomerase,False,0.0
0.0,0.0,XYLI2,Xylose isomerase,False,0.0
0.0,0.0,XYLK,Xylulokinase,False,0.0
0.0,0.0,XYLabc,D-xylose transport via ABC system,False,0.0
0.0,0.0,XYLabcpp,D-xylose transport via ABC system (periplasm),False,0.0
0.0,0.0,XYLt2,D-xylose transport in via proton symport,False,0.0
0.0,0.0,XYLtex,D-xylose transport via diffusion (extracellular to periplasm),False,0.0
0.0,0.0,YUMPS,YUMP synthetase,False,0.0
0.0,0.0,ZN2abcpp,"Zinc (Zn+2) ABC transporter, efflux (periplasm)",False,0.0
0.0,0.0,ZN2t3pp,Zinc (Zn+2) transport out via proton antiport (periplasm),False,0.0
0.0,0.0,ZN2t4,Zinc transport out via antiport,False,0.0
0.0,0.0,ZN2t4pp,Zinc transport out via antiport (periplasm),False,0.0
0.0,0.0,ZN2t5,Zinc  Zn2  transport out via proton antiport  cytosolexternal,False,0.0
0.0,0.0,ZN2t6,Zinc  Zn2  transport out via proton antiport  periplasmexternal,False,0.0
0.0,0.0,ZNabc,Zinc transport via ABC system,False,0.0
0.0,0.0,ZNabcpp,Zinc (Zn+2) transport via ABC system (periplasm),False,0.0
0.0,0.0,Zn2tex,Zinc (Zn+2) transport via diffusion (extracellular to periplasm),False,0.0
0.0002872723082295637,0.0002585450774066317,r0963,Facilitated diffusion,False,-2.8727230822931987e-05
0.0,0.0,r2136,Major Facilitator(MFS) TCDB:2.A.1.14.6,False,0.0
-0.00014642729014391811,-0.0001317845611295256,r2465_1,Cation Diffusion Facilitator (Cdf) Tcdb:2.A.4.2.3,False,1.4642729014392513e-05
0.0,0.0,sink_hemeO_c,R_sink_hemeO_c,False,0.0
0.0,0.0,sink_lipopb_c,R_sink_lipopb_c,False,0.0
0.0,0.0,sink_sheme_c,R_sink_sheme_c,False,0.0
-0.0877262642068351,-0.0789536377861512,EX_23camp_e,R_EX_23camp_e,True,0.008772626420683896
0.0,0.0,EX_23ccmp_e,R_EX_23ccmp_e,True,0.0
-9.501039347209895,-9.550935412488888,EX_23cgmp_e,R_EX_23cgmp_e,True,-0.04989606527899326
0.0,0.0,EX_23cump_e,R_EX_23cump_e,True,0.0
0.0,0.0,EX_23dhbzs3_e,R_EX_23dhbzs3_e,True,0.0
0.0,0.0,EX_2ameph_e,R_EX_2ameph_e,True,0.0
0.0,0.0,EX_2ddglcn_e,R_EX_2ddglcn_e,True,0.0
0.0,0.0,EX_2hxmp_e,R_EX_2hxmp_e,True,0.0
0.0,0.0,EX_2m35mdntha_e,R_EX_2m35mdntha_e,True,0.0
0.0,0.0,EX_2pglyc_e,R_EX_2pglyc_e,True,0.0
0.0,0.0,EX_35dnta_e,R_EX_35dnta_e,True,0.0
0.0,0.0,EX_3amp_e,R_EX_3amp_e,True,0.0
0.0,0.0,EX_3cmp_e,R_EX_3cmp_e,True,0.0
9.39707468299108,9.457367214691958,EX_3gmp_e,R_EX_3gmp_e,True,0.06029253170087756
0.0,0.0,EX_3mb_e,R_EX_3mb_e,True,0.0
0.0,0.0,EX_3ump_e,R_EX_3ump_e,True,0.0
-10.000000000000002,-10.000000000000002,EX_4abut_e,R_EX_4abut_e,True,0.0
2.9381032041269523e-30,0.0,EX_4ahmmp_e,R_EX_4ahmmp_e,True,-2.9381032041269523e-30
-7.54348727735514e-30,0.0,EX_4hba_e,R_EX_4hba_e,True,7.54348727735514e-30
0.0,0.0,EX_4hpro_DC_e,R_EX_4hpro_DC_e,True,0.0
0.0,0.0,EX_4hpro_LT_e,R_EX_4hpro_LT_e,True,0.0
0.0,0.0,EX_LalaLglu_e,R_EX_LalaLglu_e,True,0.0
0.0,0.0,EX_abg4_e,R_EX_abg4_e,True,0.0
0.0,0.0,EX_abt__L_e,R_EX_abt__L_e,True,0.0
0.0,0.0,EX_ac_e,R_EX_ac_e,True,0.0
0.0,0.0,EX_acac_e,R_EX_acac_e,True,0.0
0.0,0.0,EX_acald_e,R_EX_acald_e,True,0.0
0.0,0.0,EX_acgam_e,R_EX_acgam_e,True,0.0
0.0,0.0,EX_acmana_e,R_EX_acmana_e,True,0.0
0.0,0.0,EX_acon_C_e,R_EX_acon_C_e,True,0.0
0.0,0.0,EX_actn__R_e,R_EX_actn__R_e,True,0.0
0.0,0.0,EX_ad_e,R_EX_ad_e,True,0.0
0.0,0.0,EX_agm_e,R_EX_agm_e,True,0.0
0.0,0.0,EX_ala_B_e,R_EX_ala_B_e,True,0.0
0.0,0.0,EX_ala_L_asp__L_e,R_EX_ala_L_asp__L_e,True,0.0
0.0,0.0,EX_ala_L_glu__L_e,R_EX_ala_L_glu__L_e,True,0.0
0.0,0.0,EX_ala_L_thr__L_e,R_EX_ala_L_thr__L_e,True,0.0
0.0,0.0,EX_ala__D_e,R_EX_ala__D_e,True,0.0
10.0,10.0,EX_ala__L_e,R_EX_ala__L_e,True,0.0
3.593832859243107e-15,0.0,EX_ala_gln_e,R_EX_ala_gln_e,True,-3.593832859243107e-15
0.0,0.0,EX_ala_his_e,R_EX_ala_his_e,True,0.0
0.0,0.0,EX_ala_leu_e,R_EX_ala_leu_e,True,0.0
0.0,0.0,EX_alaala_e,R_EX_alaala_e,True,0.0
0.0,0.0,EX_alagly_e,R_EX_alagly_e,True,0.0
0.0,0.0,EX_alahis_e,R_EX_alahis_e,True,0.0
0.0,0.0,EX_alaleu_e,R_EX_alaleu_e,True,0.0
0.0,0.0,EX_alathr_e,R_EX_alathr_e,True,0.0
0.0,0.0,EX_alatrp_e,R_EX_alatrp_e,True,0.0
0.0,0.0,EX_arab__L_e,R_EX_arab__L_e,True,0.0
0.0,0.0,EX_arbt_e,R_EX_arbt_e,True,0.0
-0.1270147243585039,-0.11431325192266133,EX_arg__L_e,R_EX_arg__L_e,True,0.012701472435842562
-0.10351035315437591,-0.09315931783893781,EX_asn__L_e,R_EX_asn__L_e,True,0.0103510353154381
0.0,0.0,EX_asp__L_e,R_EX_asp__L_e,True,0.0
0.0,0.0,EX_balaala_e,R_EX_balaala_e,True,0.0
