,minimum,maximum
PHBS_syn_1,27.301123505976108,30.334581673306793
AACOAR_syn,27.301123505976108,30.334581673306772
ACACT1r,6.486627224435613,28.564429967426697
HACD1i,0.0,0.0
HACD1,0.0,0.0
HACD1_1,0.0,1.6164563113499069
BUTCT2,0.0,19.25220982735718
ACACCT,0.0,18.475543160690577
OCOAT1,0.0,20.814496281540507
ACt2rpp,0.0,6.118000201020868
ACt4pp,0.0,6.118000201020925
ADPDA,0.0,2.2716215428142146
AGDC,0.0,1.9812711754607615
AHSERL2,0.0,0.0
AHSERL4,0.0,3.8002026009632837
AKGDH,0.0,5.429845843293436
BUTCT,0.0,18.47554316069062
BUTKr,-10.0,9.999999999999998
BUTt2rpp,0.0,1.54105310149101
BUTt4pp,0.0,1.5410531014909814
CS,0.0,3.666707123294098
CYSGL,0.0,2.811135758043112
CYSS,0.0,2.811135758043057
CYSS_2,0.0,2.8111357580430907
ALDD2x,0.0,5.1261887352550595
ALDD2y,0.0,5.12618873525502
ALDD4,0.0,1.0344055064802762
AMID4,0.0,3.351738788435945
AMID_1,0.0,3.35173878843602
APATi,0.0,2.271621542814246
BDH,0.0,9.999999999999998
BSCT,-4.992114699312235e-06,0.8242799591700887
G1PACT,0.0,1.4055678790215305
GLUTARH,0.0,0.7711965353923528
GLYAT,-10.0,6.081342731637522
HMGL,0.0,2.723287765604215
HMGL_2,0.0,2.7232877656042245
HMR_9610,0.0,5.224729548472747
HSERTA,0.0,0.0
HXCT,0.0,1.9221135047687974
IBTMr,-0.00015340046119618477,7.075286283437674
ICL,0.0,5.446575531208503
IPPS,0.0,2.65618700407749
KAS13,0.0,5.991633211316207e-05
KAS17,0.0,0.0
KAS2,0.0,0.32395988289719735
KAS7,0.0,0.29048402833111653
KAS8,0.0,0.29048402833110987
MACCOAT,0.0,3.7213175289216305
MALS,0.0,3.112328874976238
MCITL2,8.942212422342846e-16,10.499216921786415
METB1,0.0,0.0
MMM,0.0,2.412725508223527
MMM2,0.0,2.412725508223504
MMSAD3,0.0,3.5008421439526405
OCOAT2r,0.0,9.999999999999998
DAPDA,-10.0,2.271621542814244
DHPACCOAHIT,0.0,9.999999999999993
ECOAH1,0.0,0.0
ECOAH1_1,0.0,1.6164563113498973
FRD2,0.0,22.036366983048175
FRD3,0.0,15.538971961211727
FRDx,0.0,15.538971961211736
FUMAC,0.0,1.5025035948161334
PTAr,-10.0,8.475543160690547
PROAKGOX1,0.0,1.7754017890701268
POR_syn,0.0,15.982023127271123
PHHL,0.0,1.0462923263964194
PDHbr,0.0,19.255357936674454
PDH,0.0,19.255357936674148
PBUTT,-10.0,10.0
OXDHCOAT,0.0,9.999999999999995
SLCYSS,0.0,3.800202600957479
SDPDS,0.0,10.000000000000002
SERAT,0.0,3.8002026009632437
SHSL1,0.0,8.91257203663975
SHSL2,0.0,0.0
SHSL2r,0.0,0.0
SHSL3,0.0,0.42503247130782873
PTRCAT1,0.0,1.1317559545368259
SUCD2,0.0,22.0086255339004
SUCD1,-10.0,0.0
SUCCt2_2pp,0.0,9.999999999999995
SUCBZT1,-0.8242799591700914,4.992996781170964e-06
SSCOARy,-10.0,1.6223221779548194
SSALy,0.0,2.8111357580430507
SSALx,0.0,2.811135758043067
SUCOAS,-10.0,9.252209827357238
THPAT,-10.000000000000002,2.271621542814166
TARTRt7,-1.747288523130598e-14,10.0
TARTRt7pp,0.0,10.0
THDPS,0.0,10.0
ACOAD1,0.0,1.6164563113498873
ACOAD1fr,0.0,1.6164563113498887
ACOAM,0.0,8.475543160690544
SHSL4r,0.0,0.35681546052263136
ACODA,0.0,2.811135758043085
ACOXT,0.0,0.0
ACSERHS,0.0,3.8002026009632703
ACS,0.0,8.475543160690563
ACS_1,0.0,8.475543160690549
ACTD2,0.0,5.297564062590201
3OXCOAT,0.0,9.999999999999982
AABTN,0.0,1.131755954536825
AACLAM,-2.0956206072169017e-15,8.47554316069054
ACACT2r,-7.0752862834376575,0.00015340046119619196
ACACT3r,-7.075286283437665,0.00015340681577314733
ACACT4r,-7.07528628343767,0.00015341475973474212
ACACT5r,0.0,3.8027425454055144
ACACT5r_1,-7.07528628343767,0.0001534147597347388
ACACT6r_1,-7.07528628343767,0.00015343065012638038
ACACT7r,-0.2904840283311197,0.00019972110704387784
ACACT8r,0.0,0.0
ACACt2pp,0.0,9.999999999999998
ACCOAC,0.0,2.0333881983178292
ACGS,0.0,2.81113575804308
ACKr,-8.475543160690506,10.0
ACLDC,0.0,4.956966420034211
ACHBS,0.0,2.644628091185548
ACGK,0.0,2.811135758043083
ACGAptspp,0.0,1.9812711754607522
ACGApts,0.0,1.9812711754607368
ACGAMK,0.0,0.3123484175603416
ACALDtpp,0.0,0.0
ACALDt,-6.13574378280526,5.126188735255028
ACACtex,6.960521522636797e-15,10.0
ABUTt2r,0.0,10.0
ABUTD,0.0,1.894461054333387
ABTA,0.0,11.64981402214831
AACPS6,0.0,0.9370452526809283
AACPS5,0.0,-1.4591684642792497e-30
AACPS4,0.0,0.9629304806556275
AACPS3,0.0,1.4055678790215258
ACONTb,0.0,4.4571393641121375
ACONTa,0.0,4.457139364112068
ACONT,0.0,4.457139364112118
ACONCt4pp,0.0,3.8857112405080074
ACOADH2,-2.934163451081247e-16,3.5376431417188
ACOAD7,-1.4055678790215298,0.5619173431734276
ACOAD6,-0.00025963743915703296,6.460043997921302
ACOAD5_1,-0.00015343065012630715,7.075286283437672
ACOAD4_1,-0.00015341475973474695,7.075286283437663
ACOAD3,-0.00015340681577314413,7.0752862834376655
ACOAD2,-7.075286283437678,0.00015340046119618353
ACMANApts,0.0,1.9812711754607404
ACM6PH,0.0,0.3123484175603412
ACLS_d,0.0,19.255357936674343
ACLS_a,0.0,19.2553579366743
ACLS,0.0,10.625435768038981
AEPPYRTA,0.0,1.046292326396405
