,minimum,maximum
PHBS_syn_1,30.334581673306783,30.3345816733068
AACOAR_syn,30.334581673306786,30.3345816733068
ACACT1r,15.211257193440916,15.211257193448796
HACD1i,0.0,0.0
HACD1,0.0,0.0
HACD1_1,0.0,9.496253216768056e-15
BUTCT2,0.0,15.123324479857025
ACACCT,0.0,15.123324479858486
OCOAT1,0.0,15.123324479857846
ACt2rpp,0.0,1.6303585943315522e-15
ACt4pp,0.0,-1.860253870828798e-14
ADPDA,0.0,0.0
AGDC,0.0,-6.812525044434143e-15
AHSERL2,0.0,0.0
AHSERL4,0.0,1.2467653479877e-16
AKGDH,0.0,2.8286638474331988e-14
BUTCT,0.0,24.346657813191847
BUTKr,0.0,9.999999999999998
BUTt2rpp,0.0,-2.9276452695359914e-15
BUTt4pp,0.0,7.113486422980361e-16
CS,0.0,-1.6803896978215143e-14
CYSGL,0.0,-1.2367218979545268e-14
CYSS,0.0,1.64156947565324e-14
CYSS_2,0.0,6.985402024056342e-15
ALDD2x,0.0,1.7987561804870943e-14
ALDD2y,0.0,1.9340831854105995e-14
ALDD4,0.0,2.785785455154926e-14
AMID4,0.0,-1.1840223839296507e-14
AMID_1,0.0,1.67763629446873e-14
APATi,0.0,0.0
BDH,5.123324479858008,5.123324479859121
BSCT,2.68870922522397e-15,-4.814870360884414e-14
G1PACT,0.0,1.1072450508742467e-14
GLUTARH,0.0,-1.5847438782248712e-15
GLYAT,2.777775949263213e-12,1.4257917243663608e-15
HMGL,0.0,-4.67011807802145e-14
HMGL_2,0.0,4.735306290757785e-15
HMR_9610,0.0,5.055628973121469e-15
HSERTA,0.0,-9.971453916570692e-15
HXCT,0.0,-1.754206327542163e-14
IBTMr,4.917215582115903,4.917215582116026
ICL,0.0,-1.966694012681996e-14
IPPS,0.0,-9.920640226785382e-16
KAS13,0.0,1.8812075026989942e-16
KAS17,0.0,-2.9721384494443994e-15
KAS2,0.0,-3.8627798011280215e-15
KAS7,0.0,-1.4447242413557032e-15
KAS8,0.0,-1.61882621355682e-15
MACCOAT,0.0,-1.459298351062707e-14
MALS,0.0,-1.2365950048847352e-14
MCITL2,4.9172155821159045,4.917215582115963
METB1,0.0,1.5543813830383745e-14
MMM,0.0,-4.4307717822705575e-15
MMM2,0.0,7.93688508662214e-15
MMSAD3,0.0,4.6176040532980376e-14
OCOAT2r,0.0,-2.636330257455165e-13
DAPDA,-10.0,2.30499500344576e-15
DHPACCOAHIT,0.0,0.7361266046921856
