gene_id,growth,growth_fraction_of_wt,classification,status
MPDKNC_03782,0.44537015293376314,0.9999999999999976,non-essential,optimal
MPDKNC_03017,0.44537015293376314,0.9999999999999976,non-essential,optimal
MPDKNC_00952,0.44537015293376314,0.9999999999999976,non-essential,optimal
MPDKNC_04421,0.4453701529337632,0.9999999999999977,non-essential,optimal
MPDKNC_03401,0.4453701529337632,0.9999999999999977,non-essential,optimal
MPDKNC_04093,0.4453701529337632,0.9999999999999977,non-essential,optimal
MPDKNC_00261,0.4453701529337632,0.9999999999999977,non-essential,optimal
MPDKNC_03714,0.4453701529337632,0.9999999999999977,non-essential,optimal
MPDKNC_02256,0.4453701529337632,0.9999999999999977,non-essential,optimal
MPDKNC_01851,0.4453701529337632,0.9999999999999977,non-essential,optimal
MPDKNC_02002,0.4453701529337632,0.9999999999999977,non-essential,optimal
MPDKNC_02549,0.4453701529337632,0.9999999999999977,non-essential,optimal
MPDKNC_01870,0.4453701529337632,0.9999999999999977,non-essential,optimal
MPDKNC_03752,0.4453701529337632,0.9999999999999977,non-essential,optimal
MPDKNC_00645,0.4453701529337632,0.9999999999999977,non-essential,optimal
MPDKNC_03252,0.4453701529337632,0.9999999999999977,non-essential,optimal
MPDKNC_00346,0.4453701529337632,0.9999999999999977,non-essential,optimal
MPDKNC_04192,0.4453701529337632,0.9999999999999977,non-essential,optimal
MPDKNC_02447,0.4453701529337632,0.9999999999999977,non-essential,optimal
MPDKNC_02274,0.4453701529337632,0.9999999999999977,non-essential,optimal
MPDKNC_00524,0.4453701529337632,0.9999999999999977,non-essential,optimal
MPDKNC_01211,0.44537015293376325,0.9999999999999978,non-essential,optimal
MPDKNC_00336,0.44537015293376325,0.9999999999999978,non-essential,optimal
MPDKNC_03628,0.44537015293376325,0.9999999999999978,non-essential,optimal
MPDKNC_00430,0.44537015293376325,0.9999999999999978,non-essential,optimal
MPDKNC_04157,0.44537015293376325,0.9999999999999978,non-essential,optimal
MPDKNC_04149,0.44537015293376325,0.9999999999999978,non-essential,optimal
MPDKNC_00637,0.44537015293376325,0.9999999999999978,non-essential,optimal
MPDKNC_02960,0.44537015293376325,0.9999999999999978,non-essential,optimal
MPDKNC_04195,0.44537015293376325,0.9999999999999978,non-essential,optimal
MPDKNC_04204,0.44537015293376325,0.9999999999999978,non-essential,optimal
MPDKNC_03232,0.44537015293376325,0.9999999999999978,non-essential,optimal
MPDKNC_03730,0.44537015293376325,0.9999999999999978,non-essential,optimal
MPDKNC_04146,0.44537015293376325,0.9999999999999978,non-essential,optimal
MPDKNC_00277,0.44537015293376325,0.9999999999999978,non-essential,optimal
MPDKNC_00541,0.44537015293376325,0.9999999999999978,non-essential,optimal
MPDKNC_02507,0.44537015293376325,0.9999999999999978,non-essential,optimal
MPDKNC_01176,0.44537015293376325,0.9999999999999978,non-essential,optimal
MPDKNC_03348,0.44537015293376325,0.9999999999999978,non-essential,optimal
MPDKNC_01100,0.44537015293376325,0.9999999999999978,non-essential,optimal
MPDKNC_02763,0.4453701529337633,0.9999999999999979,non-essential,optimal
MPDKNC_02566,0.4453701529337633,0.9999999999999979,non-essential,optimal
MPDKNC_00883,0.44537015293376336,0.999999999999998,non-essential,optimal
MPDKNC_03761,0.44537015293376336,0.999999999999998,non-essential,optimal
MPDKNC_02294,0.44537015293376336,0.999999999999998,non-essential,optimal
MPDKNC_02095,0.44537015293376336,0.999999999999998,non-essential,optimal
MPDKNC_04220,0.44537015293376336,0.999999999999998,non-essential,optimal
MPDKNC_04126,0.44537015293376336,0.999999999999998,non-essential,optimal
MPDKNC_03350,0.44537015293376336,0.999999999999998,non-essential,optimal
MPDKNC_03681,0.44537015293376336,0.999999999999998,non-essential,optimal
MPDKNC_01546,0.44537015293376336,0.999999999999998,non-essential,optimal
MPDKNC_03759,0.44537015293376336,0.999999999999998,non-essential,optimal
MPDKNC_03611,0.44537015293376336,0.999999999999998,non-essential,optimal
MPDKNC_04144,0.44537015293376336,0.999999999999998,non-essential,optimal
MPDKNC_02178,0.44537015293376336,0.999999999999998,non-essential,optimal
MPDKNC_03995,0.44537015293376336,0.999999999999998,non-essential,optimal
MPDKNC_00655,0.44537015293376336,0.999999999999998,non-essential,optimal
MPDKNC_02764,0.44537015293376336,0.999999999999998,non-essential,optimal
MPDKNC_04393,0.44537015293376336,0.999999999999998,non-essential,optimal
MPDKNC_03528,0.4453701529337634,0.9999999999999981,non-essential,optimal
MPDKNC_02608,0.4453701529337634,0.9999999999999981,non-essential,optimal
MPDKNC_00492,0.4453701529337634,0.9999999999999981,non-essential,optimal
MPDKNC_01806,0.4453701529337634,0.9999999999999981,non-essential,optimal
MPDKNC_03772,0.4453701529337635,0.9999999999999982,non-essential,optimal
MPDKNC_01974,0.4453701529337635,0.9999999999999982,non-essential,optimal
MPDKNC_01027,0.4453701529337635,0.9999999999999982,non-essential,optimal
MPDKNC_02397,0.4453701529337635,0.9999999999999982,non-essential,optimal
MPDKNC_03512,0.4453701529337635,0.9999999999999982,non-essential,optimal
MPDKNC_01077,0.4453701529337635,0.9999999999999982,non-essential,optimal
MPDKNC_03507,0.4453701529337635,0.9999999999999982,non-essential,optimal
MPDKNC_02246,0.4453701529337635,0.9999999999999982,non-essential,optimal
MPDKNC_02547,0.4453701529337635,0.9999999999999982,non-essential,optimal
MPDKNC_00471,0.4453701529337635,0.9999999999999982,non-essential,optimal
MPDKNC_00380,0.4453701529337635,0.9999999999999982,non-essential,optimal
MPDKNC_04181,0.4453701529337635,0.9999999999999982,non-essential,optimal
MPDKNC_01725,0.4453701529337635,0.9999999999999982,non-essential,optimal
MPDKNC_03029,0.4453701529337635,0.9999999999999982,non-essential,optimal
MPDKNC_03740,0.44537015293376353,0.9999999999999983,non-essential,optimal
MPDKNC_02205,0.44537015293376353,0.9999999999999983,non-essential,optimal
MPDKNC_02573,0.4453701529337636,0.9999999999999986,non-essential,optimal
MPDKNC_04439,0.4453701529337636,0.9999999999999986,non-essential,optimal
MPDKNC_00087,0.4453701529337636,0.9999999999999986,non-essential,optimal
MPDKNC_00026,0.4453701529337636,0.9999999999999986,non-essential,optimal
MPDKNC_00683,0.4453701529337636,0.9999999999999986,non-essential,optimal
MPDKNC_02093,0.4453701529337636,0.9999999999999986,non-essential,optimal
MPDKNC_02656,0.4453701529337636,0.9999999999999986,non-essential,optimal
MPDKNC_03364,0.4453701529337636,0.9999999999999986,non-essential,optimal
MPDKNC_03748,0.4453701529337636,0.9999999999999986,non-essential,optimal
MPDKNC_03494,0.4453701529337636,0.9999999999999986,non-essential,optimal
MPDKNC_00105,0.4453701529337636,0.9999999999999986,non-essential,optimal
MPDKNC_03839,0.4453701529337636,0.9999999999999986,non-essential,optimal
MPDKNC_02331,0.4453701529337636,0.9999999999999986,non-essential,optimal
MPDKNC_02793,0.4453701529337636,0.9999999999999986,non-essential,optimal
MPDKNC_02724,0.4453701529337636,0.9999999999999986,non-essential,optimal
MPDKNC_00560,0.4453701529337636,0.9999999999999986,non-essential,optimal
MPDKNC_04171,0.4453701529337636,0.9999999999999986,non-essential,optimal
MPDKNC_03571,0.4453701529337636,0.9999999999999986,non-essential,optimal
