fraction_of_optimum,loopless,n_reactions,n_blocked,pct_blocked,mean_range,median_range,total_range,max_range
1.0,False,150,4,2.6666666666666665,11.428349257040797,9.131360657343048,1714.2523885561195,94.63202490170379
1.0,True,150,6,4.0,10.561679274953697,8.844186746987965,1584.2518912430546,94.63202490170373
0.9,False,150,4,2.6666666666666665,11.628605902068944,9.309971299808964,1744.2908853103418,95.7041087811271
0.9,True,150,6,4.0,10.761935921135173,8.925555555555551,1614.290388170276,95.70410878112712
0.5,False,150,4,2.6666666666666665,12.374888243483637,10.0,1856.2332365225454,99.61562801932364
0.5,True,150,6,4.0,11.574885192677124,9.264555555555535,1736.2327789015685,99.61562801932367
