minimum,maximum,reaction_id,flux_span,direction_class
0.0,15.136060606060605,12PPDRDH,15.136060606060605,forward_only
-10.0,20.000000000000004,13PPDH,30.000000000000004,bidirectional
-10.0,19.999999999999986,13PPDH2,29.999999999999986,bidirectional
-10.0,5.329070518200751e-15,13PPDH2_1,10.000000000000005,backward_only
-3.492700104234147e-15,6.4890476190476205,23CAMPtex,6.489047619047624,forward_only
0.0,10.0,23CCMPtex,10.0,forward_only
3.764585231931709e-15,9.999999999999998,23CGMPtex,9.999999999999995,forward_only
0.0,0.10738107303962964,23CUMPtex,0.10738107303962964,forward_only
0.0,0.1073810730396296,23PDE2pp,0.1073810730396296,forward_only
0.0,10.000000000000007,23PDE4pp,10.000000000000007,forward_only
0.0,6.489047619047627,23PDE7pp,6.489047619047627,forward_only
0.0,10.000000000000021,23PDE9pp,10.000000000000021,forward_only
0.0,5.155333333333356,2AACLPGT160,5.155333333333356,forward_only
0.0,5.15533333333332,2AACLPGT161,5.15533333333332,forward_only
0.0,5.155333333333324,2AACLPGT180,5.155333333333324,forward_only
0.0,1.4805110732538336,2AACLPGT181,1.4805110732538336,forward_only
0.0,5.155333333333323,2AACLPPEAT160,5.155333333333323,forward_only
0.0,5.155333333333323,2AACLPPEAT161,5.155333333333323,forward_only
0.0,5.155333333333315,2AACLPPEAT180,5.155333333333315,forward_only
0.0,1.4805110732538305,2AACLPPEAT181,1.4805110732538305,forward_only
0.0,5.155333333333324,2AGPE160tipp,5.155333333333324,forward_only
0.0,5.15533333333332,2AGPE161tipp,5.15533333333332,forward_only
0.0,5.155333333333316,2AGPE180tipp,5.155333333333316,forward_only
0.0,1.4805110732538285,2AGPE181tipp,1.4805110732538285,forward_only
0.0,5.155333333333295,2AGPG160tipp,5.155333333333295,forward_only
0.0,5.15533333333332,2AGPG161tipp,5.15533333333332,forward_only
0.0,5.155333333333324,2AGPG180tipp,5.155333333333324,forward_only
0.0,1.4805110732538287,2AGPG181tipp,1.4805110732538287,forward_only
-9.999999999999996,0.0,2HXMPt6,9.999999999999996,backward_only
0.0,9.999999999999988,2INSD,9.999999999999988,forward_only
0.0,18.633809523809532,2MAHMP,18.633809523809532,forward_only
0.0,9.843999999999983,2PGLYCt6,9.843999999999983,forward_only
0.0,4.179999999999992,2S6HCCi,4.179999999999992,forward_only
0.0,6.553791208791201,34HPPOR,6.553791208791201,forward_only
0.0,4.35661971830993,3AMPt6,4.35661971830993,forward_only
0.0,0.10746041754990478,3CMPt6,0.10746041754990478,forward_only
-10.0,0.03552254284550216,3GMPtex_1,10.035522542845502,bidirectional
0.0,10.000000000000007,3MBt2pp,10.000000000000007,forward_only
0.0,9.999999999999998,3MBt4pp,9.999999999999998,forward_only
0.0,10.0,3MBtex,10.0,forward_only
0.0,0.1073810730396285,3NTD2pp,0.1073810730396285,forward_only
0.0,9.999999999999986,3NTD4pp,9.999999999999986,forward_only
0.0,6.489047619047623,3NTD7pp,6.489047619047623,forward_only
1.2646161206335016e-15,9.999999999999995,3NTD9pp,9.999999999999993,forward_only
0.0,4.356619718309793,3NUCLE1,4.356619718309793,forward_only
0.0,0.1073810730396305,3NUCLE2,0.1073810730396305,forward_only
0.0,0.10746041754990433,3NUCLE3,0.10746041754990433,forward_only
-9.999999999999996,0.035522542845507786,3NUCLE4,10.035522542845504,bidirectional
0.0,9.999999999999998,3OXCOAT,9.999999999999998,forward_only
0.0,1.8633809523809441,3PEPTabcpp,1.8633809523809441,forward_only
0.0,0.10738107303962964,3UMPt6,0.10738107303962964,forward_only
