time_h,biomass_gL,glucose_mM,ammonium_mM,PHB_mM
0.0,0.05,20.0,20.0,0.0
0.05,0.05111342538233441,20.0,19.999378665048305,0.0
0.1,0.05225164508630935,20.0,19.998743493894487,0.0
0.15,0.05341521124446587,20.0,19.998094178426975,0.0
0.2,0.054604688284512724,20.0,19.997430403673008,0.0
0.25,0.05582065320312142,20.0,19.996751847645854,0.0
0.3,0.05706369584581826,20.0,19.996058181188623,0.0
0.35,0.05833441919310915,20.0,19.995349067814583,0.0
0.4,0.05963343965297602,20.0,19.994624163543953,0.0
0.45,0.06096138735988663,20.0,19.993883116737027,0.0
0.5,0.06231890648046299,20.0,19.993125567923617,0.0
0.55,0.06370665552595643,20.0,19.99235114962866,0.0
0.6,0.06512530767168112,20.0,19.99155948619398,0.0
0.65,0.06657555108356088,20.0,19.990750193596053,0.0
0.7,0.06805808925194763,20.0,19.98992287925972,0.0
0.75,0.06957364133287361,20.0,19.989077141867764,0.0
0.8,0.07112294249690265,20.0,19.988212571166226,0.0
0.85,0.0727067442857499,20.0,19.98732874776541,0.0
0.9,0.07432581497684293,20.0,19.986425242936434,0.0
0.95,0.07598093995600108,20.0,19.985501618403266,0.0
1.0,0.07767292209841385,20.0,19.98455742613012,0.0
1.05,0.079402582158103,20.0,19.98359220810412,0.0
1.1,0.08117075916605751,20.0,19.982605496113127,0.0
1.15,0.08297831083723435,20.0,19.981596811518617,0.0
1.2,0.08482611398662257,20.0,19.9805656650235,0.0
1.25,0.08671506495457251,20.0,19.979511556434773,0.0
1.3,0.08864608004159648,20.0,19.978433974420877,0.0
1.35,0.0906200959528517,20.0,19.977332396263666,0.0
1.4,0.0926380702525214,20.0,19.976206287604835,0.0
1.45,0.0947009818283141,20.0,19.975055102186726,0.0
1.5,0.09680983136630679,20.0,19.97387828158733,0.0
1.55,0.09896564183636199,20.0,19.972675254949415,0.0
1.6,0.10116945898835442,20.0,19.97144543870362,0.0
1.65,0.1034223518594479,20.0,19.970188236285345,0.0
1.7,0.10572541329266849,20.0,19.968903037845408,0.0
1.75,0.10807976046702555,20.0,19.967589219954185,0.0
1.8,0.11048653543943775,20.0,19.966246145299205,0.0
1.85,0.11294690569872695,20.0,19.964873162376,0.0
1.9,0.11546206473194882,20.0,19.963469605172072,0.0
1.95,0.11803323260333463,20.0,19.962034792843813,0.0
2.0,0.12066165654612532,20.0,19.960568029386252,0.0
2.05,0.12334861156758477,20.0,19.95906860329542,0.0
2.1,0.1260954010674859,20.0,19.957535787223218,0.0
2.15,0.12890335747036943,20.0,19.955968837624592,0.0
2.2,0.13177384287188212,20.0,19.954366994396846,0.0
2.25,0.13470824969950812,20.0,19.952729480510936,0.0
2.3,0.1377080013880136,20.0,19.951055501634535,0.0
2.35,0.14077455306993272,20.0,19.949344245746726,0.0
2.4,0.14390939228142963,20.0,19.94759488274409,0.0
2.45,0.1471140396838789,20.0,19.945806564038058,0.0
2.5,0.15039004980151455,20.0,19.943978422143243,0.0
2.55,0.1537390117755054,20.0,19.942109570256665,0.0
2.6,0.15716255013482253,20.0,19.94019910182756,0.0
2.65,0.16066232558427285,20.0,19.938246090117634,0.0
2.7,0.16424003581008093,20.0,19.936249587751508,0.0
