reaction_id,mean_flux,std_flux,min_flux,max_flux
12PPDRDH,0.052550776387624655,0.045936451486079034,8.269756504675088e-05,0.21852422952292105
13PPDH,8.773063731507806,0.5753039265946671,7.901650225496578,10.437081123413545
13PPDH2,-8.63124090887046,0.5218934748938701,-9.976992698096605,-7.783903948921577
13PPDH2_1,-0.1418228226376098,0.12192780019164115,-0.6807583770657306,-0.0010124117821188605
23CAMPtex,0.0255088428761116,0.024221714713159346,6.122858327198479e-05,0.12090965149103618
23CCMPtex,0.15252684372617414,0.06162630559982049,0.0076702832141073846,0.29238545791398673
23CGMPtex,9.411100562574617,0.19576170985658753,8.857735533746775,9.7240507088087
23CUMPtex,0.00047409669517536104,0.0004173859422152614,3.574072645241054e-07,0.0019651754597120215
23PDE2pp,0.00047409669517537096,0.0004173859422152603,3.5740726452409666e-07,0.0019651754597120323
23PDE4pp,0.15252684372617414,0.0616263055998205,0.007670283214107412,0.2923854579139868
23PDE7pp,0.025508842876226272,0.024221714713104366,6.122858327298964e-05,0.12090965149100925
23PDE9pp,9.411100562574617,0.19576170985658703,8.857735533746775,9.724050708808699
2AACLPGT160,0.026318965489727012,0.03658020738070523,1.543936042525348e-05,0.15520718486375268
2AACLPGT161,0.02379550664636703,0.019627557320267924,1.9295733335368407e-05,0.061383662158270264
2AACLPGT180,0.01448767607274729,0.010997165963662523,1.0718042529111932e-05,0.06388910519158468
2AACLPGT181,0.00693260315262572,0.007855099719075873,1.038317800118448e-06,0.028525040460629758
2AACLPPEAT160,0.01124238458403649,0.010555460192336413,3.0852732133246696e-05,0.05975335895723689
2AACLPPEAT161,0.014164543776291326,0.013234090532153861,1.5441085827358868e-05,0.07725317901967832
2AACLPPEAT180,0.2626508457219231,0.8176767848807243,1.67747709111839e-05,3.4309985574870496
2AACLPPEAT181,0.00530429921377846,0.004066521460957202,5.565797736007671e-06,0.02785847217462663
2AGPE160tipp,0.011242384584036487,0.010555460192336415,3.0852732133246696e-05,0.05975335895723689
2AGPE161tipp,0.025025732401641007,0.016786845981637363,2.4360063420976438e-05,0.08917030057886297
2AGPE180tipp,0.2626508457219231,0.8176767848807243,1.677477091119778e-05,3.4309985574870496
2AGPE181tipp,0.005304299213778457,0.004066521460957202,5.565797736007671e-06,0.02785847217462663
2AGPG160tipp,0.026318965489727012,0.03658020738070523,1.543936042525348e-05,0.15520718486375268
2AGPG161tipp,0.023795506646367034,0.019627557320267924,1.9295733335368424e-05,0.061383662158270264
2AGPG180tipp,0.014487676072747278,0.010997165963662521,1.0718042529111905e-05,0.06388910519158468
2AGPG181tipp,0.01187995317264965,0.008616264882702536,1.3625508698035355e-05,0.03874557496490127
2HXMPt6,-0.08736414061260685,0.056587239628435496,-0.26374321662930256,-2.9664648176394373e-05
2INSD,0.04362721117487798,0.03625912882350559,3.321695112081282e-05,0.1336218891594778
2MAHMP,0.0344750442153162,0.028753074948107284,7.22397669667771e-06,0.09914558849938682
2PGLYCt6,0.020054173540831843,0.01987992160976534,5.7948173632719146e-05,0.07455232808892465
2S6HCCi,0.010300591648998311,0.009271417395255702,4.408425730713394e-06,0.0452992100840988
34HPPOR,0.04096299331370624,0.023257695958664993,0.002239378002322842,0.1041708769682938
3AMPt6,0.017244060848863624,0.0316553265930829,6.367067996459092e-06,0.18191023204315537
3CMPt6,0.00048361098633682134,0.00045176248417351625,7.697697062454221e-07,0.0024310758867668193
3GMPtex_1,-9.902130905908988,0.048326886717595045,-9.98788843720016,-9.788439097148258
3MBt2pp,0.11815770764260974,0.07094381772202224,0.0007246338152113751,0.2998084181275781
3MBt4pp,4.299193014407985,0.5227619561745207,2.111604729634196,5.166595000119088
3MBtex,4.417350722050548,0.5330367108903655,2.1870019393172715,5.171167716059069
3NTD2pp,0.00047409669517440266,0.00041738594221514894,3.574072645240714e-07,0.0019651754597107694
3NTD4pp,0.1525268437261742,0.0616263055998205,0.007670283214107411,0.29238545791398685
3NTD7pp,0.025508842876239,0.024221714713108834,6.122858327321672e-05,0.12090965149103644
3NTD9pp,9.41110056257462,0.19576170985658664,8.857735533746775,9.7240507088087
3NUCLE1,0.01724406084846264,0.03165532659320212,6.367067907443877e-06,0.18191023204315535
3NUCLE2,0.0004115677299125366,0.00038176924300607187,5.654287615553286e-07,0.0017225996413986727
3NUCLE3,0.0004836109863423168,0.00045176248417399417,7.697697062342004e-07,0.0024310758867724454
3NUCLE4,-9.90213090590868,0.04832688671756296,-9.987888437200164,-9.788439097147968
3OXCOAT,0.08437650061052222,0.07236485808259219,0.00014185223945888939,0.2816092371542145
3PEPTabcpp,0.0281304110811478,0.012119134444629226,1.974490864355977e-05,0.05099538377153671
3UMPt6,0.00041156772991297403,0.00038176924300608776,5.654287615553835e-07,0.0017225996413987514
4ABUTD,-5.885615382701288,0.9500762227193945,-7.080119895112915,-2.3209810306931553
4HALDD,0.0,0.0,0.0,0.0
4HBAt,-1.7876310666746e-06,9.324346287045409e-07,-3.5520715946738354e-06,-1.6386025305758265e-09
4HPRODCabcpp,0.04246280118797142,0.03066755291339307,6.19028918137254e-05,0.13053080644865817
4HPRODCtex,0.04246280118797144,0.030667552913393074,6.190289181372538e-05,0.1305308064486582
4HPROE,-0.042462801187974464,0.030667552913394718,-0.13053080644866788,-6.190289181372887e-05
4HPROLTabcpp,0.056945953349599336,0.054223199944684504,1.0786769776597424e-05,0.15527807798664328
4HPROLTtex,0.056945953349599336,0.054223199944684504,1.0786769776597428e-05,0.15527807798664328
4HPRO_LT_Et,-0.21223647657154493,0.06344228308966224,-0.35490784428759525,-0.021367619428966478
4HTHRA,0.09698722292786652,0.0922101190773386,0.00011106240572171034,0.3901840081175188
