knockouts,n_knockouts,max_growth,min_PHB_at_max_growth
13PPDH + VECOAH,2,0.4453701529337634,0.0
13PPDH + VNDH_2,2,0.4453701529337634,0.0
13PPDH + VPAMTr,2,0.4453701529337634,0.0
13PPDH + XANt2,2,0.4453701529337634,0.0
13PPDH2 + XYLK,2,0.44537015293376364,0.0
13PPDH2 + XYLabc,2,0.44537015293376364,0.0
13PPDH2 + XYLabcpp,2,0.44537015293376364,0.0
13PPDH2 + XYLt2,2,0.44537015293376364,0.0
13PPDH2 + 23PDE2pp,2,0.44537015293376336,0.0
13PPDH2 + 23CUMPtex,2,0.44537015293376436,0.0
13PPDH2 + 23CGMPtex,2,0.34461914158991985,0.0
13PPDH2 + 23CCMPtex,2,0.4453701529337635,0.0
13PPDH2 + 23CAMPtex,2,0.4453701529337635,0.0
13PPDH2 + 13PPDH2_1,2,0.4453701529337635,0.0
13PPDH + 2HXMPt6,2,0.4453701529337635,0.0
13PPDH + 2INSD,2,0.4453701529337635,0.0
13PPDH + 2MAHMP,2,0.4453701529337635,0.0
13PPDH + 2PGLYCt6,2,0.4453701529337635,0.0
13PPDH + 2S6HCCi,2,0.4453701529337635,0.0
13PPDH + 34HPPOR,2,0.4453701529337635,0.0
13PPDH2 + 3MBt4pp,2,0.4453701529337643,0.0
13PPDH2 + 3MBtex,2,0.44537015293376364,0.0
13PPDH2 + 3NTD2pp,2,0.44537015293376364,0.0
13PPDH2 + 3NTD4pp,2,0.44537015293376364,0.0
13PPDH2 + VALt2r,2,0.4453701529337635,0.0
13PPDH2 + VALt2rpp,2,0.4453701529337635,0.0
13PPDH2 + VALt3pp,2,0.4453701529337635,0.0
13PPDH2 + VALtex,2,0.44537015293376364,0.0
13PPDH2 + VECOAH,2,0.44537015293376364,0.0
13PPDH2 + VNDH_2,2,0.44537015293376364,0.0
13PPDH2 + VPAMTr,2,0.44537015293376364,0.0
13PPDH2 + XANt2,2,0.44537015293376364,0.0
13PPDH2 + XPPT,2,0.44537015293376364,0.0
13PPDH2 + XTSNH,2,0.44537015293376364,0.0
13PPDH2 + XYLI1,2,0.44537015293376364,0.0
13PPDH2 + XYLI2,2,0.44537015293376364,0.0
13PPDH2_1 + XYLt2,2,0.4453701529337632,0.0
13PPDH2_1 + 23PDE2pp,2,0.4453701529337629,0.0
13PPDH2_1 + 23CUMPtex,2,0.4453701529337634,0.0
13PPDH2_1 + 23CGMPtex,2,0.3446191415899199,0.0
13PPDH2_1 + 23CCMPtex,2,0.4453701529337631,0.0
13PPDH2_1 + 23CAMPtex,2,0.44537015293376286,0.0
13PPDH2 + 2HXMPt6,2,0.44537015293376286,0.0
13PPDH2 + 2INSD,2,0.44537015293376286,0.0
13PPDH2 + 2MAHMP,2,0.44537015293376286,0.0
13PPDH2 + 2PGLYCt6,2,0.44537015293376286,0.0
13PPDH2 + 2S6HCCi,2,0.44537015293376286,0.0
13PPDH2 + 34HPPOR,2,0.44537015293376286,0.0
13PPDH2 + 3AMPt6,2,0.44537015293376286,0.0
13PPDH2 + 3CMPt6,2,0.44537015293376475,0.0
13PPDH2 + 3GMPtex_1,2,0.1715676286876595,0.0
13PPDH2 + 3MBt2pp,2,0.4453701529337643,0.0
13PPDH2_1 + 3NTD4pp,2,0.4453701529337632,0.0
13PPDH2_1 + VALt2r,2,0.445370152933763,0.0
13PPDH2_1 + VALt2rpp,2,0.445370152933763,0.0
13PPDH2_1 + VALt3pp,2,0.445370152933763,0.0
13PPDH2_1 + VALtex,2,0.4453701529337632,0.0
13PPDH2_1 + VECOAH,2,0.4453701529337632,0.0
13PPDH2_1 + VNDH_2,2,0.4453701529337632,0.0
13PPDH2_1 + VPAMTr,2,0.4453701529337632,0.0
13PPDH2_1 + XANt2,2,0.4453701529337632,0.0
13PPDH2_1 + XPPT,2,0.4453701529337632,0.0
13PPDH2_1 + XTSNH,2,0.4453701529337632,0.0
13PPDH2_1 + XYLI1,2,0.4453701529337632,0.0
13PPDH2_1 + XYLI2,2,0.4453701529337632,0.0
13PPDH2_1 + XYLK,2,0.4453701529337632,0.0
13PPDH2_1 + XYLabc,2,0.4453701529337632,0.0
13PPDH2_1 + XYLabcpp,2,0.4453701529337632,0.0
23CAMPtex + 23CUMPtex,2,0.4453701529337632,0.0
23CAMPtex + 23CGMPtex,2,0.3433863014729125,0.0
23CAMPtex + 23CCMPtex,2,0.44537015293376353,0.0
13PPDH2_1 + 2HXMPt6,2,0.44537015293376314,0.0
13PPDH2_1 + 2INSD,2,0.44537015293376314,0.0
13PPDH2_1 + 2MAHMP,2,0.44537015293376314,0.0
13PPDH2_1 + 2PGLYCt6,2,0.44537015293376314,0.0
13PPDH2_1 + 2S6HCCi,2,0.44537015293376314,0.0
13PPDH2_1 + 34HPPOR,2,0.44537015293376314,0.0
13PPDH2_1 + 3AMPt6,2,0.44537015293376314,0.0
13PPDH2_1 + 3CMPt6,2,0.44537015293376336,0.0
13PPDH2_1 + 3GMPtex_1,2,0.17156762868766753,0.0
13PPDH2_1 + 3MBt2pp,2,0.44537015293376236,0.0
13PPDH2_1 + 3MBt4pp,2,0.44537015293376236,0.0
13PPDH2_1 + 3MBtex,2,0.44537015293376325,0.0
13PPDH2_1 + 3NTD2pp,2,0.4453701529337632,0.0
23CAMPtex + VALt2rpp,2,0.4453701529337637,0.0
23CAMPtex + VALt3pp,2,0.4453701529337637,0.0
23CAMPtex + VALtex,2,0.4453701529337638,0.0
23CAMPtex + VECOAH,2,0.4453701529337638,0.0
23CAMPtex + VNDH_2,2,0.4453701529337638,0.0
23CAMPtex + VPAMTr,2,0.4453701529337638,0.0
23CAMPtex + XANt2,2,0.4453701529337638,0.0
23CAMPtex + XPPT,2,0.4453701529337638,0.0
23CAMPtex + XTSNH,2,0.4453701529337638,0.0
23CAMPtex + XYLI1,2,0.4453701529337638,0.0
23CAMPtex + XYLI2,2,0.4453701529337638,0.0
23CAMPtex + XYLK,2,0.4453701529337638,0.0
23CAMPtex + XYLabc,2,0.4453701529337638,0.0
23CAMPtex + XYLabcpp,2,0.4453701529337638,0.0
23CAMPtex + XYLt2,2,0.4453701529337638,0.0
23CAMPtex + 23PDE2pp,2,0.4453701529337658,0.0
23CCMPtex + 23CGMPtex,2,0.34461914158991974,0.0
23CAMPtex + 2HXMPt6,2,0.44537015293376403,0.0
23CAMPtex + 2INSD,2,0.44537015293376403,0.0
23CAMPtex + 2MAHMP,2,0.44537015293376403,0.0
23CAMPtex + 2PGLYCt6,2,0.44537015293376403,0.0
23CAMPtex + 2S6HCCi,2,0.44537015293376403,0.0
23CAMPtex + 34HPPOR,2,0.44537015293376375,0.0
23CAMPtex + 3AMPt6,2,0.4438035924905087,0.0
23CAMPtex + 3CMPt6,2,0.4453701529337635,0.0
23CAMPtex + 3GMPtex_1,2,0.17032516767125777,0.0
23CAMPtex + 3MBt2pp,2,0.4453701529337638,0.0
23CAMPtex + 3MBt4pp,2,0.4453701529337638,0.0
23CAMPtex + 3MBtex,2,0.4453701529337638,0.0
23CAMPtex + 3NTD2pp,2,0.4453701529337638,0.0
23CAMPtex + 3NTD4pp,2,0.4453701529337638,0.0
23CAMPtex + VALt2r,2,0.4453701529337637,0.0
23CCMPtex + VALt3pp,2,0.4453701529337631,0.0
23CCMPtex + VALtex,2,0.4453701529337645,0.0
23CCMPtex + VECOAH,2,0.4453701529337645,0.0
23CCMPtex + VNDH_2,2,0.4453701529337645,0.0
23CCMPtex + VPAMTr,2,0.4453701529337645,0.0
23CCMPtex + XANt2,2,0.4453701529337645,0.0
23CCMPtex + XPPT,2,0.4453701529337645,0.0
23CCMPtex + XTSNH,2,0.4453701529337645,0.0
23CCMPtex + XYLI1,2,0.4453701529337645,0.0
23CCMPtex + XYLI2,2,0.4453701529337645,0.0
23CCMPtex + XYLK,2,0.4453701529337645,0.0
23CCMPtex + XYLabc,2,0.4453701529337645,0.0
23CCMPtex + XYLabcpp,2,0.4453701529337645,0.0
23CCMPtex + XYLt2,2,0.4453701529337645,0.0
23CCMPtex + 23PDE2pp,2,0.44537015293376436,0.0
23CCMPtex + 23CUMPtex,2,0.4453701529337641,0.0
23CCMPtex + 2HXMPt6,2,0.44537015293376364,0.0
23CCMPtex + 2INSD,2,0.44537015293376364,0.0
23CCMPtex + 2MAHMP,2,0.44537015293376364,0.0
23CCMPtex + 2PGLYCt6,2,0.44537015293376364,0.0
