metabolite_id,metabolite_name,shadow_price
gthrd_e,Reduced glutathione,-0.0
gua_e,Guanine,-0.0
h2_e,Hydrogen,-0.0
h2o2_e,Hydrogen peroxide,-0.0
h2o_e,H2O H2O,-0.0
h2s_e,Hydrogen sulfide,-0.0
glyser_e,L glycinylserine,0.0
hexs_e,Hexanesulfonate C6H13O3S,0.0
his__L_e,L-Histidine,-0.0
hisgly_e,L histidinylglycine,0.0
hishis_e,L histidinylhistidine,0.0
hqn_e,Hydroquinone,0.0
hxa_e,Hexanoate (n-C6:0),-0.0
hxan_e,Hypoxanthine,0.0
icit_e,Isocitrate,-0.0
id3acald_e,Indole 3 acetaldehyde C10H9NO,0.0
ile__L_e,L-Isoleucine,-0.0
ind3ac_e,Indole 3 acetate C10H8NO2,0.0
inost_e,Myo-Inositol,-0.0
isetac_e,Isethionic acid,0.0
istfrnA_e,Iron bound extracellular staphyloferrin A,-0.0
istfrnB_e,Iron bound extracellular staphyloferrin B,-0.0
h_e,H+,-0.0
leu__L_e,L-Leucine,-0.0
leuleu_e,Leucylleucine,0.0
lipoate_e,Lipoate,0.0
lys__L_e,L-Lysine,-0.0
lysglugly_e,Lysine-glutamine-glycine tripeptide,-0.0
madg_e,Alpha Methyl D glucoside C7H14O6,0.0
mal__D_e,D-Malate,0.0
mal__L_e,L-Malate,0.0
malt_e,Maltose C12H22O11,-0.0
malttr_e,Maltotriose C18H32O16,0.0
maltttr_e,Maltotetraose,0.0
man_e,D-Mannose,0.0
manglyc_e,2(alpha-D-Mannosyl)-D-glycerate,0.0
mbdg_e,Beta Methylglucoside C7H14O6,0.0
mcbtt_e,Mycobactin T,0.0
melib_e,Melibiose C12H22O11,0.0
meoh_e,Methanol,0.0
met_L_ala__L_e,Met L ala L C8H16N2O3S,0.0
met__D_e,D-Methionine,0.0
met__L_e,L-Methionine,0.0
metox__R_e,L methionine R oxide C5H11NO3S,-0.0
metox_e,L Methionine S oxide C5H11NO3S,0.0
metsox_R__L_e,L-methionine-R-sulfoxide,-0.0
mg2_e,Magnesium,-0.0
mobd_e,Molybdate,0.0
mmet_e,S-Methyl-L-methionine,-0.0
mn2_e,Manganese,-0.0
mnl_e,D-Mannitol,0.0
mththf_e,"(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran",0.0
mso3_e,Methanesulfonate,-0.0
nac_e,Nicotinate,-0.0
k_e,Potassium,-0.0
spmd_e,Spermidine,0.0
nh4_e,Ammonium,-0.0
no2_e,Nitrite,0.0
no3_e,Nitrate,0.0
o2_e,O2 O2,-0.0
octa_e,Octanoate (n-C8:0),-0.0
oxa_e,Oxalate,0.0
pacald_e,Phenylacetaldehyde,0.0
phe__L_e,L-Phenylalanine,-0.0
pheme_e,Protoheme C34H30FeN4O4,-0.0
pi_e,Phosphate,-0.0
pnto__R_e,(R)-Pantothenate,-0.0
ppa_e,Propionate (n-C3:0),0.0
pro__L_e,L-Proline,-0.0
progly_e,L-Prolinylglycine,0.0
prohisglu_e,Proline-histidine-glutamine tripeptide,0.0
ptrc_e,Putrescine,0.0
pyovd_kt_e,Pyoverdine  P putida specific,-0.0
pyr_e,Pyruvate,0.0
rib__D_e,D-Ribose,0.0
ribflv_e,Riboflavin C17H20N4O6,-0.0
s_e,Sulfur,0.0
salchs2_e,Salmochelin-S2,0.0
salchs2fe_e,Salmochelin-S2-Fe-III,0.0
salchs4_e,Salmochelin-S4,0.0
salchs4fe_e,Salmochelin-S4-Fe-III,0.0
salcn_e,Salicin C13H18O7,0.0
ser__D_e,D-Serine,0.0
ser__L_e,L-Serine,-0.0
serglugly_e,Serine-glutamine-glycine tripeptide,-0.0
so3_e,Sulfite,0.0
so4_e,Sulfate,-0.0
ttdca_e,Tetradecanoate (n-C14:0),-0.0
stfrnA_e,Staphyloferrin A,-0.0
stfrnB_e,Staphyloferrin B,-0.0
succ_e,Succinate,-0.0
sucr_e,Sucrose C12H22O11,0.0
sulfac_e,Sulfoacetate,0.0
tagur_e,D-Tagaturonate,0.0
tartr__L_e,L-tartrate,-0.0
taur_e,Taurine C2H7NO3S,0.0
thm_e,Thiamin,-0.0
thr__L_e,L-Threonine,-0.0
thymd_e,Thymidine C10H14N2O5,0.0
tnt_e,2 4 6 Trinitrotoluene,0.0
tre_e,Trehalose,0.0
trp__L_e,L-Tryptophan,-0.0
tsul_e,Thiosulfate,0.0
val__L_e,L-Valine,-0.0
ttdcea_e,Tetradecenoate (n-C14:1),-0.0
