reaction_id,reaction_name,growth,growth_fraction_of_wt,classification,growth_coupled_PHB_after_knockout
GLUPRT,Glutamine phosphoribosyldiphosphate amidotransferase,0.44537015293376336,0.999999999999998,non-essential,3.937981513908814
ACODA,Acetylornithine deacetylase,0.44537015293376336,0.999999999999998,non-essential,3.9379815139090635
CAT,Catalase,0.44537015293376336,0.999999999999998,non-essential,3.9379815139087175
2AACLPPEAT180,2 acyl acyl carrier protein glycerophospho glycerol acyltransferase  n C160,0.44537015293376336,0.999999999999998,non-essential,3.937981513908663
GLCptspp,D-glucose transport via PEP:Pyr PTS (periplasm),0.44537015293376336,0.999999999999998,non-essential,3.9379815139087837
IBTMr,Isobutyryl-CoA mutase,0.44535168540877523,0.999958534435082,non-essential,3.7791742254660448
MGCH,Methylglutaconyl-CoA hydratase,0.4453701529337636,0.9999999999999986,non-essential,3.937981513908652
MDDCP2pp,"Murein D,D-carboxypeptidase (murein5px4px4p) (periplasm)",0.44537015293376336,0.999999999999998,non-essential,3.9379815139087593
LALALGLUtex,L-alanyl-L-glutamate transport via diffusion (extracellular to periplasm),0.44537015293376336,0.999999999999998,non-essential,3.937981513908767
REPHACCOAI,"Ring 1,2-epoxyphenylacetyl-CoA isomerase (oxepin-CoA forming)",0.44537015293376336,0.999999999999998,non-essential,3.9379815139087535
CYTK2,Cytidylate kinase (dCMP),0.44537015293376336,0.999999999999998,non-essential,3.937981513908606
PUNP3,Purine-nucleoside phosphorylase (Guanosine),0.4442859966746025,0.9975657186454455,non-essential,3.93718003120185
CYTDH,Cytidine hydrolase,0.44537015293376364,0.9999999999999987,non-essential,3.9379815139087007
AACPS5,Acyl-[acyl-carrier-protein] synthetase  (n-C18:1),0.4453701529337635,0.9999999999999982,non-essential,3.937981513908792
ZN2t3pp,Zinc (Zn+2) transport out via proton antiport (periplasm),0.4453701529337635,0.9999999999999982,non-essential,3.9379815139087344
ADPT,Adenine phosphoribosyltransferase,0.4453701529337634,0.9999999999999981,non-essential,3.9379815139023866
ARBabc,L-arabinose transport via ABC system,0.44537015293376364,0.9999999999999987,non-essential,3.937981513908744
CYSDS,Cysteine Desulfhydrase,0.44537015293376364,0.9999999999999987,non-essential,3.9379815139087184
G6PI,Glucose 6 phosphate isomerase,0.44537015293376364,0.9999999999999987,non-essential,3.937981513908729
ACOAM,Acetate CoA ligase AMP-forming,0.44537015293376364,0.9999999999999987,non-essential,3.9379815139089396
2AGPE180tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0) transporter via facilitated diffusion (periplasm),0.44537015293376364,0.9999999999999987,non-essential,3.9379815139087317
ACCOAC,Acetyl-CoA carboxylase,-5.124137126752878e-17,-1.1505344695864572e-16,essential,
ALPHNH,Allophanate hydrolase,0.44537015293376325,0.9999999999999978,non-essential,3.9379815139085155
GLYt4,Glycine transport via sodium symport,0.44537015293376364,0.9999999999999987,non-essential,3.9379815139086167
NI2uabcpp,"Nickel transport via ABC system (uptake, periplasm)",0.44537015293376364,0.9999999999999987,non-essential,3.93798151390848
GCCa,Glycine-cleavage complex,0.44537015293376364,0.9999999999999987,non-essential,3.937981513909253
AMPTASEAH,Aminopeptidase  Ala His,0.44537015293376364,0.9999999999999987,non-essential,3.9379815139094965
EX_ribflv_e,R_EX_ribflv_e,0.4453489897912109,0.999952481902045,non-essential,3.9381446317459736
FE3PYOVDL2,Ferripyoverdine complex formation  P putida KT2440 specific,0.4453701529337642,0.9999999999999999,non-essential,3.9379815139085874
P52O,,0.4453701529337634,0.9999999999999981,non-essential,3.937981513908744
FEDCabc,Iron  III  dicitrate transport via ABC system,0.4453701529337634,0.9999999999999981,non-essential,3.9379815139087184
ARBTpts,Arbutin transport via PEPPyr PTS,0.4453701529337634,0.9999999999999981,non-essential,3.937981513908787
SCYSSL,S-sulfo-L-cysteine sulfite lyase,0.4453701529337634,0.9999999999999981,non-essential,3.9379815139087193
VNDH_2,4-hydroxybenzaldehyde dehydrogenase,0.4453701529337634,0.9999999999999981,non-essential,3.937981513908645
MN6PP,Mannose 6-phosphate phosphatase,0.4453701529337634,0.9999999999999981,non-essential,3.9379815139087566
ARABRr,Arabinose reductase,0.4453701529337634,0.9999999999999981,non-essential,3.9379815139087047
EX_mththf_e,R_EX_mththf_e,0.4453701529337634,0.9999999999999981,non-essential,3.9379815139087118
GALt2pp,D-galactose transport in via proton symport (periplasm),0.4453701529337634,0.9999999999999981,non-essential,3.937981513908776
PHEabc,,0.4453701529337634,0.9999999999999981,non-essential,3.9379815139086998
EX_meoh_e,R_EX_meoh_e,0.4453701529337634,0.9999999999999981,non-essential,3.9379815139086194
GLUDy_1,Glutamate dehydrogenase (NADP),0.4453701529337634,0.9999999999999981,non-essential,3.9379815139081122
HACD3,3-hydroxyacyl-CoA dehydrogenase (3-oxooctanoyl-CoA),0.4453701529337634,0.9999999999999981,non-essential,3.9379815139087198
GAPD,Glyceraldehyde-3-phosphate dehydrogenase,0.1871374638528906,0.42018411566237535,critical,1.7224130441998344
EX_23camp_e,R_EX_23camp_e,0.4453701529337634,0.9999999999999981,non-essential,3.9379815139091074
ACP1_FMN,Acid phosphatase (FMN),0.44537015293376364,0.9999999999999987,non-essential,3.937981513909424
AGMH,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl beta -1,4-N-acetylglucosaminidase",0.44537015293376364,0.9999999999999987,non-essential,3.937981513908658
GLYALDt,Glyceraldehyde facilitated diffusion,0.4453701529337638,0.999999999999999,non-essential,3.9379815139086536
AICART,Phosphoribosylaminoimidazolecarboxamide formyltransferase,0.4453701529337636,0.9999999999999986,non-essential,3.9379815139093712
FE3DCITexs,Dicitrate Fe(III) binding (spontaneous),0.44537015293376336,0.999999999999998,non-essential,3.9379815139090604
TKT1,Transketolase,0.33075921402939407,0.7426613836841123,non-essential,2.9025089097146832
GALKr,Galactokinase,0.3420073161416129,0.7679170099045152,non-essential,3.0080481481547174
GLYSERtex,L Glycinylserine transport via diffusion  extracellular to periplasm,0.44537015293376475,1.000000000000001,non-essential,3.9379815139087175
ALATA_L,L-alanine transaminase,0.44537015293376464,1.0000000000000009,non-essential,3.93798151390878
AMPEP11,Aminopeptidase,0.4453701529337621,0.9999999999999951,non-essential,3.9379815139088525
SMIB1,Staphyloferrin B Mediated Iron Acquisition,0.4453701529337621,0.9999999999999951,non-essential,3.937981513909031
NADK5,NAD kinase  dTTP,0.4453701529337621,0.9999999999999951,non-essential,3.93798151390873
2S6HCCi,2 succinyl 6 hydroxy 2 4 cyclohexadiene 1 carboxylate synthase,0.4453701529337621,0.9999999999999951,non-essential,3.937981513908793
MEOHtrpp,Methanol reversible transport via diffusion (periplasm),0.4453701529337621,0.9999999999999951,non-essential,3.937981513908812
EX_mso3_e,R_EX_mso3_e,0.4453701529337621,0.9999999999999951,non-essential,3.937981513908628
EX_no3_e,R_EX_no3_e,0.4453701529337621,0.9999999999999951,non-essential,3.937981513908689
URIK1,Uridine kinase  ATPUridine,0.4453701529337621,0.9999999999999951,non-essential,3.9379815139089773
HG2t3pp,Mercury (Hg+2) transport out via proton antiport (periplasm),0.4453701529337621,0.9999999999999951,non-essential,3.9379815139086847
EX_h2o_e,R_EX_h2o_e,0.44537015293376286,0.9999999999999969,non-essential,3.9379815139086554
EX_mal__L_e,R_EX_mal__L_e,0.4453701529337633,0.9999999999999979,non-essential,3.9379815139086753
E4PD,Erythrose 4-phosphate dehydrogenase,0.4453701529337633,0.9999999999999979,non-essential,3.9379815139086705
CO2tpp,CO2 transporter via diffusion (periplasm),0.4453701529337633,0.9999999999999979,non-essential,3.937981513908699
ITCY,ITP:cytidine 5'-phosphotransferase,0.4453701529337633,0.9999999999999979,non-essential,3.9379815139086487
PDE4,"3',5'-cyclic-nucleotide phosphodiesterase",0.44537015293376375,0.9999999999999989,non-essential,3.93798151390868
13PPDH2,"1,3-propanediol dehydrogenase",0.44537015293376375,0.9999999999999989,non-essential,3.9379815139086847
FORtex,Formate transport via diffusion (extracellular to periplasm),0.44537015293376375,0.9999999999999989,non-essential,3.9379815139087215
EX_enter_e,R_EX_enter_e,0.44537015293376375,0.9999999999999989,non-essential,3.937981513908764
RNTR4,Ribonucleoside triphosphate reductase  UTP,0.44537015293376375,0.9999999999999989,non-essential,3.9379815139088463
TYRt2r,L tyrosine reversible transport via proton symport,0.4443115487068821,0.9976230912199463,non-essential,3.9371989210174916
NTP10,Nucleoside-triphosphatase (ITP),0.44537015293376336,0.999999999999998,non-essential,3.937981513908715
EX_lysglugly_e,R_EX_lysglugly_e,0.44537015293376375,0.9999999999999989,non-essential,3.9379815139087166
CBPS_1,Carbamoyl-phosphate synthase (glutamine-hydrolysing),0.44537015293376375,0.9999999999999989,non-essential,3.9379815139086
DGUNC,Diguanylate cyclase,0.44537015293376375,0.9999999999999989,non-essential,3.9379815139087166
