reaction_id,reaction_name,imbalance
APTA1i,Acetyl L L diaminopimelate aminotransferase,{'H': -1.0}
ARGSL,Argininosuccinate lyase,{'H': 1.0}
ARGSS,Argininosuccinate synthase,{'H': -1.0}
ATPPRT,ATP phosphoribosyltransferase,{'H': -6.0}
BALAMDAH,Beta Alaninamide amidohydrolase,{'H': -1.0}
BGLA1,6-phospho-beta-glucosidase,{'H': 2.0}
BSCT,Benzoylsuccinyl-CoA thiolase,{'H': 5.0}
BTS3r,Biotin synthase,{'H': 1.0}
CDGUNPD,"3,5-cyclic-nucleotide phosphodiesterase",{'H': 2.0}
CDPPT160,CDPPT160,{'H': -1.0}
CELBpts,Cellobiose transport via PEPPyr PTS,{'H': -2.0}
CHORM,Chorismate mutase,{'H': -2.0}
CMCBTFexs,Carboxymycobactin Fe loading reaction  spontaneous,{'H': 3.0}
CPGNexs,Coprogen Fe-loading reaction (spontaneaous),{'H': 1.0}
CYSK2_I,O-Phospho-L-Serine-dependent S-Suflocysteine Synthase,{'H': 1.0}
D5KGK,2-Deoxy-5-Keto-D-gluconate kinase,{'H': -3.0}
D5KGPA,2-Deoxy-5-keto-D-gluconate 6-phosphate aldolase,{'H': 3.0}
DACL,,{'H': 3.0}
DAGK,Diacylglycerol kinase,{'H': -2.0}
DAGK_BS,Diacylglycerol kinase,{'H': -2.0}
DASYN161,CDP-diacylglycerol synthetase (n-C16:1),{'H': 2.0}
DASYN180,CDP-diacylglycerol synthetase (n-C18:0),{'H': 2.0}
DASYN181,CDP-diacylglycerol synthetase (n-C18:1),{'H': 2.0}
DB4PS,"3,4-Dihydroxy-2-butanone-4-phosphate synthase",{'H': -1.0}
DGUNC,Diguanylate cyclase,{'H': -2.0}
DHACOAH,"2,3-dehydroadipyl-CoA hydratase",{'H': 5.0}
DHAD3,Dihydroxy acid dehydratase  2 3 dihydroxy 3 methylpentanoate,{'H': -1.0}
DHBD,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",{'H': 1.0}
DHBSZ3FEexs,23dhbsz3 Fe III sequestration,{'H': 3.0}
DHNCOAS,"1,4-dihydroxy-2-napthoyl-CoA synthase",{'H': 5.0}
DHPACCOAHIT,"1,2-Dihydroxy-1,2-dihydrophenylacetyl-CoA Hydratase/Isomerase/Ketothiolase complex",{'H': 4.0}
DKMD2K,1 2 dihydroxy 3 keto 5 methylthiopentene dioxygenase  2 keto 4 methylthiobutyrate,{'H': 2.0}
DM1PE,2 3 diketo 5 methylthiopentyl 1 phosphate enolase,{'H': -3.0}
DNMPPA,Dihydroneopterin monophosphate dephosphorylase,{'H': 2.0}
DNTPPA,Dihydroneopterin triphosphate pyrophosphatase,{'H': -2.0}
DRPA,Deoxyribose-phosphate aldolase,{'H': -2.0}
DURIPP,Deoxyuridine phosphorylase,{'H': -2.0}
DURIPP_1,Deoxyuridine phosphorylase,{'H': -2.0}
DXPRIi,1-deoxy-D-xylulose reductoisomerase,{'H': -2.0}
DXPS,1-deoxy-D-xylulose 5-phosphate synthase,{'H': 2.0}
ECOAH1_1,3 hydroxyacyl CoA dehydratase  3 hydroxybutanoyl CoA,{'H': 4.0}
ECOAH2c,Enoyl CoA hydratase  bacterial,{'H': -3.0}
ECOAH5_1,3 hydroxyacyl CoA dehydratase  3 hydroxydodecanoyl CoA,{'H': -4.0}
