reaction_id,reaction_name,imbalance,distance_from_PHB
HACD9,3 hydroxyacyl CoA dehydrogenase  2 Methylacetoacetyl CoA,{'H': -4.0},2
HACD8i,3-hydroxyacyl-CoA dehydrogenase (3-oxooctadecanoyl-CoA),{'H': 4.0},2
HACD8,"3-hydroxyacyl-CoA dehydrogenase (3-oxooctadecanoyl-CoA), peroxisomal",{'H': -4.0},2
HACD3,3-hydroxyacyl-CoA dehydrogenase (3-oxooctanoyl-CoA),{'H': -4.0},2
HACD1_1,3 hydroxyacyl CoA dehydrogenase  acetoacetyl CoA,{'H': -4.0},2
GUI2,Glucuronate isomerase (D-galacturonate),{'H': -1.0},2
MANPGH,2-O-alpha-mannosyl-6-phosphate-D-glycerate hydrolase,{'H': 1.0},2
GTPDPK,GTP diphosphokinase,{'H': -7.0},2
GPDDA4,Glycerophosphodiester phosphodiesterase (Glycerophosphoglycerol),{'H': 1.0},2
GLYTYRabc,Gly-Try ABC transporters,{'H': 1.0},2
GLYTYRAP,Gly-Try aminopeptidase,{'H': -1.0},2
GLYPHEtr,Gly-Phe ABC transporters,{'H': 1.0},2
GLYPHEAP,Gly-Phe aminopeptidase,{'H': -1.0},2
GLYLEUtr,Gly-Leu ABC transporters,{'H': 1.0},2
GLYLEUAP,Gly-Leu aminopeptidase,{'H': -1.0},2
HEX4,Hexokinase (D-mannose:ATP),{'H': -2.0},2
MLDCP3App,"Murein L,D-carboxypeptidase (murein5px3p) (periplasm)",{'H': -4.0},2
MLDCP1App,"Murein L,D-carboxypeptidase (murein5px4p) (periplasm)",{'H': 4.0},2
MHPGLUT2,5-methyltetrahydropteroyltriglutamate methyltransferase,{'H': 4.0},2
MHPGLUT,5 methyltetrahydropteroyltriglutamate homocysteine S methyltransferase,{'H': 4.0},2
KARA2,Ketol-acid reductoisomerase (2-Acetolactate),{'H': 1.0},2
ILEDHr,Isoleucine dehydrogenase,{'H': -1.0},2
ICHORT,Isochorismatase,{'H': -1.0},2
HKM1PP,2 hydroxy 3 keto 5 methylthiopentenyl 1 phosphate phophatase,{'H': 1.0},2
PRATPP,Phosphoribosyl-ATP pyrophosphatase,{'H': 2.0},2
HEMEOS_1,Heme O synthase,{'H': -2.0},2
HDECH,,{'H': -2.0},2
HCYSMT2,Homocysteine Methyltransferase,{'H': -1.0},2
HACOADr,3 hydroxyacyl CoA dehydrogenase,{'H': -1.0},2
MCTC_1,,{'H': -5.0},2
MCCC,Methylcrotonoyl-CoA carboxylase,{'H': -5.0},2
MCBTFUexs,Mycobactin Fe loading reaction  spontaneous,{'H': 3.0},2
MANpts,D-mannose transport via PEP:Pyr PTS,{'H': -2.0},2
ACOAM,Acetate CoA ligase AMP-forming,{'H': -2.0},2
RPI,Ribose-5-phosphate isomerase,{'H': 2.0},2
RHACOAR80,3R  3 Hydroxyacyl CoANADP oxidoreductase,{'H': -4.0},2
REPHACCOAI,"Ring 1,2-epoxyphenylacetyl-CoA isomerase (oxepin-CoA forming)",{'H': -4.0},2
ACPPAT181,Acyl-(acyl carrier protein):phosphate acyltransferase (C18:1),{'H': -2.0},2
ACPPAT180,Acyl-(acyl carrier protein):phosphate acyltransferase (C18:0),{'H': -3.0},2
ACPPAT161,Acyl-(acyl carrier protein):phosphate acyltransferase (C16:1),{'H': -3.0},2
ACPPAT160,Acyl-(acyl carrier protein):phosphate acyltransferase (C16:0),{'H': -2.0},2
ACP1_FMN,Acid phosphatase (FMN),{'H': 2.0},2
RU5PS,Ribulose-5-P Synthetase,{'H': -2.0},2
ACOAD6,Acyl-CoA dehydrogenase (tetradecanoyl-CoA),{'H': -4.0},2
ACOAD4_1,Acyl CoA dehydrogenase  decanoyl CoA,{'H': 4.0},2
ACOAD3,Acyl-CoA dehydrogenase (octanoyl-CoA),{'H': -4.0},2
ACMANApts,N-acetyl-D-mannosamine transport via PTS,{'H': -2.0},2
ACM6PH,N-acetylmuramate 6-phosphate hydrolase,{'H': 3.0},2
PTHPS,6-pyruvoyltetrahydropterin synthase,{'H': -4.0},2
PSUDS,Pseudouridylate synthase,{'H': 2.0},2
PSSA180,Phosphatidylserine syntase (n-C18:0),{'H': -1.0},2
UAPGR,UDP-N-acetylenolpyruvoylglucosamine reductase,{'H': -3.0},2
ACLS_d,2-alpha-Hydroxyethylthiamine diphosphate lipoamide,{'H': 2.0},2
ACLS_a,Acetolactate synthase,{'H': -2.0},2
ACHBS,2-aceto-2-hydroxybutanoate synthase,{'H': -1.0},2
TPI,Triose-phosphate isomerase,{'H': -2.0},2
TRPS1,Tryptophan synthase (indoleglycerol phosphate),{'H': -2.0},2
TRPS3,Tryptophan synthase (indoleglycerol phosphate),{'H': -2.0},2
UAGDP,UDP-N-acetylglucosamine diphosphorylase,{'H': 2.0},2
UAMAS,UDP-N-acetylmuramoyl-L-alanine synthetase,{'H': 3.0},2
PSSA161,Phosphatidylserine syntase (n-C16:1),{'H': -1.0},2
UDCPDP,Undecaprenyl-diphosphatase,{'H': 2.0},2
UDCPDPex,Undecaprenyl-diphosphatase (periplasm),{'H': 2.0},2
UM3PL,UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase,{'H': 3.0},2
UPP3MT_2,Uroporphyrinogen methyltransferase,{'H': -8.0},2
YUMPS,YUMP synthetase,{'H': 2.0},2
2AACLPGT161,2 acyl acyl carrier protein glycerophospho glycerol acyltransferase  n C160,{'H': -1.0},2
2AACLPGT160,2 acyl acyl carrier protein glycerophospho glycerol acyltransferase  n C160,{'H': -2.0},2
SALCHS2FEexs,Salmochelin s2 Fe III sequestration,{'H': 3.0},2
PUNP2,Purine-nucleoside phosphorylase (Deoxyadenosine),{'H': -2.0},2
RECOAH2,3 hydroxyacyl Coa dehydratase   3R  3 hydroxyhexanoyl CoA,{'H': 4.0},2
RBK,Ribokinase,{'H': -2.0},2
RBFSa_1,Riboflavin synthase,{'H': 2.0},2
RBFSa,Riboflavin synthase,{'H': 2.0},2
RBFK,Riboflavin kinase,{'H': -2.0},2
R5PP,Ribose 5-phosphate phosphatase,{'H': 2.0},2
PUNP6,Purine-nucleoside phosphorylase (Deoxyinosine),{'H': -2.0},2
PUNP4,Purine-nucleoside phosphorylase (Deoxyguanosine),{'H': -2.0},2
PGSA181,Phosphatidylglycerol synthase (n-C18:1),{'H': -3.0},2
PTHPS_1,6-pyruvoyltetrahydropterin synthase,{'H': -4.0},2
NOS3,N-omega-Hydroxyarginine NADPH oxygen oxidoreductase,{'H': -4.0},2
NMO,Nitronate Monooxygenase,{'H': -4.0},2
NMNN,NMN nucleosidase,{'H': -2.0},2
MPTG2,Murein polymerizing transglycosylase 2 (three linked units),{'H': 1.0},2
MPTG,Murein polymerizing transglycosylase,{'H': 2.0},2
MN6PP,Mannose 6-phosphate phosphatase,{'H': 2.0},2
PRPPS,Phosphoribosylpyrophosphate synthetase,{'H': 2.0},2
SHGO,S-2-hydroxyglutarate oxidase,{'H': 2.0},2
PSD180,Phosphatidylserine decarboxylase (n-C18:0),{'H': 1.0},2
PSD161,Phosphatidylserine decarboxylase (n-C16:1),{'H': 1.0},2
SPP,Sucrose-phosphate phosphatase,{'H': 2.0},2
SPMS,Spermidine synthase,{'H': -2.0},2
SMIB1,Staphyloferrin B Mediated Iron Acquisition,{'H': 2.0},2
SMIA2abc,Siderophore Mediated Iron Acquisition: Staphyloferrin B transport via ABC,{'H': -2.0},2
SMIA1,Staphyloferrin A Mediated Iron Acquisition,{'H': 2.0},2
SLCYSS,O-acetyl-L-serine sulfhydrylase,{'H': 1.0},2
GLYCYSabc,Gly-Cys ABC transporters,{'H': 1.0},2
SHCHF_2,Sirohydrochlorin ferrochetalase,{'H': 8.0},2
SCYSSL,S-sulfo-L-cysteine sulfite lyase,{'H': 1.0},2
SALCHS4FEexs,Salmochelin S4 Fe III binding spontaneous,{'H': 3.0},2
PLIPA1G161pp,"Phospholipase A1 (phosphatidylglycerol, n-C16:1) (periplasm)",{'H': -1.0},2
PLIPA1G160pp,"Phospholipase A1 (phosphatidylglycerol, n-C16:0) (periplasm)",{'H': 1.0},2
PLCD,PLCD,{'H': 1.0},2
PHHL2,,{'H': 2.0},2
PHACOAOR,Phenylacetyl-CoA oxygenase/reductase,{'H': -4.0},2
AMPEP10,Aminopeptidase,{'H': 1.0},2
AMPEP8,Aminopeptidase,{'H': 1.0},2
AMPEP5,Aminopeptidase,{'H': 1.0},2
AMPEP18,Aminopeptidase,{'H': 1.0},2
DASYN181,CDP-diacylglycerol synthetase (n-C18:1),{'H': 2.0},2
DASYN180,CDP-diacylglycerol synthetase (n-C18:0),{'H': 2.0},2
DASYN161,CDP-diacylglycerol synthetase (n-C16:1),{'H': 2.0},2
AMPEP14,Aminopeptidase,{'H': 1.0},2
AMPEP11,Aminopeptidase,{'H': -1.0},2
AMPTASEGGLU,Aminopeptidase  Gly Glu,{'H': 1.0},2
AMANK_1,N-acetyl-D-mannosamine kinase,{'H': -2.0},2
AMANK,N-acetyl-D-mannosamine kinase,{'H': -2.0},2
AMANAPEr,N-acetylmannosamine 6-phosphate epimerase,{'H': 2.0},2
AIRCr,Phosphoribosylaminoimidazole carboxylase,{'H': -1.0},2
AIRC1,Phosphoribosylaminoimidazole carboxylase  ATP dependent,{'H': -1.0},2
AHSERL4,Cysteine synthase  Thiosulfate,{'H': 2.0},2
AHMMPS_1,4 amino 5 hydroxymethyl 2 methylpyrimidine synthetase,{'H': 2.0},2
AH6PI,Arabino-3-hexulose-6-P Isomerase,{'H': 2.0},2
ATPPRT,ATP phosphoribosyltransferase,{'H': -6.0},2
SUCBZS,O-succinylbenzoate-CoA synthase,{'H': 2.0},2
CHORM,Chorismate mutase,{'H': -2.0},2
CELBpts,Cellobiose transport via PEPPyr PTS,{'H': -2.0},2
CDGUNPD,"3,5-cyclic-nucleotide phosphodiesterase",{'H': 2.0},2
