parameter,S1,S1_conf,ST,ST_conf
glucose_uptake,-4.8571381363959254e-14,1.0183405891271673e-13,3.977733006893265e-25,3.01425570146028e-25
o2_uptake,1.011068596948872,0.2065732798324731,1.007869556995069,0.1830352367293472
nh4_uptake,8.98021968050535e-05,0.0003876774911172275,2.7823513123847984e-06,3.262529141270765e-06
