carbon_source,flux_minimum,carbon_yield_minimum,mass_yield_minimum,flux_maximum,carbon_yield_maximum,mass_yield_maximum,EX_glc__D_e,EX_o2_e
"EX_23camp_e, EX_23cgmp_e, EX_3mb_e, EX_4abut_e, EX_arg__L_e, EX_asn__L_e, EX_bz_e, EX_cit_e, EX_cytd_e, EX_dcyt_e, EX_fe3pyovd_kt_e, EX_fol_e, EX_gam_e, EX_glu__L_e, EX_glyc_e, EX_gthrd_e, EX_his__L_e, EX_ile__L_e, EX_istfrnA_e, EX_lys__L_e, EX_malt_e, EX_mmet_e, EX_nmn_e, EX_phe__L_e, EX_pnto__R_e, EX_pro__L_e, EX_ribflv_e, EX_ser__L_e, EX_thm_e, EX_thr__L_e, EX_trp__L_e, EX_tyr__L_e, EX_val__L_e",0.0,0.0,,0.1153266269474912,0.09479131309010705,,-20.0,-9.473684210526317
"EX_23camp_e, EX_23cgmp_e, EX_3mb_e, EX_4abut_e, EX_arg__L_e, EX_asn__L_e, EX_bz_e, EX_cit_e, EX_cytd_e, EX_dcyt_e, EX_fe3pyovd_kt_e, EX_fol_e, EX_gam_e, EX_glu__L_e, EX_glyc_e, EX_gthrd_e, EX_his__L_e, EX_ile__L_e, EX_istfrnA_e, EX_lys__L_e, EX_malt_e, EX_mmet_e, EX_nmn_e, EX_phe__L_e, EX_pnto__R_e, EX_pro__L_e, EX_ribflv_e, EX_ser__L_e, EX_thm_e, EX_thr__L_e, EX_trp__L_e, EX_tyr__L_e, EX_val__L_e",0.0,0.0,,0.11532662694749013,0.09657318437587739,,-20.0,-8.421052631578949
"EX_23camp_e, EX_23cgmp_e, EX_3mb_e, EX_4abut_e, EX_arg__L_e, EX_asn__L_e, EX_bz_e, EX_cit_e, EX_cytd_e, EX_dcyt_e, EX_fe3pyovd_kt_e, EX_fol_e, EX_gam_e, EX_glu__L_e, EX_glyc_e, EX_gthrd_e, EX_his__L_e, EX_ile__L_e, EX_istfrnA_e, EX_lys__L_e, EX_malt_e, EX_mmet_e, EX_nmn_e, EX_phe__L_e, EX_pnto__R_e, EX_pro__L_e, EX_ribflv_e, EX_ser__L_e, EX_thm_e, EX_thr__L_e, EX_trp__L_e, EX_tyr__L_e, EX_val__L_e",0.0,0.0,,0.11532662694749013,0.09842332970388463,,-20.0,-7.368421052631579
"EX_23camp_e, EX_23cgmp_e, EX_3mb_e, EX_4abut_e, EX_arg__L_e, EX_asn__L_e, EX_bz_e, EX_cit_e, EX_cytd_e, EX_dcyt_e, EX_fe3pyovd_kt_e, EX_fol_e, EX_gam_e, EX_glu__L_e, EX_glyc_e, EX_gthrd_e, EX_his__L_e, EX_ile__L_e, EX_istfrnA_e, EX_lys__L_e, EX_malt_e, EX_mmet_e, EX_nmn_e, EX_phe__L_e, EX_pnto__R_e, EX_pro__L_e, EX_ribflv_e, EX_ser__L_e, EX_thm_e, EX_thr__L_e, EX_trp__L_e, EX_tyr__L_e, EX_val__L_e",0.0,0.0,,0.11532662694749013,0.09004389567111731,,-20.0,-6.315789473684211
"EX_23camp_e, EX_23cgmp_e, EX_3mb_e, EX_4abut_e, EX_arg__L_e, EX_asn__L_e, EX_bz_e, EX_cit_e, EX_cytd_e, EX_dcyt_e, EX_fe3pyovd_kt_e, EX_fol_e, EX_gam_e, EX_glu__L_e, EX_glyc_e, EX_gthrd_e, EX_his__L_e, EX_ile__L_e, EX_istfrnA_e, EX_lys__L_e, EX_malt_e, EX_mmet_e, EX_nmn_e, EX_phe__L_e, EX_pnto__R_e, EX_pro__L_e, EX_ribflv_e, EX_ser__L_e, EX_thm_e, EX_thr__L_e, EX_trp__L_e, EX_tyr__L_e, EX_val__L_e",0.0,0.0,,0.11532662694749136,0.09236263589602156,,-20.0,-5.2631578947368425
"EX_23camp_e, EX_23cgmp_e, EX_3mb_e, EX_4abut_e, EX_arg__L_e, EX_asn__L_e, EX_bz_e, EX_cit_e, EX_cytd_e, EX_dcyt_e, EX_fe3pyovd_kt_e, EX_fol_e, EX_gam_e, EX_glu__L_e, EX_glyc_e, EX_gthrd_e, EX_his__L_e, EX_ile__L_e, EX_istfrnA_e, EX_lys__L_e, EX_malt_e, EX_mmet_e, EX_nmn_e, EX_phe__L_e, EX_pnto__R_e, EX_pro__L_e, EX_ribflv_e, EX_ser__L_e, EX_thm_e, EX_thr__L_e, EX_trp__L_e, EX_tyr__L_e, EX_val__L_e",0.0,0.0,,0.11142694683341903,0.0889375637884162,,-20.0,-4.210526315789474
"EX_23camp_e, EX_23cgmp_e, EX_3mb_e, EX_4abut_e, EX_arg__L_e, EX_asn__L_e, EX_bz_e, EX_cit_e, EX_cytd_e, EX_dcyt_e, EX_fe3pyovd_kt_e, EX_fol_e, EX_gam_e, EX_glu__L_e, EX_glyc_e, EX_gthrd_e, EX_his__L_e, EX_ile__L_e, EX_istfrnA_e, EX_lys__L_e, EX_malt_e, EX_mmet_e, EX_nmn_e, EX_phe__L_e, EX_pnto__R_e, EX_pro__L_e, EX_ribflv_e, EX_ser__L_e, EX_thm_e, EX_thr__L_e, EX_trp__L_e, EX_tyr__L_e, EX_val__L_e",0.0,0.0,,0.10526684805057829,0.08285922111505874,,-20.0,-3.157894736842106
"EX_23camp_e, EX_23cgmp_e, EX_3mb_e, EX_4abut_e, EX_arg__L_e, EX_asn__L_e, EX_bz_e, EX_cit_e, EX_cytd_e, EX_dcyt_e, EX_fe3pyovd_kt_e, EX_fol_e, EX_gam_e, EX_glu__L_e, EX_glyc_e, EX_gthrd_e, EX_his__L_e, EX_ile__L_e, EX_istfrnA_e, EX_lys__L_e, EX_malt_e, EX_mmet_e, EX_nmn_e, EX_phe__L_e, EX_pnto__R_e, EX_pro__L_e, EX_ribflv_e, EX_ser__L_e, EX_thm_e, EX_thr__L_e, EX_trp__L_e, EX_tyr__L_e, EX_val__L_e",0.0,0.0,,0.0991067492677376,0.07693931410746425,,-20.0,-2.1052631578947363
"EX_23camp_e, EX_23cgmp_e, EX_3mb_e, EX_4abut_e, EX_arg__L_e, EX_asn__L_e, EX_bz_e, EX_cit_e, EX_cytd_e, EX_dcyt_e, EX_fe3pyovd_kt_e, EX_fol_e, EX_gam_e, EX_glu__L_e, EX_glyc_e, EX_gthrd_e, EX_his__L_e, EX_ile__L_e, EX_istfrnA_e, EX_lys__L_e, EX_malt_e, EX_mmet_e, EX_nmn_e, EX_phe__L_e, EX_pnto__R_e, EX_pro__L_e, EX_ribflv_e, EX_ser__L_e, EX_thm_e, EX_thr__L_e, EX_trp__L_e, EX_tyr__L_e, EX_val__L_e",0.0,0.0,,0.09294665048489657,0.07118687269111706,,-20.0,-1.05263157894737
"EX_23camp_e, EX_23cgmp_e, EX_3mb_e, EX_4abut_e, EX_arg__L_e, EX_asn__L_e, EX_bz_e, EX_cit_e, EX_cytd_e, EX_dcyt_e, EX_fe3pyovd_kt_e, EX_fol_e, EX_gam_e, EX_glu__L_e, EX_glyc_e, EX_gthrd_e, EX_his__L_e, EX_ile__L_e, EX_istfrnA_e, EX_lys__L_e, EX_malt_e, EX_mmet_e, EX_nmn_e, EX_phe__L_e, EX_pnto__R_e, EX_pro__L_e, EX_ribflv_e, EX_ser__L_e, EX_thm_e, EX_thr__L_e, EX_trp__L_e, EX_tyr__L_e, EX_val__L_e",0.0,0.0,,0.08484193701133212,0.06453305398494985,,-20.0,0.0
