reaction_id,reaction_name,distance_from_PHB,flux,abs_flux,capacity_bound,flux_to_capacity_ratio,bottleneck_score
PGI,Glucose-6-phosphate isomerase,3,-1.5383617162515686,1.5383617162515686,1000.0,0.0015383617162515685,0.00011919018402811419
OCOAT2r,3-oxoacid CoA-transferase (Succinyl-CoA: 3-methylbutanoate),2,1.5009076277246056,1.5009076277246056,1000.0,0.0015009076277246057,0.00011345705144189487
3MBtex,3-methylbutanoic acid transport via diffusion (extracellular to periplasm),3,1.5009076277246054,1.5009076277246054,1000.0,0.0015009076277246055,0.00011345705144189483
3MBt2pp,H+/Isovalerate symport (periplasm),2,1.5009076277246054,1.5009076277246054,1000.0,0.0015009076277246055,0.00011345705144189483
LLEUDr,L leucine dehydrogenase,2,-1.4965786298380923,1.4965786298380923,1000.0,0.0014965786298380924,0.00011280351751532192
OIVD1r,2-oxoisovalerate dehydrogenase (acylating; 4-methyl-2-oxopentaoate),1,-1.4965786298380894,1.4965786298380894,1000.0,0.0014965786298380894,0.00011280351751532146
LEUtex,L-leucine transport via diffusion (extracellular to periplasm),3,-1.315990875503826,1.315990875503826,1000.0,0.001315990875503826,8.722265848075915e-05
LEUt3pp,L-leucine transport out via proton antiport (periplasm),2,1.315990875503826,1.315990875503826,1000.0,0.001315990875503826,8.722265848075915e-05
MDH,Malate dehydrogenase,2,1.290370099376627,1.290370099376627,1000.0,0.001290370099376627,8.38594761763296e-05
FUM,Fumarase,2,1.2903700993766267,1.2903700993766267,1000.0,0.0012903700993766268,8.385947617632959e-05
OCOAT1,3-oxoacid CoA-transferase (Succinyl-CoA: acetoacetate),2,-1.156602183735881,1.156602183735881,1000.0,0.0011566021837358812,6.737388318523886e-05
ACACCT,Acetyl-CoA:acetoacetyl-CoA transferase,2,1.1566021837358809,1.1566021837358809,1000.0,0.001156602183735881,6.737388318523883e-05
GLUDxi,Glutamate dehydrogenase  NAD,2,-0.9531398382986722,0.9531398382986722,1000.0,0.0009531398382986722,4.575481540186629e-05
