reaction_1,reaction_2,pearson_r,coupling_type
FACOAL160_ISO,PTA2,0.9738775403158046,positive (co-directional)
KAS3,PTA2,0.9738775403158046,positive (co-directional)
Growth,PTA2,0.9738775400560745,positive (co-directional)
G3POA_BS,PTA2,0.9738775399352678,positive (co-directional)
AGPATr_BS,PTA2,0.9738775399352678,positive (co-directional)
KAS12,PTA2,0.9738775398258186,positive (co-directional)
KAS4,PTA2,0.9738775398258186,positive (co-directional)
FACOAL150_anteiso,PTA2,0.9738775398258186,positive (co-directional)
FACOAL170_anteiso,PTA2,0.9738775398258186,positive (co-directional)
FACOAL170_ISO,PTA2,0.9738775397458086,positive (co-directional)
KAS11,PTA2,0.9738775397458086,positive (co-directional)
ACS2,FACOAL150_ISO,0.9727461134430536,positive (co-directional)
ACS2,FACOAL160_ISO,0.9727461134430536,positive (co-directional)
ACS2,KAS3,0.9727461134430536,positive (co-directional)
ACS2,KAS6,0.9727461134430536,positive (co-directional)
ACS2,Growth,0.9727461132711017,positive (co-directional)
ACS2,G3POA_BS,0.9727461129220444,positive (co-directional)
ACS2,AGPATr_BS,0.9727461129220444,positive (co-directional)
ACS2,FACOAL150_anteiso,0.9727461128010635,positive (co-directional)
ACS2,KAS4,0.9727461128010635,positive (co-directional)
ACS2,KAS12,0.9727461128010635,positive (co-directional)
ACS2,FACOAL170_anteiso,0.9727461128010635,positive (co-directional)
ACS2,KAS11,0.9727461127684426,positive (co-directional)
ACS2,FACOAL170_ISO,0.9727461127684426,positive (co-directional)
13PPDH,13PPDH2,-0.9662647138074703,negative (anti-directional)
ACS2,SUCOAS,-0.9660682053977678,negative (anti-directional)
PTA2,SUCOAS,-0.9633636821850048,negative (anti-directional)
FACOAE140,FACOAL140,0.9614863090274033,positive (co-directional)
FACOAE161,FACOAL161t2pp,0.9454640346410645,positive (co-directional)
FACOAE160,FACOAL160,0.9288174254601257,positive (co-directional)
3OXCOAT,OXDHCOAT,0.9226747334198718,positive (co-directional)
OXDHCOAT,PACCOAL,0.9226747334198718,positive (co-directional)
ACS2,PTAr,-0.9062844483189432,negative (anti-directional)
PTAr,SUCOAS,0.9055540803653701,positive (co-directional)
ACPS1_1,DPCOAK,0.9020372502436944,positive (co-directional)
