medium,glc_uptake_bound,nh4_uptake_bound,o2_uptake_bound,max_growth_rate_1_h,growth_coupled_growth_1_h,growth_coupled_PHB_flux
"Aerobic, N-replete",20.0,20.0,20.0,0.44537015293376425,0.40083313764038786,3.937981513908689
"Aerobic, N-limited",20.0,1.0,20.0,0.44537015293376386,0.40083313764038747,3.937981513908628
"Microaerobic, N-replete",20.0,20.0,2.0,0.42198916804862174,0.3797902512437596,3.3163658457216103
"Anaerobic, N-replete",20.0,20.0,0.0,0.39353789738614153,0.3541841076475274,2.81901633733503
"Carbon-excess feed, N-limited",40.0,1.0,20.0,0.4453701529337636,0.40083313764038725,3.937981513908673
"Carbon-limited, N-replete",5.0,20.0,20.0,0.445370152933764,0.4008331376403876,3.937981513908699
