glucose,nitrogen,growth_rate_1_h,PHB_flux
0.0,0.0,0.3721667012325891,3.3138386185768978
1.4285714285714286,0.0,0.3721667012325888,3.3138386185769346
2.857142857142857,0.0,0.3721667012325886,3.3138386185770057
4.285714285714286,0.0,0.37216670123258866,3.3138386185770514
5.714285714285714,0.0,0.3721667012325891,3.3138386185768978
7.142857142857143,0.0,0.3721667012325888,3.3138386185769346
8.571428571428571,0.0,0.3721667012325886,3.3138386185770057
10.0,0.0,0.37216670123258866,3.3138386185770514
11.428571428571429,0.0,0.3721667012325891,3.3138386185768978
12.857142857142858,0.0,0.3721667012325888,3.3138386185769346
14.285714285714286,0.0,0.3721667012325886,3.3138386185770057
15.714285714285715,0.0,0.37216670123258866,3.3138386185770514
17.142857142857142,0.0,0.3721667012325891,3.3138386185768978
18.571428571428573,0.0,0.3721667012325888,3.3138386185769346
20.0,0.0,0.3721667012325886,3.3138386185770057
0.0,0.7142857142857143,0.37216670123258866,3.3138386185770514
1.4285714285714286,0.7142857142857143,0.3721667012325891,3.3138386185768978
2.857142857142857,0.7142857142857143,0.3721667012325888,3.3138386185769346
4.285714285714286,0.7142857142857143,0.3721667012325886,3.3138386185770057
5.714285714285714,0.7142857142857143,0.37216670123258866,3.3138386185770514
7.142857142857143,0.7142857142857143,0.3721667012325891,3.3138386185768978
8.571428571428571,0.7142857142857143,0.3721667012325888,3.3138386185769346
10.0,0.7142857142857143,0.3721667012325886,3.3138386185770057
11.428571428571429,0.7142857142857143,0.37216670123258866,3.3138386185770514
12.857142857142858,0.7142857142857143,0.3721667012325891,3.3138386185768978
14.285714285714286,0.7142857142857143,0.3721667012325888,3.3138386185769346
15.714285714285715,0.7142857142857143,0.3721667012325886,3.3138386185770057
17.142857142857142,0.7142857142857143,0.37216670123258866,3.3138386185770514
18.571428571428573,0.7142857142857143,0.3721667012325891,3.3138386185768978
20.0,0.7142857142857143,0.3721667012325888,3.3138386185769346
0.0,1.4285714285714286,0.3721667012325886,3.3138386185770057
1.4285714285714286,1.4285714285714286,0.37216670123258866,3.3138386185770514
2.857142857142857,1.4285714285714286,0.3721667012325891,3.3138386185768978
