knockouts,n_knockouts,max_growth,min_PHB_at_max_growth
AACOAR_syn,1,0.4453701529337635,0.0
12PPDRDH,1,0.44537015293376375,0.0
13PPDH,1,0.44537015293376375,0.0
13PPDH2,1,0.44537015293376375,0.0
13PPDH2_1,1,0.44537015293376375,0.0
23CAMPtex,1,0.44537015293376375,0.0
23CCMPtex,1,0.4453701529337627,0.0
23CGMPtex,1,0.34461914158991996,0.0
23CUMPtex,1,0.44537015293376503,0.0
23PDE2pp,1,0.44537015293376353,0.0
XYLt2,1,0.44537015293376375,0.0
XYLabcpp,1,0.44537015293376375,0.0
XYLabc,1,0.44537015293376375,0.0
XYLK,1,0.44537015293376375,0.0
XYLI2,1,0.4453701529337636,0.0
XYLI1,1,0.4453701529337636,0.0
XTSNH,1,0.4453701529337636,0.0
XPPT,1,0.4453701529337636,0.0
XANt2,1,0.4453701529337636,0.0
VPAMTr,1,0.4453701529337636,0.0
VNDH_2,1,0.4453701529337636,0.0
VECOAH,1,0.4453701529337636,0.0
VALtex,1,0.4453701529337636,0.0
VALt3pp,1,0.4453701529337636,0.0
VALt2rpp,1,0.4453701529337636,0.0
VALt2r,1,0.4453701529337645,0.0
3NTD4pp,1,0.4453701529337636,0.0
3NTD2pp,1,0.4453701529337636,0.0
3MBtex,1,0.44537015293376436,0.0
3MBt4pp,1,0.44537015293376425,0.0
3MBt2pp,1,0.4453701529337622,0.0
3GMPtex_1,1,0.17156762868766082,0.0
3CMPt6,1,0.44537015293376375,0.0
3AMPt6,1,0.44537015293376375,0.0
34HPPOR,1,0.44537015293376375,0.0
2S6HCCi,1,0.44537015293376375,0.0
2PGLYCt6,1,0.44537015293376375,0.0
2MAHMP,1,0.44537015293376375,0.0
2INSD,1,0.44537015293376375,0.0
2HXMPt6,1,0.44537015293376375,0.0
2AGPG181tipp,1,0.44537015293376375,0.0
2AGPG180tipp,1,0.44537015293376375,0.0
4HPROLTabcpp,1,0.44537015293376414,0.0
4HPROE,1,0.44537015293376414,0.0
4HPRODCtex,1,0.44537015293376414,0.0
4HPRODCabcpp,1,0.44537015293376414,0.0
4HBAt,1,0.44537015293376414,0.0
4HALDD,1,0.44537015293376414,0.0
4ABUTD,1,0.44537015293376414,0.0
3UMPt6,1,0.44537015293376414,0.0
3PEPTabcpp,1,0.44537015293376414,0.0
3OXCOAT,1,0.44537015293376736,0.0
3NUCLE4,1,0.17156762868649247,0.0
3NUCLE3,1,0.4453701529337633,0.0
3NUCLE2,1,0.4453701529337633,0.0
3NUCLE1,1,0.445370152933764,0.0
3NTD9pp,1,0.34461914158992,0.0
3NTD7pp,1,0.4453701529337636,0.0
AACPS5,1,0.44537015293376386,0.0
AACPS4,1,0.44537015293376386,0.0
AACPS3,1,0.44537015293376386,0.0
AACLAM,1,0.44537015293376386,0.0
AABTN,1,0.44537015293376386,0.0
A6PAG2,1,0.44537015293376336,0.0
A6PAG,1,0.3420073161416764,0.0
6PHBG_2,1,0.44537015293376414,0.0
5DKGR,1,0.44537015293376414,0.0
5DGLCNR,1,0.44537015293376414,0.0
4PEPTabcpp,1,0.44537015293376414,0.0
4PCP,1,0.44537015293376414,0.0
4HTHRS_1,1,0.44537015293376414,0.0
4HTHRA,1,0.44537015293376414,0.0
4HPRO_LT_Et,1,0.44537015293376414,0.0
4HPROLTtex,1,0.44537015293376414,0.0
ACACT6r_1,1,0.4453301418985485,0.0
ACACT5r_1,1,0.44533014189855014,0.0
ACACT5r,1,0.44537015293376375,0.0
ACACT4r,1,0.4453301418985499,0.0
ACACT3r,1,0.4453301418985501,0.0
ACACT2r,1,0.4453301418985504,0.0
ACACT1r,1,0.44531167769150437,0.0
ACACCT,1,0.4453701529337624,0.0
ABUTt2r,1,0.44425646543136166,0.0
ABUTD,1,0.4453701529337643,0.0
ABTt_1,1,0.44537015293376314,0.0
ABTA,1,0.4442564654313613,0.0
ABG4t2,1,0.44537015293376386,0.0
AB6PGH,1,0.44537015293376386,0.0
AACPS9,1,0.44537015293376386,0.0
AACPS6,1,0.44537015293376386,0.0
ACLS,1,0.44537015293376386,0.0
ACLDC,1,0.44537015293376386,0.0
ACKr,1,0.44537015293376414,0.0
ACHBS,1,0.44537015293376403,0.0
ACGS,1,0.44537015293376403,0.0
ACGK,1,0.44537015293376403,0.0
ACGAtex,1,0.44537015293376403,0.0
ACGAptspp,1,0.44537015293376403,0.0
ACGApts,1,0.44537015293376403,0.0
ACGAMK,1,0.4453701529337637,0.0
ACALDtpp,1,0.445370152933764,0.0
ACALDt,1,0.4453701529337651,0.0
ACACtex,1,0.44537015293376486,0.0
ACACt2pp,1,0.44537015293376486,0.0
ACACT8r,1,0.4453701529337644,0.0
ACACT7r,1,0.4451240451289123,0.0
ACOAM,1,0.44537015293376403,0.0
ACOADH2,1,0.4453701529337641,0.0
ACOAD7,1,0.4452163036748031,0.0
ACOAD6,1,0.4453301418985498,0.0
ACOAD5_1,1,0.44533014189854997,0.0
ACOAD5,1,0.44537015293376314,0.0
ACOAD4_1,1,0.4453301418985496,0.0
ACOAD3,1,0.44533014189854997,0.0
ACOAD20,1,0.44537015293376353,0.0
ACOAD2,1,0.4453301418985501,0.0
ACOAD1fr,1,0.4453701529337641,0.0
ACOAD1,1,0.4453701529337639,0.0
ACMANApts,1,0.44537015293376386,0.0
ACM6PH,1,0.44537015293376386,0.0
ACLS_d,1,0.44537015293376386,0.0
ACLS_a,1,0.44537015293376386,0.0
ACPS1,1,0.4453701529337639,0.0
ACPS,1,0.4453701529337639,0.0
ACPPAT181,1,0.4453701529337639,0.0
ACPPAT180,1,0.4453701529337639,0.0
ACPPAT161,1,0.4453701529337639,0.0
ACPPAT160,1,0.4453701529337639,0.0
ACP1_FMN,1,0.4453701529337639,0.0
ACOXT,1,0.4453701529337639,0.0
ACOTA,1,0.4453701529337639,0.0
ACONTb,1,0.4453701529337639,0.0
ACONTa,1,0.4453701529337641,0.0
ACONT,1,0.4453701529337639,0.0
ACONCtupp,1,0.4453701529337639,0.0
ACONCtex,1,0.4453701529337639,0.0
ACONCt4pp,1,0.4453701529337639,0.0
ACODA,1,0.4453701529337639,0.0
ADADir,1,0.4453701529337641,0.0
ACtex,1,0.4453701529337641,0.0
ACt4pp,1,0.4453701529337641,0.0
ACt2rpp,1,0.4453701529337641,0.0
ACTNabc1,1,0.4453701529337641,0.0
ACTNabc,1,0.4453701529337641,0.0
ACTDa,1,0.4453701529337641,0.0
ACTD_1,1,0.4453701529337641,0.0
ACTD2,1,0.4453701529337641,0.0
ACTD,1,0.4453701529337641,0.0
ACS_1,1,0.4453701529337641,0.0
ACSERHS,1,0.4453701529337641,0.0
ACS2,1,0.4453701529337612,0.0
ACS,1,0.4453701529337639,0.0
ACPpds,1,0.4453701529337639,0.0
ACPS1_1,1,0.4453701529337639,0.0
ADPT,1,0.4453701529337634,0.0
ADPRDP_1,1,0.4453701529337635,0.0
ADPRDP,1,0.4453701529337635,0.0
ADPGLC,1,0.4453701529337635,0.0
ADPDA,1,0.4453701529337635,0.0
ADNt2pp,1,0.4453701529337641,0.0
ADNUC,1,0.4453701529337641,0.0
ADNK1,1,0.4453701529337641,0.0
ADNCYC,1,0.4453701529337641,0.0
ADMDC,1,0.4453701529337641,0.0
ADK2,1,0.4453701529337627,0.0
ADK1,1,0.43570723260737165,0.0
ADD,1,0.4453701529337641,0.0
ADCS,1,0.4453701529337641,0.0
ADCL,1,0.4453701529337641,0.0
ADAPAT,1,0.4453701529337641,0.0
AGMH,1,0.44537015293376403,0.0
AGM4Pt2pp,1,0.44537015293376403,0.0
AGM4PH,1,0.44537015293376403,0.0
AGM4PCP,1,0.44537015293376403,0.0
AGM4PApp,1,0.44537015293376403,0.0
AGM3PH,1,0.44537015293376403,0.0
AGM3PApp,1,0.44537015293376403,0.0
AGDC,1,0.44537015293376403,0.0
AEPtex,1,0.44537015293376403,0.0
AEPabcpp,1,0.44537015293376403,0.0
AEPPYRTA,1,0.44537015293376403,0.0
ADtr,1,0.44537015293376403,0.0
ADSS,1,0.44537015293376403,0.0
ADSL2r,1,0.44537015293376403,0.0
ADSL1r,1,0.44537015293376403,0.0
ADSK,1,0.44537015293376403,0.0
AI2tex,1,0.4453701529337684,0.0
AHSERL4,1,0.4453701529337684,0.0
AHSERL2,1,0.4453701529337641,0.0
AHMMPS_1,1,0.44537015293376453,0.0
AHCi,1,0.4453697040521494,0.0
AHCYSNS,1,0.4453701529337638,0.0
AH6PI,1,0.4309717903017395,0.0
AGPR,1,0.44537015293376464,0.0
AGPAT181,1,0.44537015293376403,0.0
AGPAT180,1,0.44537015293376403,0.0
AGPAT161,1,0.44537015293376403,0.0
AGPAT160,1,0.44537015293376403,0.0
AGMtex,1,0.44537015293376403,0.0
AGMt2pp,1,0.44537015293376403,0.0
AGMT,1,0.44537015293376403,0.0
AGMPTRCtpp,1,0.44537015293376403,0.0
ALALEUt,1,0.4453701529337635,0.0
ALALEUabcpp,1,0.4453701529337635,0.0
ALAHIStr,1,0.4453701529337635,0.0
ALAHIStex,1,0.4453701529337635,0.0
ALAHISabcpp,1,0.4453701529337635,0.0
ALAGLYtr,1,0.4453701529337635,0.0
ALAGLUabcpp,1,0.4453701529337635,0.0
ALAGLNtr,1,0.4453701529337635,0.0
ALAD_L,1,0.44537015293376375,0.0
ALAALAabcpp,1,0.4453701529337684,0.0
AKP1,1,0.4453701529337684,0.0
AKGDH,1,0.4453701529337684,0.0
AIRCr,1,0.4453701529337684,0.0
AIRC1,1,0.4453701529337684,0.0
AICART,1,0.4453701529337684,0.0
AI2tpp,1,0.4453701529337684,0.0
ALAt4,1,0.4453701529337634,0.0
ALAt2r,1,0.4453701529337634,0.0
ALAt2pp,1,0.4453701529337634,0.0
ALAabcpp,1,0.4453701529337634,0.0
ALAabc,1,0.4453701529337634,0.0
ALATRPtex,1,0.4453701529337634,0.0
ALATRPabcpp,1,0.4453701529337634,0.0
ALATHRtr,1,0.4453701529337634,0.0
ALATHRtex,1,0.4453701529337634,0.0
ALATHRabcpp,1,0.4453701529337634,0.0
ALATA_L2,1,0.4453701529337634,0.0
ALATA_L,1,0.4453701529337634,0.0
ALATA_D2,1,0.4453701529337634,0.0
ALATA_D,1,0.4453701529337635,0.0
ALAR,1,0.4453701529337635,0.0
ALALEUtex,1,0.4453701529337635,0.0
ALDD3y,1,0.44537015293376536,0.0
ALDD31_1,1,0.44537015293376536,0.0
ALDD3,1,0.44537015293376536,0.0
ALDD2y,1,0.44537015293376536,0.0
ALDD2x,1,0.44537015293376536,0.0
ALDD20y,1,0.44537015293376536,0.0
ALDD20x,1,0.44537015293376375,0.0
ALDD19xr,1,0.4453701529337638,0.0
ALDD1,1,0.4453701529337638,0.0
ALCD2y,1,0.4453701529337638,0.0
ALCD2x,1,0.44537015293376453,0.0
ALCD2ir,1,0.44537015293376464,0.0
ALCD19y,1,0.4453701529337647,0.0
ALCD19,1,0.44537015293376403,0.0
ALAtpp,1,0.3612566411662158,0.0
ALAtex,1,0.36125664116621525,0.0
AMID4,1,0.44537015293376536,0.0
AMANK_1,1,0.44537015293376536,0.0
AMANK,1,0.44537015293376536,0.0
AMANAPEr,1,0.44537015293376536,0.0
AM4PA,1,0.44537015293376536,0.0
AM3PA,1,0.44537015293376536,0.0
ALTRH,1,0.44537015293376536,0.0
ALR4x,1,0.44537015293376536,0.0
ALR3,1,0.44537015293376536,0.0
ALR2,1,0.44537015293376536,0.0
ALPHNH,1,0.44537015293376536,0.0
ALLTN,1,0.44537015293376536,0.0
ALLTAMH,1,0.44537015293376536,0.0
ALKP,1,0.44537015293376536,0.0
ALDD6,1,0.44537015293376536,0.0
ALDD4,1,0.44537015293376536,0.0
AMPEP3,1,0.44537015293376436,0.0
AMPEP2,1,0.44537015293376436,0.0
AMPEP18,1,0.44537015293376436,0.0
AMPEP17,1,0.44537015293376436,0.0
AMPEP16,1,0.44537015293376436,0.0
AMPEP15,1,0.44537015293376436,0.0
AMPEP14,1,0.44537015293376436,0.0
AMPEP13,1,0.44537015293376436,0.0
AMPEP12,1,0.44537015293376436,0.0
AMPEP11,1,0.44537015293376436,0.0
AMPEP10,1,0.44537015293376436,0.0
AMPEP1,1,0.44537015293376436,0.0
AMPD2,1,0.44537015293376436,0.0
AMMQT8_2,1,0.44537015293376536,0.0
AMMQLT8,1,0.44537015293376536,0.0
AMID_1,1,0.44537015293376536,0.0
AMPTASEHG,1,0.44537015293376436,0.0
AMPTASEGS,1,0.44537015293376436,0.0
AMPTASEGM,1,0.44537015293376436,0.0
AMPTASEGGLU,1,0.44537015293376436,0.0
AMPTASEGGLN,1,0.44537015293376436,0.0
AMPTASECG,1,0.44537015293376436,0.0
AMPTASEATRP,1,0.44537015293376436,0.0
AMPTASEAT,1,0.44537015293376436,0.0
AMPTASEAL,1,0.44537015293376436,0.0
AMPTASEAH,1,0.44537015293376436,0.0
AMPEP9,1,0.44537015293376436,0.0
AMPEP8,1,0.44537015293376436,0.0
AMPEP7,1,0.44537015293376436,0.0
