glucose_uptake,o2_uptake,nh4_uptake,PHB_flux_output
0.234375,8.30078125,2.9296875,3.6085977148173294
3.828125,8.30078125,2.9296875,3.608597714817278
0.234375,22.55859375,2.9296875,3.9379815139074883
0.234375,8.30078125,6.7578125,3.6085977148172925
0.234375,22.55859375,6.7578125,3.937981513908776
3.828125,8.30078125,6.7578125,3.6085977148172628
3.828125,22.55859375,2.9296875,3.9379815139085204
3.828125,22.55859375,6.7578125,3.937981513908678
10.234375,20.80078125,7.9296875,3.937981513908679
13.828125,20.80078125,7.9296875,3.9379815139086722
10.234375,10.05859375,7.9296875,3.920484439447928
10.234375,20.80078125,1.7578125,3.937981513908647
10.234375,10.05859375,1.7578125,3.9204844394480856
13.828125,20.80078125,1.7578125,3.9379815139087073
13.828125,10.05859375,7.9296875,3.9204844394479634
13.828125,10.05859375,1.7578125,3.920484439449124
15.234375,2.05078125,0.4296875,3.3138013346580175
8.828125,2.05078125,0.4296875,3.313801334658047
15.234375,3.80859375,0.4296875,3.192571948816086
15.234375,2.05078125,4.2578125,3.3176175528632936
15.234375,3.80859375,4.2578125,3.1923908250165374
8.828125,2.05078125,4.2578125,3.317617552863255
8.828125,3.80859375,0.4296875,3.192571948816171
8.828125,3.80859375,4.2578125,3.1923908250164637
5.234375,14.55078125,5.4296875,3.9379815139086127
18.828125,14.55078125,5.4296875,3.937981513908645
5.234375,16.30859375,5.4296875,3.9379815139088743
5.234375,14.55078125,9.2578125,3.9379815139086713
5.234375,16.30859375,9.2578125,3.937981513908659
18.828125,14.55078125,9.2578125,3.937981513908724
18.828125,16.30859375,5.4296875,3.937981513908616
18.828125,16.30859375,9.2578125,3.9379815139087864
7.734375,5.17578125,9.1796875,3.0084192254945696
16.328125,5.17578125,9.1796875,3.0084192254945976
7.734375,13.18359375,9.1796875,3.9379815139088055
7.734375,5.17578125,5.5078125,3.0084192254946944
7.734375,13.18359375,5.5078125,3.93798151390875
16.328125,5.17578125,5.5078125,3.0084192254941264
16.328125,13.18359375,9.1796875,3.937981513908689
16.328125,13.18359375,5.5078125,3.937981513908735
17.734375,17.67578125,4.1796875,3.9379815139088246
6.328125,17.67578125,4.1796875,3.9379815139087837
17.734375,0.68359375,4.1796875,3.1474506842986236
17.734375,17.67578125,0.5078125,3.9379815139088765
17.734375,0.68359375,0.5078125,3.0829728081835617
6.328125,17.67578125,0.5078125,3.9379815139086864
6.328125,0.68359375,4.1796875,3.147450684298934
6.328125,0.68359375,0.5078125,3.082972808183653
12.734375,11.42578125,6.6796875,3.937981513908642
11.328125,11.42578125,6.6796875,3.9379815139086762
12.734375,6.93359375,6.6796875,3.3481810481506415
12.734375,11.42578125,3.0078125,3.937981513908745
12.734375,6.93359375,3.0078125,3.348181048150557
11.328125,11.42578125,3.0078125,3.937981513908727
11.328125,6.93359375,6.6796875,3.348181048150618
11.328125,6.93359375,3.0078125,3.348181048150655
2.734375,23.92578125,1.6796875,3.9379815139087895
1.328125,23.92578125,1.6796875,3.9379815139086505
2.734375,19.43359375,1.6796875,3.9379815139086998
2.734375,23.92578125,8.0078125,3.9379815139087566
2.734375,19.43359375,8.0078125,3.937981513908747
1.328125,23.92578125,8.0078125,3.9379815139087375
1.328125,19.43359375,1.6796875,3.937981513908704
1.328125,19.43359375,8.0078125,3.9379815139086536
3.984375,0.48828125,7.3046875,3.1396498851099994
5.078125,0.48828125,7.3046875,3.1396498851100514
3.984375,11.62109375,7.3046875,3.937981513908711
3.984375,0.48828125,9.8828125,3.1396498851100207
3.984375,11.62109375,9.8828125,3.9379815139086864
5.078125,0.48828125,9.8828125,3.1396498851099905
5.078125,11.62109375,7.3046875,3.93798151390874
5.078125,11.62109375,9.8828125,3.9379815139087375
13.984375,12.98828125,2.3046875,3.937981513908746
15.078125,12.98828125,2.3046875,3.937981513908674
13.984375,24.12109375,2.3046875,3.937981513908606
13.984375,12.98828125,4.8828125,3.93798151390868
13.984375,24.12109375,4.8828125,3.937981513908715
15.078125,12.98828125,4.8828125,3.9379815139086496
15.078125,24.12109375,2.3046875,3.937981513908724
15.078125,24.12109375,4.8828125,3.937981513908407
18.984375,6.73828125,9.8046875,3.310978667198179
0.078125,6.73828125,9.8046875,3.310978667198251
18.984375,17.87109375,9.8046875,3.937981513908304
18.984375,6.73828125,2.3828125,3.310978667198229
18.984375,17.87109375,2.3828125,3.9379815139085506
0.078125,6.73828125,2.3828125,3.310978667198344
0.078125,17.87109375,9.8046875,3.937981513908689
0.078125,17.87109375,2.3828125,3.9379815139087517
8.984375,19.23828125,4.8046875,3.93798151390875
10.078125,19.23828125,4.8046875,3.937981513908661
