uptake_bound,growth_rate_1_h,PHB_flux
0.0,0.3721667012325889,3.3138386185769977
0.3448275862068966,0.3721667012325889,3.31383861857699
0.6896551724137931,0.3721667012325878,3.313838618577075
1.0344827586206897,0.37216670123258877,3.313838618577023
1.3793103448275863,0.3721667012325889,3.3138386185769915
1.7241379310344829,0.37216670123258894,3.31383861857623
2.0689655172413794,0.3721667012325889,3.3138386185769915
2.413793103448276,0.37216670123258894,3.31383861857623
2.7586206896551726,0.3721667012325889,3.3138386185769915
3.1034482758620694,0.37216670123258894,3.31383861857623
3.4482758620689657,0.3721667012325889,3.3138386185769915
3.793103448275862,0.37216670123258894,3.31383861857623
4.137931034482759,0.3721667012325889,3.3138386185769915
4.482758620689656,0.37216670123258894,3.31383861857623
4.827586206896552,0.3721667012325889,3.3138386185769915
5.172413793103448,0.37216670123258894,3.31383861857623
5.517241379310345,0.3721667012325889,3.3138386185769915
5.862068965517242,0.37216670123258894,3.31383861857623
6.206896551724139,0.3721667012325889,3.3138386185769915
6.551724137931035,0.37216670123258894,3.31383861857623
6.8965517241379315,0.3721667012325889,3.3138386185769915
7.241379310344828,0.37216670123258894,3.31383861857623
7.586206896551724,0.3721667012325889,3.3138386185769915
7.931034482758621,0.37216670123258894,3.31383861857623
8.275862068965518,0.3721667012325889,3.3138386185769915
8.620689655172415,0.37216670123258894,3.31383861857623
8.965517241379311,0.3721667012325889,3.3138386185769915
9.310344827586208,0.37216670123258894,3.31383861857623
9.655172413793103,0.3721667012325889,3.3138386185769915
10.0,0.37216670123258894,3.31383861857623
