EX_glc__D_e,EX_o2_e,growth_rate,curvature
-16.842105263157894,-20.0,0.19796267456098363,0.0025305682952110474
-9.473684210526317,-20.0,0.35151422045989567,0.003084712687727266
-8.421052631578949,-20.0,0.3726205312140645,0.00560787337712923
-7.368421052631579,-20.0,0.3817142339290265,0.00271034468884685
-16.842105263157894,-18.94736842105263,0.19796267456098374,0.0025305682952130597
-9.473684210526317,-18.94736842105263,0.3515142204598933,0.0030847126877260834
-8.421052631578949,-18.94736842105263,0.3726205312140637,0.005607873377131796
-7.368421052631579,-18.94736842105263,0.38171423392902504,0.0027103446888463046
-16.842105263157894,-17.894736842105264,0.19796267456098363,0.0025305682952128854
-9.473684210526317,-17.894736842105264,0.3515142204598951,0.0030847126877251514
-8.421052631578949,-17.894736842105264,0.3726205312140637,0.005607873377131605
-7.368421052631579,-17.894736842105264,0.3817142339290258,0.0027103446888460743
-16.842105263157894,-16.842105263157894,0.19796267456098393,0.0025305682952129717
-9.473684210526317,-16.842105263157894,0.35151422045989505,0.0030847126877260617
-8.421052631578949,-16.842105263157894,0.3726205312140637,0.005607873377131433
-7.368421052631579,-16.842105263157894,0.3817142339290236,0.002710344688845772
-16.842105263157894,-15.789473684210527,0.19796267456098393,0.002530568295215246
-9.473684210526317,-15.789473684210527,0.3515142204598947,0.0030847126877250075
-8.421052631578949,-15.789473684210527,0.3726205312140639,0.005607873377131657
-7.368421052631579,-15.789473684210527,0.3817142339290259,0.0027103446888461667
-16.842105263157894,-14.736842105263158,0.19796267456098346,0.0025305682952129257
-9.473684210526317,-14.736842105263158,0.3515142204598946,0.0030847126877250196
-8.421052631578949,-14.736842105263158,0.3726205312140637,0.005607873377131684
-7.368421052631579,-14.736842105263158,0.3817142339290259,0.0027103446888459963
-16.842105263157894,-13.68421052631579,0.19796267456097358,0.0025305682952128715
-9.473684210526317,-13.68421052631579,0.35151422045989517,0.0030847126877251
-8.421052631578949,-13.68421052631579,0.372620531214064,0.00560787337713171
-7.368421052631579,-13.68421052631579,0.38171423392902687,0.0027103446888465496
-16.842105263157894,-12.631578947368421,0.1979626745609837,0.002530568295212779
-9.473684210526317,-12.631578947368421,0.3515142204598955,0.0030847126877254025
-8.421052631578949,-12.631578947368421,0.37262053121406435,0.005607873377131921
-7.368421052631579,-12.631578947368421,0.381714233929027,0.0027103446888466155
-16.842105263157894,-11.578947368421053,0.19796267456098374,0.002530568295215173
-9.473684210526317,-11.578947368421053,0.35151422045989505,0.0030847126877249277
-8.421052631578949,-11.578947368421053,0.3726205312140645,0.005607873377132104
-7.368421052631579,-11.578947368421053,0.38171423392902687,0.0027103446888463653
-16.842105263157894,-10.526315789473685,0.19796267456098376,0.0025305682952130575
-9.473684210526317,-10.526315789473685,0.35151422045989505,0.003084712687725165
-8.421052631578949,-10.526315789473685,0.37262053121406363,0.005607873377131551
-7.368421052631579,-10.526315789473685,0.3817142339290261,0.0027103446888460097
-16.842105263157894,-9.473684210526317,0.19796267456098374,0.0025305682952133394
-9.473684210526317,-9.473684210526317,0.35151422045989505,0.0030847126877250465
-8.421052631578949,-9.473684210526317,0.3726205312140634,0.0056078733771318555
-7.368421052631579,-9.473684210526317,0.38171423392902626,0.00271034468884593
-16.842105263157894,-8.421052631578949,0.19796267456098413,0.002530568295213043
-9.473684210526317,-8.421052631578949,0.3515142204598951,0.0030847126877253774
-8.421052631578949,-8.421052631578949,0.37262053121406097,0.005607873377131472
-7.368421052631579,-8.421052631578949,0.38171423392902576,0.0027103446888457985
-16.842105263157894,-7.368421052631579,0.19796267456098413,0.00253056829521311
-9.473684210526317,-7.368421052631579,0.3515142204598953,0.0030847126877253358
-8.421052631578949,-7.368421052631579,0.37262053121406424,0.005607873377131829
-7.368421052631579,-7.368421052631579,0.38171423392902576,0.002710344688845799
-16.842105263157894,-6.315789473684211,0.19796267456098413,0.002530568295213341
-9.473684210526317,-6.315789473684211,0.3515142204598946,0.003084712687725323
-8.421052631578949,-6.315789473684211,0.3726205312140634,0.005607873377133306
-7.368421052631579,-6.315789473684211,0.38171423392902576,0.002710344688845838
-20.0,-5.2631578947368425,0.11532662694749136,0.0022697376136170118
-16.842105263157894,-5.2631578947368425,0.1979626745609841,0.002530568295213137
-9.473684210526317,-5.2631578947368425,0.35151422045989544,0.003084712687725271
-8.421052631578949,-5.2631578947368425,0.37262053121406413,0.0056197629141149655
-7.368421052631579,-5.2631578947368425,0.38171423392902576,0.0030685167836085945
-3.157894736842106,-5.2631578947368425,0.41808904478887277,0.001956349624990274
-2.1052631578947363,-5.2631578947368425,0.4271827475038372,0.0023558940075468116
-1.05263157894737,-5.2631578947368425,0.4362764502187993,0.0027554383901028543
0.0,-5.2631578947368425,0.4453701529337628,0.0031549827726603456
-20.0,-4.210526315789474,0.11142694683341903,0.003659609901493996
-18.94736842105263,-4.210526315789474,0.14287498914531355,0.0032939272077615635
-17.894736842105264,-4.210526315789474,0.17042335134313727,0.0021482086031298668
-16.842105263157894,-4.210526315789474,0.1979626745609829,0.0025305682952128793
-9.473684210526317,-4.210526315789474,0.35151422045989544,0.0030847126877254424
-8.421052631578949,-4.210526315789474,0.37262053121407507,0.0074940937639393
-7.368421052631579,-4.210526315789474,0.38171423392902576,0.004996109458199801
-6.315789473684211,-4.210526315789474,0.3908079366439889,0.0026853091519140992
-5.2631578947368425,-4.210526315789474,0.39990163935895096,0.003150824927533871
-4.210526315789474,-4.210526315789474,0.4089953420739158,0.003912699249981394
-3.157894736842106,-4.210526315789474,0.4177966508029867,0.0044479024428286836
-2.1052631578947363,-4.210526315789474,0.4252844590475274,0.0037976714483847897
-1.05263157894737,-4.210526315789474,0.4326073279339838,0.003064554076337866
0.0,-4.210526315789474,0.4399301968204421,0.0026277952511157394
-20.0,-3.157894736842106,0.10526684805057829,0.004481034242513587
-18.94736842105263,-3.157894736842106,0.14224512992441754,0.006753156999660065
-17.894736842105264,-3.157894736842106,0.17042335134313724,0.004335611499746332
-16.842105263157894,-3.157894736842106,0.19796267456098346,0.0026726802819276867
-9.473684210526317,-3.157894736842106,0.35151422045989544,0.004148199186159875
-8.421052631578949,-3.157894736842106,0.37256783520527315,0.01013184476790595
-7.368421052631579,-3.157894736842106,0.38012676758104585,0.006648274613615637
-6.315789473684211,-3.157894736842106,0.3874496364675024,0.0031507306966411953
-5.2631578947368425,-3.157894736842106,0.39477250535395825,0.0026979244893057387
-4.210526315789474,-3.157894736842106,0.40209537424040914,0.0022983801067490844
-3.157894736842106,-3.157894736842106,0.40941824312687075,0.0018988357241933778
-18.94736842105263,-2.1052631578947363,0.13608426499493315,0.004565057973264132
-17.894736842105264,-2.1052631578947363,0.17042335134313766,0.007884784169865405
-16.842105263157894,-2.1052631578947363,0.19796267456098357,0.005069763561175447
-15.789473684210527,-2.1052631578947363,0.21989860968939914,0.0020491252276302182
-10.526315789473685,-2.1052631578947363,0.3295782853314793,0.004208378075824968
-9.473684210526317,-2.1052631578947363,0.35151422045989544,0.009125953789110155
-8.421052631578949,-2.1052631578947363,0.36426055166039006,0.007737131142130744
-7.368421052631579,-2.1052631578947363,0.3715834205468466,0.004229197118384209
-6.315789473684211,-2.1052631578947363,0.3789062894333024,0.002794667480872216
-5.2631578947368425,-2.1052631578947363,0.38622915831975957,0.0025838065279655976
-4.210526315789474,-2.1052631578947363,0.3935520272062157,0.002372945575057818
-3.157894736842106,-2.1052631578947363,0.40087489609267163,0.002228056015217678
-2.1052631578947363,-2.1052631578947363,0.4081977649791283,0.002379525002199658
-1.05263157894737,-2.1052631578947363,0.41552063386558524,0.0025682084318494076
0.0,-2.1052631578947363,0.4228435027520416,0.002756891861498763
-18.94736842105263,-1.05263157894737,0.12992340006544817,0.0025190709335824197
-17.894736842105264,-1.05263157894737,0.1668885896423592,0.008243834405031644
-16.842105263157894,-1.05263157894737,0.19796267456098354,0.007466846840423154
-15.789473684210527,-1.05263157894737,0.21989860968939914,0.003631516626321392
-14.736842105263158,-1.05263157894737,0.24183454481781627,0.0017263087943281724
-13.68421052631579,-1.05263157894737,0.26377047994623165,0.001882896008748425
-12.631578947368421,-1.05263157894737,0.28570641507464467,0.002039483223169453
-11.578947368421053,-1.05263157894737,0.307642350203064,0.0029013848412725537
-10.526315789473685,-1.05263157894737,0.3295782853314797,0.008270944440002636
-9.473684210526317,-1.05263157894737,0.3483881732414057,0.011282450777373474
-8.421052631578949,-1.05263157894737,0.3557172046261919,0.005141259754236781
-7.368421052631579,-1.05263157894737,0.3630400735126474,0.0028736061215876175
-6.315789473684211,-1.05263157894737,0.3703629423991033,0.003249582567201856
-5.2631578947368425,-1.05263157894737,0.3776858112855607,0.0036269494265018408
-4.210526315789474,-1.05263157894737,0.3850086801720167,0.0040433027912106755
-3.157894736842106,-1.05263157894737,0.39233154905847256,0.004607378569930491
-2.1052631578947363,-1.05263157894737,0.39948162456915615,0.004976521821608491
-1.05263157894737,-1.05263157894737,0.40597697469917043,0.004607053003218429
0.0,-1.05263157894737,0.41247232482918506,0.004276570690238112
-17.894736842105264,0.0,0.15731828323907815,0.005741189799238728
-16.842105263157894,0.0,0.1934993476710869,0.008298307124942585
-15.789473684210527,0.0,0.21642000231010644,0.005162543433030078
-14.736842105263158,0.0,0.23800892976113608,0.002026779741118508
-13.68421052631579,0.0,0.259597857212163,0.0018828960087531378
-12.631578947368421,0.0,0.2811867846631906,0.0029981280867494037
-11.578947368421053,0.0,0.30277571211419857,0.0046969243364054
-10.526315789473685,0.0,0.32011579806461293,0.00819575577130634
-9.473684210526317,0.0,0.3348694500132211,0.008938548264326072
-8.421052631578949,0.0,0.3416451066809604,0.004425321379453181
-7.368421052631579,0.0,0.3481317055191079,0.0029374343807039467
-6.315789473684211,0.0,0.3546183043572551,0.003249582567201849
-5.2631578947368425,0.0,0.3611049031954029,0.0036269494265014977
